挨著	ㄞ ㄓㄜ˙
挨	ㄞ
安檢	ㄢ ㄐㄧㄢˇ
罷工	ㄅㄚˋ ㄍㄨㄥ
挨打	ㄞˊ ㄉㄚˇ
白領	ㄅㄞˊ ㄌㄧㄥˇ
辦公	ㄅㄢˋ ㄍㄨㄥ
百分點	ㄅㄞˇ ㄈㄣ ㄉㄧㄢˇ
辦學	ㄅㄢˋ ㄒㄩㄝˊ
辦事處	ㄅㄢˋ ㄕˋ ㄔㄨˋ
半決賽	ㄅㄢˋ ㄐㄩㄝˊ ㄙㄞˋ
罷了	ㄅㄚˋ ㄌㄜ˙
保健	ㄅㄠˇ ㄐㄧㄢˋ
報刊	ㄅㄠˋ ㄎㄢ
傍晚	ㄅㄤˋ ㄨㄢˇ
暴風雨	ㄅㄠˋ ㄈㄥ ㄩˇ
抱歉	ㄅㄠˋ ㄑㄧㄢˋ
暴露	ㄅㄠˋ ㄌㄨˋ
報考	ㄅㄠˋ ㄎㄠˇ
爆	ㄅㄠˋ
暴雨	ㄅㄠˋ ㄩˇ
爆炸	ㄅㄠˋ ㄓㄚˋ
暴力	ㄅㄠˋ ㄌㄧˋ
悲慘	ㄅㄟ ㄘㄢˇ
爆發	ㄅㄠˋ ㄈㄚ
背著	ㄅㄟ ㄓㄜ˙
背心	ㄅㄟˋ ㄒㄧㄣ
本	ㄅㄣˇ
奔跑	ㄅㄣ ㄆㄠˇ
被告	ㄅㄟˋ ㄍㄠˋ
本期	ㄅㄣˇ ㄑㄧ
本身	ㄅㄣˇ ㄕㄣ
本質	ㄅㄣˇ ㄓˋ
本土	ㄅㄣˇ ㄊㄨˇ
逼	ㄅㄧ
本地	ㄅㄣˇ ㄉㄧˋ
必將	ㄅㄧˋ ㄐㄧㄤ
筆試	ㄅㄧˇ ㄕˋ
邊緣	ㄅㄧㄢ ㄩㄢˊ
必修	ㄅㄧˋ ㄒㄧㄡ
閉	ㄅㄧˋ
扁	ㄅㄧㄢˇ
