阿拉伯語	ㄚ ㄌㄚ ㄅㄛˊ ㄩˇ
哎	ㄞ
哀求	ㄞ ㄑㄧㄡˊ
哎呀	ㄞ ㄧㄚ
挨家挨戶	ㄞ ㄐㄧㄚ-ㄞ ㄏㄨˋ
艾滋病	ㄞˋ ㄗ ㄅㄧㄥˋ
癌	ㄞˊ
癌癥	ㄞˊ ㄓㄥˋ
愛不釋手	ㄞˋ ㄅㄨˋ ㄕˋ ㄕㄡˇ
唉	ㄞ
愛理不理	ㄞˋ ㄌㄧˇ ㄅㄨˋ ㄌㄧˇ
愛面子	ㄞˋ ㄇㄧㄢˋ ㄗ˙
愛惜	ㄞˋ ㄒㄧ
礙事	ㄞˋ ㄕˋ
安定	ㄢ ㄉㄧㄥˋ
安眠藥	ㄢ ㄇㄧㄢˊ ㄧㄠˋ
安撫	ㄢ ㄈㄨˇ
安穩	ㄢ ㄨㄣˇ
安寧	ㄢ ㄋㄧㄥˊ
按鍵	ㄢˋ ㄐㄧㄢˋ
按理說	ㄢˋ ㄌㄧˇ ㄕㄨㄛ
安逸	ㄢ ㄧˋ
安心	ㄢ ㄒㄧㄣ
案件	ㄢˋ ㄐㄧㄢˋ
暗地裡	ㄢˋ ㄉㄧˋ ㄌㄧ˙
暗中	ㄢˋ ㄓㄨㄥ
按說	ㄢˋ ㄕㄨㄛ
凹	ㄠ
昂貴	ㄤˊ ㄍㄨㄟˋ
熬	ㄠˊ
傲	ㄠˋ
暗殺	ㄢˋ ㄕㄚ
熬夜	ㄠˊ ㄧㄝˋ
奧祕	ㄠˋ ㄇㄧˋ
傲慢	ㄠˋ ㄇㄢˋ
八卦	ㄅㄚ ㄍㄨㄚˋ
巴不得	ㄅㄚ ㄅㄨ˙ ㄉㄜ˙
奧運會	ㄠˋ ㄩㄣˋ ㄏㄨㄟˋ
扒	ㄅㄚ
芭蕾	ㄅㄚ ㄌㄟˇ
把柄	ㄅㄚˇ ㄅㄧㄥˇ
把關	ㄅㄚˇ ㄍㄨㄢ
把手	ㄅㄚˇ ㄕㄡ˙
罷免	ㄅㄚˋ ㄇㄧㄢˇ
靶子	ㄅㄚˇ ㄗ˙
壩	ㄅㄚˋ
罷休	ㄅㄚˋ ㄒㄧㄡ
掰	ㄅㄞ
白白	ㄅㄞˊ ㄅㄞˊ
霸占	ㄅㄚˋ ㄓㄢˋ
百分比	ㄅㄞˇ ㄈㄣ ㄅㄧˇ
百科全書	ㄅㄞˇ ㄎㄜ ㄑㄩㄢˊ ㄕㄨ
柏樹	ㄅㄞˇ ㄕㄨˋ
百合	ㄅㄞˇ ㄏㄜˊ
擺放	ㄅㄞˇ ㄈㄤˋ
擺設	ㄅㄞˇ ㄕㄜ˙
擺平	ㄅㄞˇ ㄆㄧㄥˊ
拜會	ㄅㄞˋ ㄏㄨㄟˋ
拜年	ㄅㄞˋ ㄋㄧㄢˊ
拜託	ㄅㄞˋ ㄊㄨㄛ
扳	ㄅㄢ
拜見	ㄅㄞˋ ㄐㄧㄢˋ
頒發	ㄅㄢ ㄈㄚ
頒獎	ㄅㄢ ㄐㄧㄤˇ
頒布	ㄅㄢ ㄅㄨˋ
斑點	ㄅㄢ ㄉㄧㄢˇ
搬遷	ㄅㄢ ㄑㄧㄢ
辦不到	ㄅㄢˋ ㄅㄨ˙ ㄉㄠˋ
半邊天	ㄅㄢˋ ㄅㄧㄢ ㄊㄧㄢ
板塊	ㄅㄢˇ ㄎㄨㄞˋ
半場	ㄅㄢˋ ㄔㄤˇ
半島	ㄅㄢˋ ㄉㄠˇ
半路	ㄅㄢˋ ㄌㄨˋ
半數	ㄅㄢˋ ㄕㄨˋ
半途而廢	ㄅㄢˋ ㄊㄨˊ ㄦˊ ㄈㄟˋ
半信半疑	ㄅㄢˋ ㄒㄧㄣˋ-ㄅㄢˋ ㄧˊ
半真半假	ㄅㄢˋ ㄓㄣ-ㄅㄢˋ ㄐㄧㄚˇ
伴	ㄅㄢˋ
扮	ㄅㄢˋ
伴侶	ㄅㄢˋ ㄌㄩˇ
伴隨	ㄅㄢˋ ㄙㄨㄟˊ
伴奏	ㄅㄢˋ ㄗㄡˋ
幫手	ㄅㄤ ㄕㄡ˙
綁	ㄅㄤˇ
拌	ㄅㄢˋ
綁架	ㄅㄤˇ ㄐㄧㄚˋ
榜樣	ㄅㄤˇ ㄧㄤˋ
包袱	ㄅㄠ ㄈㄨ˙
棒球	ㄅㄤˋ ㄑㄧㄡˊ
磅	ㄅㄤˋ
包容	ㄅㄠ ㄖㄨㄥˊ
包扎	ㄅㄠ ㄗㄚ
剝	ㄅㄛ
煲	ㄅㄠ
飽和	ㄅㄠˇ ㄏㄜˊ
飽滿	ㄅㄠˇ ㄇㄢˇ
寶藏	ㄅㄠˇ ㄗㄤˋ
保管	ㄅㄠˇ ㄍㄨㄢˇ
保姆	ㄅㄠˇ ㄇㄨˇ
寶庫	ㄅㄠˇ ㄎㄨˋ
保暖	ㄅㄠˇ ㄋㄨㄢˇ
保鮮	ㄅㄠˇ ㄒㄧㄢ
保修	ㄅㄠˇ ㄒㄧㄡ
保佑	ㄅㄠˇ ㄧㄡˋ
保障	ㄅㄠˇ ㄓㄤˋ
保質期	ㄅㄠˇ ㄓˋ ㄑㄧ
保重	ㄅㄠˇ ㄓㄨㄥˋ
報	ㄅㄠˋ
堡壘	ㄅㄠˇ ㄌㄟˇ
報仇	ㄅㄠˋ ㄔㄡˊ
報酬	ㄅㄠˋ ㄔㄡ˙
報廢	ㄅㄠˋ ㄈㄟˋ
報社	ㄅㄠˋ ㄕㄜˋ
報亭	ㄅㄠˋ ㄊㄧㄥˊ
報復	ㄅㄠˋ ㄈㄨ˙
報銷	ㄅㄠˋ ㄒㄧㄠ
抱負	ㄅㄠˋ ㄈㄨˋ
豹	ㄅㄠˋ
暴風驟雨	ㄅㄠˋ ㄈㄥ-ㄓㄡˋ ㄩˇ
暴利	ㄅㄠˋ ㄌㄧˋ
暴躁	ㄅㄠˋ ㄗㄠˋ
曝光	ㄅㄠˋ ㄍㄨㄤ
爆冷門	ㄅㄠˋ ㄌㄥˇ ㄇㄣˊ
爆竹	ㄅㄠˋ ㄓㄨˊ
悲哀	ㄅㄟ ㄞ
爆滿	ㄅㄠˋ ㄇㄢˇ
悲觀	ㄅㄟ ㄍㄨㄢ
悲歡離合	ㄅㄟ ㄏㄨㄢ-ㄌㄧˊ ㄏㄜˊ
卑鄙	ㄅㄟ ㄅㄧˇ
悲痛	ㄅㄟ ㄊㄨㄥˋ
碑	ㄅㄟ
貝殼	ㄅㄟˋ ㄎㄜˊ
備課	ㄅㄟˋ ㄎㄜˋ
備受	ㄅㄟˋ ㄕㄡˋ
背面	ㄅㄟˋ ㄇㄧㄢˋ
備用	ㄅㄟˋ ㄩㄥˋ
背誦	ㄅㄟˋ ㄙㄨㄥˋ
背叛	ㄅㄟˋ ㄆㄢˋ
被捕	ㄅㄟˋ ㄅㄨˇ
奔赴	ㄅㄣ ㄈㄨˋ
奔波	ㄅㄣ ㄅㄛ
本分	ㄅㄣˇ ㄈㄣˋ
本能	ㄅㄣˇ ㄋㄥˊ
本錢	ㄅㄣˇ ㄑㄧㄢˊ
本性	ㄅㄣˇ ㄒㄧㄥˋ
本著	ㄅㄣˇ ㄓㄜ˙
本意	ㄅㄣˇ ㄧˋ
奔	ㄅㄣ
笨蛋	ㄅㄣˋ ㄉㄢˋ
笨重	ㄅㄣˋ ㄓㄨㄥˋ
崩潰	ㄅㄥ ㄎㄨㄟˋ
繃帶	ㄅㄥ ㄉㄞˋ
繃	ㄅㄥˇ
本色	ㄅㄣˇ ㄙㄜˋ
逼近	ㄅㄧ ㄐㄧㄣˋ
蹦	ㄅㄥˋ
逼迫	ㄅㄧ ㄆㄛˋ
比比皆是	ㄅㄧˇ ㄅㄧˇ-ㄐㄧㄝ ㄕˋ
逼真	ㄅㄧ ㄓㄣ
鼻涕	ㄅㄧˊ ㄊㄧˋ
比不上	ㄅㄧˇ ㄅㄨˋ ㄕㄤˋ
比起	ㄅㄧˇ ㄑㄧˇ
比試	ㄅㄧˇ ㄕ˙
比喻	ㄅㄧˇ ㄩˋ
鄙視	ㄅㄧˇ ㄕˋ
必不可少	ㄅㄧˋ ㄅㄨˋ ㄎㄜˇ ㄕㄠˇ
必定	ㄅㄧˋ ㄉㄧㄥˋ
碧綠	ㄅㄧˋ ㄌㄩˋ
弊病	ㄅㄧˋ ㄅㄧㄥˋ
弊端	ㄅㄧˋ ㄉㄨㄢ
避難	ㄅㄧˋ ㄋㄢˋ
壁畫	ㄅㄧˋ ㄏㄨㄚˋ
避暑	ㄅㄧˋ ㄕㄨˇ
邊界	ㄅㄧㄢ ㄐㄧㄝˋ
邊疆	ㄅㄧㄢ ㄐㄧㄤ
邊遠	ㄅㄧㄢ ㄩㄢˇ
編劇	ㄅㄧㄢ ㄐㄩˋ
編號	ㄅㄧㄢ ㄏㄠˋ
編寫	ㄅㄧㄢ ㄒㄧㄝˇ
編造	ㄅㄧㄢ ㄗㄠˋ
編排	ㄅㄧㄢ ㄆㄞˊ
鞭策	ㄅㄧㄢ ㄘㄜˋ
鞭炮	ㄅㄧㄢ ㄆㄠˋ
變革	ㄅㄧㄢˋ ㄍㄜˊ
貶值	ㄅㄧㄢˇ ㄓˊ
變遷	ㄅㄧㄢˋ ㄑㄧㄢ
變異	ㄅㄧㄢˋ ㄧˋ
變幻莫測	ㄅㄧㄢˋ ㄏㄨㄢˋ ㄇㄛˋ ㄘㄜˋ
便道	ㄅㄧㄢˋ ㄉㄠˋ
變質	ㄅㄧㄢˋ ㄓˋ
便飯	ㄅㄧㄢˋ ㄈㄢˋ
便利店	ㄅㄧㄢˋ ㄌㄧˋ ㄉㄧㄢˋ
便捷	ㄅㄧㄢˋ ㄐㄧㄝˊ
辨別	ㄅㄧㄢˋ ㄅㄧㄝˊ
遍布	ㄅㄧㄢˋ ㄅㄨˋ
辨認	ㄅㄧㄢˋ ㄖㄣˋ
辯	ㄅㄧㄢˋ
辯護	ㄅㄧㄢˋ ㄏㄨˋ
辮子	ㄅㄧㄢˋ ㄗ˙
辯解	ㄅㄧㄢˋ ㄐㄧㄝˇ
標榜	ㄅㄧㄠ ㄅㄤˇ
標	ㄅㄧㄠ
標本	ㄅㄧㄠ ㄅㄣˇ
標簽	ㄅㄧㄠ ㄑㄧㄢ
標示	ㄅㄧㄠ ㄕˋ
標語	ㄅㄧㄠ ㄩˇ
飆升	ㄅㄧㄠ ㄕㄥ
標致	ㄅㄧㄠ ㄓ˙
表白	ㄅㄧㄠˇ ㄅㄞˊ
表決	ㄅㄧㄠˇ ㄐㄩㄝˊ
表述	ㄅㄧㄠˇ ㄕㄨˋ
表率	ㄅㄧㄠˇ ㄕㄨㄞˋ
表彰	ㄅㄧㄠˇ ㄓㄤ
憋	ㄅㄧㄝ
別具匠心	ㄅㄧㄝˊ ㄐㄩˋ-ㄐㄧㄤˋ ㄒㄧㄣ
別看	ㄅㄧㄝˊ ㄎㄢˋ
表態	ㄅㄧㄠˇ ㄊㄞˋ
別墅	ㄅㄧㄝˊ ㄕㄨˋ
別說	ㄅㄧㄝˊ ㄕㄨㄛ
別提了	ㄅㄧㄝˊ ㄊㄧˊ ㄌㄜ˙
別扭	ㄅㄧㄝˋ ㄋㄧㄡ˙
別致	ㄅㄧㄝˊ ㄓˋ
彬彬有禮	ㄅㄧㄣ ㄅㄧㄣ-ㄧㄡˇ ㄌㄧˇ
繽紛	ㄅㄧㄣ ㄈㄣ
冰棍兒	ㄅㄧㄥ ㄍㄨㄣˋ ㄦ˙
濱海	ㄅㄧㄣ ㄏㄞˇ
丙	ㄅㄧㄥˇ
秉承	ㄅㄧㄥˇ ㄔㄥˊ
冰山	ㄅㄧㄥ ㄕㄢ
併購	ㄅㄧㄥˋ ㄍㄡˋ
並列	ㄅㄧㄥˋ ㄌㄧㄝˋ
並非	ㄅㄧㄥˋ ㄈㄟ
病床	ㄅㄧㄥˋ ㄔㄨㄤˊ
並行	ㄅㄧㄥˋ ㄒㄧㄥˊ
撥	ㄅㄛ
病癥	ㄅㄧㄥˋ ㄓㄥˋ
撥款	ㄅㄛ ㄎㄨㄢˇ
波及	ㄅㄛ ㄐㄧˊ
撥通	ㄅㄛ ㄊㄨㄥ
波瀾	ㄅㄛ ㄌㄢˊ
波折	ㄅㄛ ㄓㄜˊ
剝奪	ㄅㄛ ㄉㄨㄛˊ
波濤	ㄅㄛ ㄊㄠ
伯伯	ㄅㄛˊ ㄅㄛ˙
剝削	ㄅㄛ ㄒㄩㄝ
伯母	ㄅㄛˊ ㄇㄨˇ
駁回	ㄅㄛˊ ㄏㄨㄟˊ
脖子	ㄅㄛˊ ㄗ˙
伯父	ㄅㄛˊ ㄈㄨˋ
搏鬥	ㄅㄛˊ ㄉㄡˋ
不見得	ㄅㄨˋ ㄐㄧㄢˋ ㄉㄜ˙
不定	ㄅㄨˋ ㄉㄧㄥˋ
不慎	ㄅㄨˋ ㄕㄣˋ
不利於	ㄅㄨˋ ㄌㄧˋ ㄩˊ
不算	ㄅㄨˋ ㄙㄨㄢˋ
不像話	ㄅㄨˋ ㄒㄧㄤˋ ㄏㄨㄚˋ
不屑	ㄅㄨˋ ㄒㄧㄝˋ
不適	ㄅㄨˋ ㄕˋ
不亞於	ㄅㄨˋ ㄧㄚˋ ㄩˊ
不亦樂乎	ㄅㄨˋ ㄧˋ ㄌㄜˋ ㄏㄨ
不懈	ㄅㄨˋ ㄒㄧㄝˋ
不翼而飛	ㄅㄨˋ ㄧˋ ㄦˊ ㄈㄟ
不正之風	ㄅㄨˋ ㄓㄥˋ ㄓ ㄈㄥ
補給	ㄅㄨˇ ㄐㄧˇ
不用說	ㄅㄨˋ ㄩㄥˋ ㄕㄨㄛ
捕捉	ㄅㄨˇ ㄓㄨㄛ
哺育	ㄅㄨˇ ㄩˋ
不恥下問	ㄅㄨˋ ㄔˇ-ㄒㄧㄚˋ ㄨㄣˋ
不辭而別	ㄅㄨˋ ㄘˊ ㄦˊ ㄅㄧㄝˊ
補救	ㄅㄨˇ ㄐㄧㄡˋ
不得而知	ㄅㄨˋ ㄉㄜˊ ㄦˊ ㄓ
不妨	ㄅㄨˋ ㄈㄤˊ
不得已	ㄅㄨˋ ㄉㄜˊ ㄧˇ
不服氣	ㄅㄨˋ ㄈㄨˊ ㄑㄧˋ
不假思索	ㄅㄨˋ ㄐㄧㄚˇ-ㄙ ㄙㄨㄛˇ
不解	ㄅㄨˋ ㄐㄧㄝˇ
不經意	ㄅㄨˋ ㄐㄧㄥ ㄧˋ
不景氣	ㄅㄨˋ ㄐㄧㄥˇ ㄑㄧˋ
不堪	ㄅㄨˋ ㄎㄢ
不服	ㄅㄨˋ ㄈㄨˊ
不可思議	ㄅㄨˋ ㄎㄜˇ-ㄙ ㄧˋ
不可避免	ㄅㄨˋ ㄎㄜˇ ㄅㄧˋ ㄇㄧㄢˇ
不肯	ㄅㄨˋ ㄎㄣˇ
不理	ㄅㄨˋ ㄌㄧˇ
不了了之	ㄅㄨˋ ㄌㄧㄠˇ-ㄌㄧㄠˇ ㄓ
