不一定	不一定	"<span class=""pinYinWrapper""><span class=""t4"">bù</span> <span class=""t1"">yī</span> <span class=""t4"">dìng</span></span>"	"<span class=""zhuyin"">ㄅㄨˋ ㄧ ㄉㄧㄥˋ</span>"	[sound:cmn-不一定.mp3]	"<div class=""char""><span id=""char-sim-id""><span class=""char-tone4"">不</span><span class=""char-tone1"">一</span><span class=""char-tone4"">定</span></span></div><div class=""pinyin""><span class=""pinYinWrapper""><span class=""t4"">bù</span> <span class=""t1"">yī</span> <span class=""t4"">dìng</span></span></div><span class=""zhuyin"">ㄅㄨˋ ㄧ ㄉㄧㄥˋ</span><div class=""meaning""><ul><li>not necessarily</li><li> maybe</li></ul></div>"
多云	多雲	"<span class=""pinYinWrapper""><span class=""t1"">duō</span> <span class=""t2"">yún</span></span>"	"<span class=""zhuyin"">ㄉㄨㄛ ㄩㄣˊ</span>"	[sound:cmn-多云.mp3]	"<div class=""char""><span id=""char-sim-id""><span class=""char-tone1"">多</span><span class=""char-tone2"">云</span></span><span class=""sep"">〔</span><span id=""char-trad-id""><span class=""char-tone1"">多</span><span class=""char-tone2"">雲</span></span><span class=""sep"">〕</span></div><div class=""pinyin""><span class=""pinYinWrapper""><span class=""t1"">duō</span> <span class=""t2"">yún</span></span></div><span class=""zhuyin"">ㄉㄨㄛ ㄩㄣˊ</span><div class=""meaning""><ul><li>cloudy (meteorology)</li></ul></div>"
好	好	"<span class=""pinYinWrapper""><span class=""t3"">hǎo</span></span>, <span class=""pinYinWrapper""><span class=""t4"">hào</span></span>"	"<span class=""zhuyin"">ㄏㄠˇ</span>, <span class=""zhuyin"">ㄏㄠˋ</span>"	[sound:cmn-好.mp3]	"<div class=""char""><span id=""char-sim-id""><span class=""char-tone3"">好</span></span></div><div class=""pinyin""><span class=""pinYinWrapper""><span class=""t3"">hǎo</span></span></div><span class=""zhuyin"">ㄏㄠˇ</span><div class=""meaning""><ul><li>good</li><li> well</li><li> proper</li><li> good to</li><li> easy to</li><li> very</li><li> so</li><li> (suffix indicating completion or readiness)</li><li> (of two people) close</li><li> on intimate terms</li></ul></div><div class=""char""><span id=""char-sim-id""><span class=""char-tone4"">好</span></span></div><div class=""pinyin""><span class=""pinYinWrapper""><span class=""t4"">hào</span></span></div><span class=""zhuyin"">ㄏㄠˋ</span><div class=""meaning""><ul><li>to be fond of</li><li> to have a tendency to</li><li> to be prone to</li></ul></div>"
找出	找出	"<span class=""pinYinWrapper""><span class=""t3"">zhǎo</span> <span class=""t1"">chū</span></span>"	"<span class=""zhuyin"">ㄓㄠˇ ㄔㄨ</span>"	[sound:cmn-找出.mp3]	"<div class=""char""><span id=""char-sim-id""><span class=""char-tone3"">找</span><span class=""char-tone1"">出</span></span></div><div class=""pinyin""><span class=""pinYinWrapper""><span class=""t3"">zhǎo</span> <span class=""t1"">chū</span></span></div><span class=""zhuyin"">ㄓㄠˇ ㄔㄨ</span><div class=""meaning""><ul><li>to find</li><li> to search out</li></ul></div>"
会	會	"<span class=""pinYinWrapper""><span class=""t4"">huì</span></span>, <span class=""pinYinWrapper""><span class=""t4"">kuài</span></span>"	"<span class=""zhuyin"">ㄏㄨㄟˋ</span>, <span class=""zhuyin"">ㄎㄨㄞˋ</span>"	[sound:cmn-会.mp3]	"<div class=""char""><span id=""char-sim-id""><span class=""char-tone4"">会</span></span><span class=""sep"">〔</span><span id=""char-trad-id""><span class=""char-tone4"">會</span></span><span class=""sep"">〕</span></div><div class=""pinyin""><span class=""pinYinWrapper""><span class=""t4"">huì</span></span></div><span class=""zhuyin"">ㄏㄨㄟˋ</span><div class=""meaning""><ul><li>can</li><li> to be possible</li><li> to be able to</li><li> will</li><li> to be likely to</li><li> to be sure to</li><li> to assemble</li><li> to meet</li><li> to gather</li><li> to see</li><li> union</li><li> group</li><li> association</li><li> CL:個|个[ge4]</li><li> a moment (Taiwan pr. for this sense is [hui3])</li></ul></div><div class=""char""><span id=""char-sim-id""><span class=""char-tone4"">会</span></span><span class=""sep"">〔</span><span id=""char-trad-id""><span class=""char-tone4"">會</span></span><span class=""sep"">〕</span></div><div class=""pinyin""><span class=""pinYinWrapper""><span class=""t4"">kuài</span></span></div><span class=""zhuyin"">ㄎㄨㄞˋ</span><div class=""meaning""><ul><li>to balance an account</li><li> accountancy</li><li> accounting</li></ul></div>"
那	那	"<span class=""pinYinWrapper""><span class=""t1"">Nā</span></span>, <span class=""pinYinWrapper""><span class=""t2"">Nuó</span></span>, <span class=""pinYinWrapper""><span class=""t3"">nǎ</span></span>, <span class=""pinYinWrapper""><span class=""t4"">nà</span></span>, <span class=""pinYinWrapper""><span class=""t2"">nuó</span></span>"	"<span class=""zhuyin"">ㄋㄚ</span>, <span class=""zhuyin"">ㄋㄨㄛˊ</span>, <span class=""zhuyin"">ㄋㄚˇ</span>, <span class=""zhuyin"">ㄋㄚˋ</span>"	[sound:cmn-那.mp3]	"<div class=""char""><span id=""char-sim-id""><span class=""char-tone1"">那</span></span></div><div class=""pinyin""><span class=""pinYinWrapper""><span class=""t1"">Nā</span></span></div><span class=""zhuyin"">ㄋㄚ</span><div class=""meaning""><ul><li>surname Na</li></ul></div><div class=""char""><span id=""char-sim-id""><span class=""char-tone2"">那</span></span></div><div class=""pinyin""><span class=""pinYinWrapper""><span class=""t2"">Nuó</span></span></div><span class=""zhuyin"">ㄋㄨㄛˊ</span><div class=""meaning""><ul><li>surname Nuo</li></ul></div><div class=""char""><span id=""char-sim-id""><span class=""char-tone3"">那</span></span></div><div class=""pinyin""><span class=""pinYinWrapper""><span class=""t3"">nǎ</span></span></div><span class=""zhuyin"">ㄋㄚˇ</span><div class=""meaning""><ul><li>variant of 哪[na3]</li></ul></div><div class=""char""><span id=""char-sim-id""><span class=""char-tone4"">那</span></span></div><div class=""pinyin""><span class=""pinYinWrapper""><span class=""t4"">nà</span></span></div><span class=""zhuyin"">ㄋㄚˋ</span><div class=""meaning""><ul><li>that</li><li> those</li><li> then (in that case)</li><li> commonly pr. [nei4] before a classifier, esp. in Beijing</li></ul></div><div class=""char""><span id=""char-sim-id""><span class=""char-tone2"">那</span></span></div><div class=""pinyin""><span class=""pinYinWrapper""><span class=""t2"">nuó</span></span></div><span class=""zhuyin"">ㄋㄨㄛˊ</span><div class=""meaning""><ul><li>(archaic) many</li><li> beautiful</li><li> how</li><li> old variant of 挪[nuo2]</li></ul></div>"
对	對	"<span class=""pinYinWrapper""><span class=""t4"">duì</span></span>"	"<span class=""zhuyin"">ㄉㄨㄟˋ</span>"	[sound:cmn-对.mp3]	"<div class=""char""><span id=""char-sim-id""><span class=""char-tone4"">对</span></span><span class=""sep"">〔</span><span id=""char-trad-id""><span class=""char-tone4"">對</span></span><span class=""sep"">〕</span></div><div class=""pinyin""><span class=""pinYinWrapper""><span class=""t4"">duì</span></span></div><span class=""zhuyin"">ㄉㄨㄟˋ</span><div class=""meaning""><ul><li>right</li><li> correct</li><li> couple</li><li> pair</li><li> towards</li><li> at</li><li> for</li><li> to face</li><li> opposite</li><li> to treat (sb a certain way)</li><li> to match together</li><li> to adjust</li><li> to fit</li><li> to suit</li><li> to answer</li><li> to reply</li><li> classifier: couple</li></ul></div>"
有点儿	有點兒	"<span class=""pinYinWrapper""><span class=""t3"">yǒu</span> <span class=""t3"">diǎn</span><span class=""t0"">r</span></span>"	"<span class=""zhuyin"">ㄧㄡˇ ㄉㄧㄢˇ ㄦ˙</span>"	[sound:cmn-有点儿.mp3]	"<div class=""char""><span id=""char-sim-id""><span class=""char-tone3"">有</span><span class=""char-tone3"">点</span><span class=""char-tone0"">儿</span></span><span class=""sep"">〔</span><span id=""char-trad-id""><span class=""char-tone3"">有</span><span class=""char-tone3"">點</span><span class=""char-tone0"">兒</span></span><span class=""sep"">〕</span></div><div class=""pinyin""><span class=""pinYinWrapper""><span class=""t3"">yǒu</span> <span class=""t3"">diǎn</span><span class=""t0"">r</span></span></div><span class=""zhuyin"">ㄧㄡˇ ㄉㄧㄢˇ ㄦ˙</span><div class=""meaning""><ul><li>slightly</li><li> a little</li><li> somewhat</li></ul></div>"
啊	啊	"<span class=""pinYinWrapper""><span class=""t5"">a</span></span>"	"<span class=""zhuyin"">ㄚ˙</span>"	[sound:cmn-啊.mp3]	"<div class=""char""><span id=""char-sim-id""><span class=""char-tone5"">啊</span></span><span class=""sep"">〔</span><span id=""char-trad-id""><span class=""char-tone5"">啊</span></span><span class=""sep"">〕</span></div><div class=""pinyin""><span class=""pinYinWrapper""><span class=""t5"">a</span></span></div><span class=""zhuyin"">ㄚ˙</span><div class=""meaning""><ul><li></li></ul></div>"
让	讓	"<span class=""pinYinWrapper""><span class=""t4"">ràng</span></span>"	"<span class=""zhuyin"">ㄖㄤˋ</span>"	[sound:cmn-让.mp3]	"<div class=""char""><span id=""char-sim-id""><span class=""char-tone4"">让</span></span><span class=""sep"">〔</span><span id=""char-trad-id""><span class=""char-tone4"">讓</span></span><span class=""sep"">〕</span></div><div class=""pinyin""><span class=""pinYinWrapper""><span class=""t4"">ràng</span></span></div><span class=""zhuyin"">ㄖㄤˋ</span><div class=""meaning""><ul><li>to yield</li><li> to permit</li><li> to let sb do sth</li><li> to have sb do sth</li><li> to make sb (feel sad etc)</li><li> by (indicates the agent in a passive clause, like 被[bei4])</li></ul></div>"
