挨著,挨着,āi zhe,"near"
挨,挨,āiái,"in order, in sequence, close to, adjacent to, to suffer, to endure, to pull through (hard times), to delay, to stall, to play for time, to dawdle"
挨打,挨打,ái dǎ,"to take a beating, to get thrashed, to come under attack"
安檢,安检,ān jiǎn,"safety check"
罷工,罢工,bàgōng,go on strike
罷了,罢了,bàle,particle: elucidating a previous proposition so as to diminish its effect
白領,白领,bái lǐng,"white collar, business person"
百分點,百分点,bǎi fēn diǎn,"percentage point"
辦公,办公,bàngōng,"work (usu. in an office), transact, work, handle official business"
辦事處,办事处,bànshìchù,"office, agency"
辦學,办学,bàn xué,"to run a school"
半決賽,半决赛,bàn jué sài,"semifinals"
傍晚,傍晚,bàng wǎn,"in the evening, when night falls, towards evening, at night fall, at dusk"
保健,保健,bǎojiàn,"health care, health protection, care for one's health"
報刊,报刊,bào kān,"newspapers and periodicals, the press"
報考,报考,bàokǎo,enter oneself for an examination
抱歉,抱歉,bào qiàn,"to be sorry, to feel apologetic, sorry!"
暴風雨,暴风雨,bào fēng yǔ,"rainstorm, storm, tempest"
暴力,暴力,bàolì,"violence, force"
暴露,暴露,pùlù,"unmask, divulge, expose, develop, bewray, unhood, unhusk, uncover, lay bare, show_up, reveal, flash, uncase, debunk, discover, unkennel, revelation, betray, give_away, unveil"
暴雨,暴雨,bào yǔ,"torrential rain, rainstorm, CL:場|场[chang2],陣|阵[zhen4]"
爆,爆,bào,"to explode or burst, to quick fry or quick boil"
爆發,爆发,bàofā,"erupt, burst/break out"
爆炸,爆炸,bàozhà,"explode, blow up"
悲慘,悲惨,bēicǎn,"tragic, pathetic, miserable"
背心,背心,bèi xīn,"sleeveless garment (vest, waistcoat, singlet, tank top etc), CL:件[jian4]"
背著,背着,bèizháo,"Carry on"
被告,被告,bèigào,"tenant, indictee, accused, respondent, defendant, suspect, the accused, appellee"
奔跑,奔跑,bēn pǎo,"to run"
本,本,běn,det.: this
本地,本地,běn dì,"local, this locality"
本期,本期,běn qī,"the current period, this term (usually in finance)"
本身,本身,běnshēn,"per se, self, oneself, identity, itself"
本土,本土,běntǔ,"mainland, native, one's native country, metropolitan territory, continent"
本質,本质,běnzhí,"suchness, basic nature, intrinsic quality, substantial, essentiality, innate character, entity, essential quality, basics, inbeing, essential, nature, self, feather, intrinsic, quiddity, being, substance, metal, quintessence, principle, kind, hypostasis, essence, fiber, internal, spirit, inwardness, woof, basis, gist"
逼,逼,bī,"extort, press for, press on towards, drive, force, compel, close in on, press up to"
筆試,笔试,bǐ shì,"written examination, paper test (for an applicant)"
必將,必将,bì jiāng,"inevitably"
必修,必修,bìxiū,"required/obligatory (course), obligatory, obligatory (course), required"
