爱	愛	"<span class=""pinYinWrapper""><span class=""t4"">ài</span></span>"	"<span class=""zhuyin"">ㄞˋ</span>"	[sound:cmn-爱.mp3]	"<div class=""char""><span id=""char-sim-id""><span class=""char-tone4"">爱</span></span><span class=""sep"">〔</span><span id=""char-trad-id""><span class=""char-tone4"">愛</span></span><span class=""sep"">〕</span></div><div class=""pinyin""><span class=""pinYinWrapper""><span class=""t4"">ài</span></span></div><span class=""zhuyin"">ㄞˋ</span><div class=""meaning""><ul><li>love</li></ul></div>"
爱好	愛好	"<span class=""pinYinWrapper""><span class=""t4"">ài</span> <span class=""t4"">hào</span></span>"	"<span class=""zhuyin"">ㄞˋ ㄏㄠˋ</span>"	[sound:cmn-爱好.mp3]	"<div class=""char""><span id=""char-sim-id""><span class=""char-tone4"">爱</span><span class=""char-tone4"">好</span></span><span class=""sep"">〔</span><span id=""char-trad-id""><span class=""char-tone4"">愛</span><span class=""char-tone4"">好</span></span><span class=""sep"">〕</span></div><div class=""pinyin""><span class=""pinYinWrapper""><span class=""t4"">ài</span> <span class=""t4"">hào</span></span></div><span class=""zhuyin"">ㄞˋ ㄏㄠˋ</span><div class=""meaning""><ul><li>to like</li><li> to take pleasure in</li><li> keen on</li><li> fond of</li><li> interest</li><li> hobby</li><li> appetite for</li><li> CL:個|个[ge4]</li></ul></div>"
八	八	"<span class=""pinYinWrapper""><span class=""t1"">bā</span></span>"	"<span class=""zhuyin"">ㄅㄚ</span>"	[sound:cmn-八.mp3]	"<div class=""char""><span id=""char-sim-id""><span class=""char-tone1"">八</span></span></div><div class=""pinyin""><span class=""pinYinWrapper""><span class=""t1"">bā</span></span></div><span class=""zhuyin"">ㄅㄚ</span><div class=""meaning""><ul><li>eight</li><li> 8</li></ul></div>"
爸爸	爸爸	"<span class=""pinYinWrapper""><span class=""t4"">bà</span> <span class=""t0"">ba</span></span>"	"<span class=""zhuyin"">ㄅㄚˋ ㄅㄚ˙</span>"	[sound:cmn-爸爸.mp3]	"<div class=""char""><span id=""char-sim-id""><span class=""char-tone4"">爸</span><span class=""char-tone0"">爸</span></span></div><div class=""pinyin""><span class=""pinYinWrapper""><span class=""t4"">bà</span> <span class=""t0"">ba</span></span></div><span class=""zhuyin"">ㄅㄚˋ ㄅㄚ˙</span><div class=""meaning""><ul><li>(informal) father</li><li> CL:個|个[ge4],位[wei4]</li></ul></div>"
吧	吧	"<span class=""pinYinWrapper""><span class=""t1"">bā</span></span>, <span class=""pinYinWrapper""><span class=""t5"">ba</span></span>"	"<span class=""zhuyin"">ㄅㄚ</span>, <span class=""zhuyin"">ㄅㄚ˙</span>"	[sound:cmn-吧.mp3]	"<div class=""char""><span id=""char-sim-id""><span class=""char-tone1"">吧</span></span></div><div class=""pinyin""><span class=""pinYinWrapper""><span class=""t1"">bā</span></span></div><span class=""zhuyin"">ㄅㄚ</span><div class=""meaning""><ul><li>bar (loanword) (serving drinks, or providing Internet access etc)</li><li> to puff (on a pipe etc)</li><li> (onom.) bang</li><li> abbr. for 貼吧|贴吧[tie1 ba1]</li></ul></div><div class=""char""><span id=""char-sim-id""><span class=""char-tone5"">吧</span></span></div><div class=""pinyin""><span class=""pinYinWrapper""><span class=""t5"">ba</span></span></div><span class=""zhuyin"">ㄅㄚ˙</span><div class=""meaning""><ul><li>(modal particle indicating suggestion or surmise)</li><li> ...right?</li><li> ...OK?</li><li> ...I presume.</li></ul></div>"
白	白	"<span class=""pinYinWrapper""><span class=""t2"">Bái</span></span>, <span class=""pinYinWrapper""><span class=""t2"">bái</span></span>"	"<span class=""zhuyin"">ㄅㄞˊ</span>"	[sound:cmn-白.mp3]	"<div class=""char""><span id=""char-sim-id""><span class=""char-tone2"">白</span></span></div><div class=""pinyin""><span class=""pinYinWrapper""><span class=""t2"">Bái</span></span></div><span class=""zhuyin"">ㄅㄞˊ</span><div class=""meaning""><ul><li>surname Bai</li></ul></div><div class=""char""><span id=""char-sim-id""><span class=""char-tone2"">白</span></span></div><div class=""pinyin""><span class=""pinYinWrapper""><span class=""t2"">bái</span></span></div><span class=""zhuyin"">ㄅㄞˊ</span><div class=""meaning""><ul><li>white</li><li> snowy</li><li> pure</li><li> bright</li><li> empty</li><li> blank</li><li> plain</li><li> clear</li><li> to make clear</li><li> in vain</li><li> gratuitous</li><li> free of charge</li><li> reactionary</li><li> anti-communist</li><li> funeral</li><li> to stare coldly</li><li> to write wrong character</li><li> to state</li><li> to explain</li><li> vernacular</li><li> spoken lines in opera</li></ul></div>"
白天	白天	"<span class=""pinYinWrapper""><span class=""t2"">bái</span> <span class=""t1"">tiān</span></span>"	"<span class=""zhuyin"">ㄅㄞˊ ㄊㄧㄢ</span>"	[sound:cmn-白天.mp3]	"<div class=""char""><span id=""char-sim-id""><span class=""char-tone2"">白</span><span class=""char-tone1"">天</span></span></div><div class=""pinyin""><span class=""pinYinWrapper""><span class=""t2"">bái</span> <span class=""t1"">tiān</span></span></div><span class=""zhuyin"">ㄅㄞˊ ㄊㄧㄢ</span><div class=""meaning""><ul><li>daytime</li><li> during the day</li><li> day</li><li> CL:個|个[ge4]</li></ul></div>"
百	百	"<span class=""pinYinWrapper""><span class=""t3"">Bǎi</span></span>, <span class=""pinYinWrapper""><span class=""t3"">bǎi</span></span>"	"<span class=""zhuyin"">ㄅㄞˇ</span>"	[sound:cmn-百.mp3]	"<div class=""char""><span id=""char-sim-id""><span class=""char-tone3"">百</span></span></div><div class=""pinyin""><span class=""pinYinWrapper""><span class=""t3"">Bǎi</span></span></div><span class=""zhuyin"">ㄅㄞˇ</span><div class=""meaning""><ul><li>surname Bai</li></ul></div><div class=""char""><span id=""char-sim-id""><span class=""char-tone3"">百</span></span></div><div class=""pinyin""><span class=""pinYinWrapper""><span class=""t3"">bǎi</span></span></div><span class=""zhuyin"">ㄅㄞˇ</span><div class=""meaning""><ul><li>hundred</li><li> numerous</li><li> all kinds of</li></ul></div>"
班	班	"<span class=""pinYinWrapper""><span class=""t1"">Bān</span></span>, <span class=""pinYinWrapper""><span class=""t1"">bān</span></span>"	"<span class=""zhuyin"">ㄅㄢ</span>"	[sound:cmn-班.mp3]	"<div class=""char""><span id=""char-sim-id""><span class=""char-tone1"">班</span></span></div><div class=""pinyin""><span class=""pinYinWrapper""><span class=""t1"">Bān</span></span></div><span class=""zhuyin"">ㄅㄢ</span><div class=""meaning""><ul><li>surname Ban</li></ul></div><div class=""char""><span id=""char-sim-id""><span class=""char-tone1"">班</span></span></div><div class=""pinyin""><span class=""pinYinWrapper""><span class=""t1"">bān</span></span></div><span class=""zhuyin"">ㄅㄢ</span><div class=""meaning""><ul><li>team</li><li> class</li><li> squad</li><li> work shift</li><li> ranking</li><li> CL:個|个[ge4]</li><li> classifier for groups</li></ul></div>"
半	半	"<span class=""pinYinWrapper""><span class=""t4"">bàn</span></span>"	"<span class=""zhuyin"">ㄅㄢˋ</span>"	[sound:cmn-半.mp3]	"<div class=""char""><span id=""char-sim-id""><span class=""char-tone4"">半</span></span></div><div class=""pinyin""><span class=""pinYinWrapper""><span class=""t4"">bàn</span></span></div><span class=""zhuyin"">ㄅㄢˋ</span><div class=""meaning""><ul><li>half</li><li> semi-</li><li> incomplete</li><li> (after a number) and a half</li></ul></div>"
