愛心	爱心	àixīn	liking, pity, love, benevolence, mercy, fondness, commitment
安排	安排	ānpái	arrange, plan, fix up, provide (meals/etc.)
安裝	安装	ānzhuāng	install, erect, fix, mount
按照	按照	ànzhào	according to, in the light of, on the basis of
按	按	àn	according to, in accordance with
把握	把握	bǎwò	grasp firmly
把	把	bǎ	indicating pre-verbal object as thing dealt with by the action
白菜	白菜	báicài	Chinese cabbage, pak choi, CL:棵[ke1], 個|个[ge4]
搬	搬	bān	copy mechanically, remove, apply indiscriminately, take away, transfer, move, move (house)
白	白	bái	white, clear, pure, plain, wrongly written/mispronounced,
班級	班级	bānjí	classes and grades in school
搬家	搬家	bān jiā	to move house, removal
辦理	办理	bànlǐ	handle, manage, attend, conduct, enact, transact, transaction
板	板	bǎn	see 老闆|老板, boss, to catch sight of in a doorway (old)
保安	保安	bǎoān	to ensure public security, to ensure safety (for workers engaged in production), public security, security guard
保持	保持	bǎochí	keep, maintain, preserve
保存	保存	bǎocún	preserve, conserve, keep
保	保	bǎo	keep, maintenance, preserve soil moisture, stand guarantor, defend, protection, ensure, stand guarantor for sb., preserve, preservation, warrant, bail, defence, protect, maintain, seek, guarantee
保留	保留	bǎoliú	continue to have, retain, hold back, reserve
保險	保险	bǎoxiǎn	insurance
保證	保证	bǎozhèng	pledge, guarantee
保護	保护	bǎohù	protect, safeguard
報到	报到	bào dào	check in, register, registration, report for duty, appear, report, check_in
背	背	bèi	learn by heart, recite from memory
報道	报道	bàodào	to report (news), report, CL:篇[pian1],份[fen4]
北部	北部	běibù	the north, the northern part of the country, northern part
報	报	bào	newspaper, periodical, bulletin, telegram
報告	报告	bàogào	report, speech, (student) term paper
背後	背后	bèihòu	rear, in the rear, behind, rearward, at the back, backside, back end
本來	本来	běnlái	originally, at first, of course
本領	本领	běnlǐng	skill, ability, capability, CL:項|项[xiang4],個|个[ge4]
被	被	bèi	by
比較	比较	bǐjiào	relatively, fairly
比例	比例	bǐlì	proportional, rate, proportionality, quotient, proportion, proportionment, scale, ratio, balance
比賽	比赛	bǐsài	match, competition
必然	必然	bìrán	surely, inevitably, pardi, certainly
被子	被子	bèizi	quilt, CL:床[chuang2]
變化	变化	biànhuà	change, transformation
本事	本事	běnshi	literary source material, know-how, proficiency, skill, prowess, this matter, ability, capability
變為	变为	biànwéi	change to, become
必要	必要	bìyào	necessary, indispensable
表達	表达	biǎodá	express, convey, voice
標準	标准	biāozhǔn	standard, criterion
標題	标题	biāotí	head, headline, title, superscription, statute title, header, headword, caption, cutline, rubric, heading
表格	表格	biǎogé	tabular array, tabulation, table, form, blank, tabular matter
表面	表面	biǎomiàn	crust, superficial, facing, show, exterior, obverse, rind, face, superficies, top, outside, appearance, facade, surface, bosom, window dressing
表明	表明	biǎomíng	argue, utter, disclose, enunciate, indicate, speak_for, make clear, indication, prove, point, express, manifest, tell, state clearly, give, denote, evince, unfold, portend, declare, kithe, make known, signalize
表演	表演	biǎoyǎn	perform, act, play, demonstrate
表現	表现	biǎoxiàn	manifestation, expression
播出	播出	bō chū	broadcast, disseminate
並且	并且	bìngqiě	conj.: and, besides, moreover
播放	播放	bōfàng	broadcast, transmit
不必	不必	bùbì	need not, not have to
并	并	bìng	to be side by side, simultaneously, and
不論	不论	bùlùn	conj.: no matter how/who/what/etc.
補	补	bǔ	mend, patch, nourish, supplementary
不斷	不断	bùduàn	unceasingly, continuously
補充	补充	bǔchōng	supply, supplement, augment, replenishment, complement, eke, fill again, accompany, add, renew, replenish, implement, stock, recruit, refill
不得不	不得不	bùdébù	cannot but, have to
不安	不安	bùān	be anxious; be uneasy; be restless
不光	不光	bùguāng	not the only one, not only
不僅	不仅	bùjǐn	conj.: not only
布	布	bù	cloth
步	步	bù	m.[activity]
部門	部门	bùmén	category, section, department, service, instrumentality, branch, realm, sector, ministry, province, divisional, classification, departmental, division
部	部	bù	m.[general]
部長	部长	bùzhǎng	commissar, manager, superintendent, cabinet minister, head of a section, minister, political commissar, ministerial, secretary, government minister, president, head of a department
才能	才能	cáinéng	ability, talent
採取	采取	cǎiqǔ	operate, assume, adopt, accept, strike, take, take up, take over, borrow
彩色	彩色	cǎisè	colour, chromatic, multicolour, colorful
採用	采用	cǎiyòng	invoke, admit, assume, adoptive, use, adopt, select for use, embrace, accept, employment, take, introduce, take up, take_on, take over, take on, borrow, employ, adoption
曾經	曾经	céngjīng	in one case, , one time, formerly, syne, at one time, of all time, once, ever
產生	产生	chǎnshēng	come into being, produce, engender, emerge
長處	长处	chángchu	good aspects, strong points
長城	长城	Chángchéng	impregnable bulwark, the Great Wall, Great Wall
厰	厂	chǎng	factory, mill, plant, works, yard, depot
長期	长期	chángqī	long term, long time, long range (of a forecast)
場合	场合	chǎnghé	conjuncture, situation, event, occasion, social occasion, affair
場所	场所	chǎngsuǒ	site, digging, terrain, locality, point, arena, scene, room, locus, location, locale, stead, scene of action, lieu, amenity, meridian, where, spot, space, land site, place, seat
