挨著	挨着	āizhe	near
挨	挨	āi	in order, in sequence, close to, adjacent to, to suffer, to endure, to pull through (hard times), to delay, to stall, to play for time, to dawdle
安檢	安检	ānjiǎn	safety check
罷工	罢工	bàgōng	go on strike
挨打	挨打	ái dǎ	to take a beating, to get thrashed, to come under attack
白領	白领	báilǐng	white collar, business person
辦公	办公	bàn gōng	work (usu. in an office), transact, work, handle official business
百分點	百分点	bǎifēndiǎn	percentage point
辦學	办学	bàn xué	to run a school
辦事處	办事处	bànshìchù	office, agency
半決賽	半决赛	bànjuésài	semifinals
罷了	罢了	bàle	particle: elucidating a previous proposition so as to diminish its effect
保健	保健	bǎojiàn	health care, health protection, care for one's health
報刊	报刊	bàokān	newspapers and periodicals, the press
傍晚	傍晚	bàngwǎn	in the evening, when night falls, towards evening, at night fall, at dusk
暴風雨	暴风雨	bàofēngyǔ	rainstorm, storm, tempest
抱歉	抱歉	bàoqiàn	to be sorry, to feel apologetic, sorry!
暴露	暴露	bàolù	unmask, divulge, expose, develop, bewray, unhood, unhusk, uncover, lay bare, show_up, reveal, flash, uncase, debunk, discover, unkennel, revelation, betray, give_away, unveil
報考	报考	bàokǎo	enter oneself for an examination
爆	爆	bào	to explode or burst, to quick fry or quick boil
暴雨	暴雨	bàoyǔ	torrential rain, rainstorm, CL:場|场[chang2],陣|阵[zhen4]
爆炸	爆炸	bàozhà	explode, blow up
暴力	暴力	bàolì	violence, force
悲慘	悲惨	bēicǎn	tragic, pathetic, miserable
爆發	爆发	bàofā	erupt, burst/break out
背著	背着	bēizhe	Carry on
背心	背心	bèixīn	sleeveless garment (vest, waistcoat, singlet, tank top etc), CL:件[jian4]
本	本	běn	det.: this
奔跑	奔跑	bēnpǎo	to run
被告	被告	bèigào	tenant, indictee, accused, respondent, defendant, suspect, the accused, appellee
本期	本期	běnqī	the current period, this term (usually in finance)
本身	本身	běnshēn	per se, self, oneself, identity, itself
本質	本质	běnzhì	suchness, basic nature, intrinsic quality, substantial, essentiality, innate character, entity, essential quality, basics, inbeing, essential, nature, self, feather, intrinsic, quiddity, being, substance, metal, quintessence, principle, kind, hypostasis, essence, fiber, internal, spirit, inwardness, woof, basis, gist
本土	本土	běntǔ	mainland, native, one's native country, metropolitan territory, continent
逼	逼	bī	extort, press for, press on towards, drive, force, compel, close in on, press up to
本地	本地	běndì	local, this locality
必將	必将	bìjiāng	inevitably
筆試	笔试	bǐshì	written examination, paper test (for an applicant)
邊緣	边缘	biānyuán	margin, brink, periphery, bead, brim, borderline, skirt, lip, fringe, delimitation, flange, threshold, boundary line, perimeter, rand, outer boundary, hem, line, border, verge, marginality, marge, skirting, edging, edge, corner, rim
必修	必修	bìxiū	required/obligatory (course), obligatory, obligatory (course), required
閉	闭	bì	shut, stop, close, stop up, obstruct, switch off, obstruction, turn off, seel
扁	扁	biǎn	surname Pian, flat, (coll.) to beat (sb) up, old variant of 匾[bian3], small boat
編制	编制	biānzhì	authorized staff/force
變更	变更	biàngēng	change, modify
變形	变形	biàn xíng	deformation, to become deformed, to change shape, to morph
變換	变换	biànhuàn	to transform, to convert, to vary, to alternate, a transformation
便是	便是	biànshì	even if
便	便	biàn	as early as, soon afterwards, little as, as early, and then, and so, so, as early/little as, as little as, then, in that case
遍地	遍地	biàndì	everywhere, all over
表面上	表面上	biǎomiànshang	Surface on the surface
病情	病情	bìngqíng	patient's condition
撥打	拨打	bōdǎ	to call, to dial
病房	病房	bìngfáng	sickroom, ward, hospital ward, hospital room
波浪	波浪	bōlàng	wave
播	播	bō	to sow, to scatter, to spread, to broadcast, Taiwan pr. [bo4]
波動	波动	bōdòng	undulate, fluctuate
不見	不见	bùjiàn	not to see, not to meet, to have disappeared, to be missing
不便	不便	bùbiàn	inconvenient, inappropriate
不再	不再	bùzài	no more/longer
不料	不料	bùliào	unexpectedly
不至於	不至于	bùzhìyú	unlikely to go so far as to, not as bad as
補考	补考	bǔkǎo	to sit for a makeup exam, to resit an exam, makeup exam, resit
補習	补习	bǔxí	take lessons after school/work
補課	补课	bǔ kè	to make up missed lesson, to reschedule a class
補助	补助	bǔzhù	subsidize
不成	不成	bùchéng	won't do, unable to, (at the end of a rhetorical question) can that be?
捕	捕	bǔ	prawn, seizure, seize, arrest, catch
不禁	不禁	bùjīn	can't help (doing sth.)
不僅僅	不仅仅	bùjǐnjǐn	not only
不通	不通	bùtōng	to be obstructed, to be blocked up, to be impassable, to make no sense, to be illogical
不怎麼樣	不怎么样	bù zěnmeyàng	not up to much, very indifferent, nothing great about it, nothing good to be said about it
不值	不值	bùzhí	not worth
不怎麼	不怎么	bùzěnme	not very, not particularly
布滿	布满	bùmǎn	to be covered with, to be filled with
部隊	部队	bùduì	military personnel, troops, troop, regular army, soldiery, army, party, company
採納	采纳	cǎinà	to accept, to adopt
參賽	参赛	cān sài	take part in match, enter competition
踩	踩	cǎi	tread, tramp, tromp, scrunch, trample, walk, step, step on
參展	参展	cān zhǎn	participate in exhibition
餐	餐	cān	m.[event]
殘疾	残疾	cánji	disabled, handicapped, deformity on a person or animal
殘疾人	残疾人	cánjírén	disabled person
殘酷	残酷	cánkù	brutal, ruthless
倉庫	仓库	cāngkù	depot, storehouse, warehouse
慘	惨	cǎn	tragic, gloomy, savage, sorrowful, cruel, pitiful, miserable, dark
藏	藏	cáng	lay by, concealment, conceal, hide, store
操縱	操纵	cāozòng	operate, control, rig, manipulate
側	侧	cè	the side, to incline towards, to lean, inclined, lateral, side, lean on one side
廁所	厕所	cèsuǒ	john, W.C., can, jakes, lavatory, lav, cloaca, crapper, privy, water closet, bathroom, bog, washroom, closet, convenience, stool, rear, latrine, loo, facility, toilet, John, cloakroom
測定	测定	cèdìng	to survey and evaluate
策劃	策划	cèhuà	to plot, to scheme, to bring about, to engineer, planning, producer, planner
策略	策略	cèlüè	coup, resource, enginery, wile, stratagem, gambit, practice, plant, diplomacy, artifice, trap, twist, tactical manoeuver, policy, game, mechanism, game plan, ambush, chicanery, finesse, lying in wait, maneuvering, joker, tactics, gimmick, manoeuvering, plan, device, art, tactical maneuver, maneuver, measure, play, tactic, manoeuvre, mechanics, tack, ambuscade, trickery, strategy, setup, r
層面	层面	céngmiàn	storey, level, side, story, range, floor, coverage
