挨着	挨著	āi zhe	near;  
挨	挨	āi, ái	in order; in sequence; close to; adjacent to;  to suffer; to endure; to pull through (hard times); to delay; to stall; to play for time; to dawdle;  
挨打	挨打	ái dǎ	to take a beating; to get thrashed; to come under attack;  
安检	安檢	ān jiǎn	safety check;  
罢工	罷工	bà gōng	a strike; to go on strike;  
罢了	罷瞭	bà le, bà liǎo	a modal particle indicating (that's all, only, nothing much);  a modal particle indicating (don't mind it, ok);  
白领	白領	bái lǐng	white collar; business person;  
百分点	百分點	bǎi fēn diǎn	percentage point;  
办公	辦公	bàn gōng	to handle official business; to work (esp. in an office);  
办事处	辦事處	bàn shì chù	office; agency;  
办学	辦學	bàn xué	to run a school;  
半决赛	半決賽	bàn jué sài	semifinals;  
傍晚	傍晚	bàng wǎn	in the evening; when night falls; towards evening; at night fall; at dusk;  
保健	保健	bǎo jiàn	health protection; health care; to maintain in good health;  
报刊	報刊	bào kān	newspapers and periodicals; the press;  
报考	報考	bào kǎo	to enter oneself for an examination;  
抱歉	抱歉	bào qiàn	to be sorry; to feel apologetic; sorry!;  
暴风雨	暴風雨	bào fēng yǔ	rainstorm; storm; tempest;  
暴力	暴力	bào lì	violence; force; violent;  
暴露	暴露	bào lù	to expose; to reveal; to lay bare; also pr. [pu4 lu4];  
暴雨	暴雨	bào yǔ	torrential rain; rainstorm; CL:場|场[chang2],陣|阵[zhen4];  
爆	爆	bào	to explode or burst; to quick fry or quick boil;  
爆发	爆發	bào fā	to break out; to erupt; to explode; to burst out;  
爆炸	爆炸	bào zhà	explosion; to explode; to blow up; to detonate;  
悲惨	悲慘	bēi cǎn	miserable; tragic;  
背心	背心	bèi xīn	sleeveless garment (vest, waistcoat, singlet, tank top etc); CL:件[jian4];  
背着	背著	bèizháo	Carry on
被告	被告	bèi gào	defendant;  
奔跑	奔跑	bēn pǎo	to run;  
本	本	běn	root; stem; origin; source; this; the current; original; inherent; originally; classifier for books, periodicals, files etc;  
本地	本地	běn dì	local; this locality;  
本期	本期	běn qī	the current period; this term (usually in finance);  
本身	本身	běn shēn	itself; in itself; per se;  
本土	本土	běn tǔ	one's native country; native; local; metropolitan territory;  
本质	本質	běn zhì	essence; nature; innate character; intrinsic quality;  
逼	逼	bī, bī	to force (sb to do sth); to compel; to press for; to extort; to press on towards; to press up to; to close in on; used in the place of 屄[bi1], cunt;  
笔试	筆試	bǐ shì	written examination; paper test (for an applicant);  
必将	必將	bì jiāng	inevitably;  
必修	必修	bì xiū	a required course;  
闭	閉	bì	to close; to stop up; to shut; to obstruct;  
边缘	邊緣	biān yuán	edge; fringe; verge; brink; periphery; marginal; borderline;  
