阿拉伯语	阿拉伯語	Ā lā bó yǔ	Arabic (language);  
哎	哎	āi	hey!; (interjection used to attract attention or to express surprise or disapprobation);  
哎呀	哎呀	āi yā	interjection of wonder, shock or admiration;  
哀求	哀求	āi qiú	to entreat; to implore; to plead;  
挨家挨户	挨傢挨戶	āi jiā āi hù	to go from house to house; house-to-house (search);  
癌	癌	ái	cancer; carcinoma; also pr. [yan2];  
癌症	癌癥	ái zhèng	cancer;  
艾滋病	艾滋病	ài zī bìng	AIDS (loanword);  
唉	唉	āi, ài	interjection or grunt of agreement or recognition (e.g. yes, it's me!); to sigh;  alas; oh dear;  
爱不释手	愛不釋手	ài bù shì shoǔ	to love sth too much to part with it (idiom); to fondle admiringly;  
爱理不理	愛理不理	ài lǐ bù lǐ	to look cold and indifferent; standoffish;  
爱面子	愛麵子	ài miàn zi	to save face; to worry about losing face; proud of one's reputation; sensitive about losing prestige; sense of propriety;  
爱惜	愛惜	ài xī	to cherish; to treasure; to use sparingly;  
碍事	礙事	ài shì	(usu used in the negative) to be of importance or to matter; to be in the way; to be a hindrance;  
安定	安定	Ān dìng, ān dìng	Anting township in Tainan county 台南縣|台南县[Tai2 nan2 xian4], Taiwan;  stable; quiet; settled; stabilize; maintain; stabilized; calm and orderly;  
安抚	安撫	ān fǔ	to placate; to pacify; to appease;  
安眠药	安眠藥	ān mián yào	sleeping pill; CL:粒[li4];  
安宁	安寜	Ān níng, ān níng	Anning District of Lanzhou City 蘭州市|兰州市[Lan2 zhou1 Shi4], Gansu; Anning City, to the west of Kunming 昆明[Kun1 ming2], Yunnan;  peaceful; tranquil; calm; composed; free from worry;  
安稳	安穩	ān wěn	smooth and steady;  
安心	安心	ān xīn	at ease; to feel relieved; to set one's mind at rest; to keep one's mind on sth;  
安逸	安逸	ān yì	easy and comfortable; easy;  
按键	按鍵	àn jiàn	button or key (on a device); keystroke; CL:個|个[ge4]; to press a button;  
按理说	按理說	àn lǐ shuō	it is reasonable to say that...;  
按说	按說	àn shuō	in the ordinary course of events; ordinarily; normally;  
案件	案件	àn jiàn	case; instance; CL:宗[zong1],樁|桩[zhuang1],起[qi3];  
暗地里	暗地裏	àn dì li	secretly; inwardly; on the sly;  
暗杀	暗殺	àn shā	to assassinate;  
暗中	暗中	àn zhōng	in the dark; in secret; on the sly; surreptitiously;  
昂贵	昂貴	áng guì	expensive; costly;  
凹	凹	āo, wā	depressed; sunken; indented; concave; female (connector etc);  variant of 窪|洼[wa1]; (used in names);  
熬	熬	āo, áo	to boil; to simmer;  to cook on a slow fire; to extract by heating; to decoct; to endure;  
熬夜	熬夜	áo yè	to stay up late or all night;  
傲	傲	ào	proud; arrogant; to despise; unyielding; to defy;  
傲慢	傲慢	ào màn	arrogant; haughty;  
奥秘	奧秘	ào mì	secret; mystery;  
奥运会	奧運會	Ào yùn huì	abbr. for 奧林匹克運動會|奥林匹克运动会; Olympic Games; the Olympics;  
八卦	八卦	bā guà	the eight divinatory trigrams of the Book of Changes 易經|易经[Yi4 jing1]; gossip; gossipy;  
巴不得	巴不得	bā bu de	(coll.) to be eager for; to long for; to look forward to;  
扒	扒	bā, pá	to peel; to skin; to tear; to pull down; to cling to (sth on which one is climbing); to dig;  to rake up; to steal; to braise; to crawl;  
芭蕾	芭蕾	bā lěi	ballet (loanword);  
把柄	把柄	bǎ bǐng	handle; (fig.) information that can be used against sb;  
把关	把關	bǎ guān	to guard a pass; to check on sth;  
把手	把手	bǎ shoǔ	handle; grip; knob;  
靶子	靶子	bǎ zi	target;  
坝	壩	bà	dam; dike; embankment; CL:條|条[tiao2];  
罢免	罷免	bà miǎn	to remove sb from their post; to dismiss;  
罢休	罷休	bà xiū	to give up; to abandon (a goal etc); to let sth go; forget it; let the matter drop;  
霸占	霸占	bà zhàn	to occupy by force; to seize; to dominate;  
掰	掰	bāi	to break off or break open sth with one's hands; (fig.) to break off (a relationship);  
白白	白白	bái bái	in vain; to no purpose; for nothing; white;  
百分比	百分比	bǎi fēn bǐ	percentage;  
百合	百閤	bǎi hé	lily;  
百科全书	百科全書	bǎi kē quán shū	encyclopedia; CL:本[ben3],集[ji2];  
柏树	柏樹	bǎi shù	cypress tree; Taiwan pr. [bo2 shu4];  
摆放	擺放	bǎi fàng	to set up; to arrange; to lay out;  
摆平	擺平	bǎi píng	to be fair; to be impartial; to settle (a matter etc);  
摆设	擺設	bǎi shè	to arrange; to set out; to decorate; to display; decorative items;  
拜会	拜會	bài huì	pay an official call; call on; visit in an official capacity;  
拜见	拜見	bài jiàn	to pay a formal visit; to call to pay respects; to meet one's senior or superior;  
拜年	拜年	bài nián	to pay a New Year call; to wish sb a Happy New Year;  
拜托	拜托	bài tuō	to request sb to do sth; please!;  
扳	扳	bān, pān	to pull; to turn (sth) around; to turn around (a situation); to recoup;  variant of 攀[pan1];  
颁布	頒布	bān bù	to issue; to proclaim; to enact (laws, decrees etc);  
颁发	頒發	bān fā	to issue; to promulgate; to award;  
颁奖	頒奬	bān jiǎng	to confer an award;  
斑点	斑點	bān diǎn	spot; stain; speckle;  
搬迁	搬遷	bān qiān	to move; to relocate; removal;  
板块	闆塊	bǎn kuài	block; slab; tectonic plate; continental plate;  
