愛	ㄞˋ
愛好	ㄞˋ ㄏㄠˋ
爸爸	ㄅㄚˋ ㄅㄚ˙
白	ㄅㄞˊ
八	ㄅㄚ
白天	ㄅㄞˊ ㄊㄧㄢ˙
班	ㄅㄢ
百	ㄅㄞˇ
吧	ㄅㄚ˙
半	ㄅㄢˋ
半年	ㄅㄢˋ ㄋㄧㄢˊ
半天	ㄅㄢˋ ㄊㄧㄢ
幫	ㄅㄤ
幫忙	ㄅㄤ ㄇㄤˊ
包	ㄅㄠ
包子	ㄅㄠ ㄗ˙
杯	ㄅㄟ
杯子	ㄅㄟ ㄗ˙
北邊	ㄅㄟˇ ㄅㄧㄢ˙
本	ㄅㄣˇ
北京	ㄅㄟˇ ㄐㄧㄥ
北	ㄅㄟˇ
本子	ㄅㄣˇ ㄗ˙
別	ㄅㄧㄝˊ
別的	ㄅㄧㄝˊ ㄉㄜ˙
別人	ㄅㄧㄝˊ ㄖㄣ˙
病	ㄅㄧㄥˋ
病人	ㄅㄧㄥˋ ㄖㄣˊ
比	ㄅㄧˇ
不大	ㄅㄨˋ ㄉㄚˋ
不客氣	ㄅㄨˋ ㄎㄜˋ ㄑㄧˋ
不用	ㄅㄨˋ ㄩㄥˋ
菜	ㄘㄞˋ
不對	ㄅㄨˋ ㄉㄨㄟˋ
差	ㄔㄚˋ
不	ㄅㄨˋ
茶	ㄔㄚˊ
常常	ㄔㄤˊ ㄔㄤˊ
常	ㄔㄤˊ
車	ㄔㄜ
唱歌	ㄔㄤˋ ㄍㄜ
車上	ㄔㄜ ㄕㄤˋ
車票	ㄔㄜ ㄆㄧㄠˋ
唱	ㄔㄤˋ
吃	ㄔ
車站	ㄔㄜ ㄓㄢˋ
吃飯	ㄔ ㄈㄢˋ
出來	ㄔㄨ ㄌㄞ˙
齣	ㄔㄨ
出去	ㄔㄨ ㄑㄩ˙
床	ㄔㄨㄤˊ
次	ㄘˋ
穿	ㄔㄨㄢ
錯	ㄘㄨㄛˋ
從	ㄘㄨㄥˊ
打	ㄉㄚˇ
打車	ㄉㄚˇ ㄔㄜ
打電話	ㄉㄚˇ ㄉㄧㄢˋ ㄏㄨㄚˋ
打開	ㄉㄚˇ ㄎㄞ
打球	ㄉㄚˇ ㄑㄧㄡˊ
大學	ㄉㄚˋ ㄒㄩㄝˊ
大	ㄉㄚˋ
大學生	ㄉㄚˋ ㄒㄩㄝˊ ㄕㄥ
得到	ㄉㄜˊ ㄉㄠˋ
到	ㄉㄠˋ
等	ㄉㄥˇ
地點	ㄉㄧˋ ㄉㄧㄢˇ
地	ㄉㄜ˙
地方	ㄉㄧˋ ㄈㄤ˙
地上	ㄉㄧˋ ㄕㄤ˙
的	ㄉㄜ˙
地圖	ㄉㄧˋ ㄊㄨˊ
弟弟	ㄉㄧˋ ㄉㄧ˙
第	ㄉㄧˋ
點	ㄉㄧㄢˇ
電話	ㄉㄧㄢˋ ㄏㄨㄚˋ
電	ㄉㄧㄢˋ
電腦	ㄉㄧㄢˋ ㄋㄠˇ
電視機	ㄉㄧㄢˋ ㄕˋ ㄐㄧ
電影	ㄉㄧㄢˋ ㄧㄥˇ
電視	ㄉㄧㄢˋ ㄕˋ
電影院	ㄉㄧㄢˋ ㄧㄥˇ ㄩㄢˋ
東邊	ㄉㄨㄥ ㄅㄧㄢ
東	ㄉㄨㄥ
東西	ㄉㄨㄥ ㄒㄧ˙
動	ㄉㄨㄥˋ
動作	ㄉㄨㄥˋ ㄗㄨㄛˋ
讀	ㄉㄨˊ
都	ㄉㄡ
讀書	ㄉㄨˊ ㄕㄨ
對不起	ㄉㄨㄟˋ ㄅㄨ˙ ㄑㄧˇ
多	ㄉㄨㄛ
多少	ㄉㄨㄛ ㄕㄠ˙
兒子	ㄦˊ ㄗ˙
餓	ㄜˋ
對	ㄉㄨㄟˋ
二	ㄦˋ
飯	ㄈㄢˋ
飯店	ㄈㄢˋ ㄉㄧㄢˋ
房間	ㄈㄤˊ ㄐㄧㄢ
房子	ㄈㄤˊ ㄗ˙
放	ㄈㄤˋ
放假	ㄈㄤˋ ㄐㄧㄚˋ
飛	ㄈㄟ
放學	ㄈㄤˋ ㄒㄩㄝˊ
飛機	ㄈㄟ ㄐㄧ
非常	ㄈㄟ ㄔㄤˊ
分	ㄈㄣ
風	ㄈㄥ
幹	ㄍㄢˋ
乾淨	ㄍㄢ ㄐㄧㄥˋ
