啊	ㄚ˙
愛情	ㄞˋ ㄑㄧㄥˊ
安靜	ㄢ ㄐㄧㄥˋ
安全	ㄢ ㄑㄩㄢˊ
愛人	ㄞˋ ㄖㄣ˙
班長	ㄅㄢ ㄓㄤˇ
辦	ㄅㄢˋ
辦法	ㄅㄢˋ ㄈㄚˇ
辦公室	ㄅㄢˋ ㄍㄨㄥ ㄕˋ
白色	ㄅㄞˊ ㄙㄜˋ
幫助	ㄅㄤ ㄓㄨˋ
報名	ㄅㄠˋ ㄇㄧㄥˊ
飽	ㄅㄠˇ
半夜	ㄅㄢˋ ㄧㄝˋ
報紙	ㄅㄠˋ ㄓˇ
北方	ㄅㄟˇ ㄈㄤ
比如說	ㄅㄧˇ ㄖㄨˊ ㄕㄨㄛ
比如	ㄅㄧˇ ㄖㄨˊ
筆記	ㄅㄧˇ ㄐㄧˋ
筆	ㄅㄧˇ
背	ㄅㄟˋ
筆記本	ㄅㄧˇ ㄐㄧˋ ㄅㄣˇ
邊	ㄅㄧㄢ
變	ㄅㄧㄢˋ
必須	ㄅㄧˋ ㄒㄩ
遍	ㄅㄧㄢˋ
變成	ㄅㄧㄢˋ ㄔㄥˊ
不錯	ㄅㄨˋ ㄘㄨㄛˋ
不夠	ㄅㄨˋ ㄍㄡˋ
不但	ㄅㄨˋ ㄉㄢˋ
不過	ㄅㄨˋ ㄍㄨㄛˋ
不太	ㄅㄨˋ ㄊㄞˋ
錶	ㄅㄧㄠˇ
不好意思	ㄅㄨˋ ㄏㄠˇ ㄧˋ ㄙ˙
不滿	ㄅㄨˋ ㄇㄢˇ
不要	ㄅㄨˋ ㄧㄠˋ
不如	ㄅㄨˋ ㄖㄨˊ
不久	ㄅㄨˋ ㄐㄧㄡˇ
不少	ㄅㄨˋ ㄕㄠˇ
不同	ㄅㄨˋ ㄊㄨㄥˊ
不行	ㄅㄨˋ ㄒㄧㄥˊ
不一定	ㄅㄨˋ ㄧ ㄉㄧㄥˋ
不一會兒	ㄅㄨˋ ㄧ ㄏㄨㄟˇ ㄦ˙
部分	ㄅㄨˋ ㄈㄣ˙
菜單	ㄘㄞˋ ㄉㄢ
參觀	ㄘㄢ ㄍㄨㄢ
才	ㄘㄞˊ
參加	ㄘㄢ ㄐㄧㄚ
草地	ㄘㄠˇ ㄉㄧˋ
層	ㄘㄥˊ
草	ㄘㄠˇ
差不多	ㄔㄚˋ ㄅㄨ˙ ㄉㄨㄛ
長	ㄓㄤˇ
查	ㄔㄚˊ
常見	ㄔㄤˊ ㄐㄧㄢˋ
常用	ㄔㄤˊ ㄩㄥˋ
場	ㄔㄤˇ
超過	ㄔㄠ ㄍㄨㄛˋ
超市	ㄔㄠ ㄕˋ
車輛	ㄔㄜ ㄌㄧㄤˋ
成績	ㄔㄥˊ ㄐㄧˋ
稱	ㄔㄥ
重複	ㄔㄨㄥˊ ㄈㄨˋ
重新	ㄔㄨㄥˊ ㄒㄧㄣ
出發	ㄔㄨ ㄈㄚ
成為	ㄔㄥˊ ㄨㄟˊ
成	ㄔㄥˊ
出國	ㄔㄨ ㄍㄨㄛˊ
出口	ㄔㄨ ㄎㄡˇ
出門	ㄔㄨ ㄇㄣˊ
出生	ㄔㄨ ㄕㄥ
出現	ㄔㄨ ㄒㄧㄢˋ
出院	ㄔㄨ ㄩㄢˋ
出租	ㄔㄨ ㄗㄨ
出租車	ㄔㄨ ㄗㄨ ㄔㄜ
吹	ㄔㄨㄟ
春節	ㄔㄨㄣ ㄐㄧㄝˊ
船	ㄔㄨㄢˊ
春天	ㄔㄨㄣ ㄊㄧㄢ
詞典	ㄘˊ ㄉㄧㄢˇ
詞	ㄘˊ
詞語	ㄘˊ ㄩˇ
