愛心	ㄞˋ ㄒㄧㄣ
安排	ㄢ ㄆㄞˊ
安裝	ㄢ ㄓㄨㄤ
按照	ㄢˋ ㄓㄠˋ
按	ㄢˋ
把握	ㄅㄚˇ ㄨㄛˋ
把	ㄅㄚˇ
白菜	ㄅㄞˊ ㄘㄞˋ
搬	ㄅㄢ
白	ㄅㄞˊ
班級	ㄅㄢ ㄐㄧˊ
搬家	ㄅㄢ ㄐㄧㄚ
辦理	ㄅㄢˋ ㄌㄧˇ
板	ㄅㄢˇ
保安	ㄅㄠˇ ㄢ
保持	ㄅㄠˇ ㄔˊ
保存	ㄅㄠˇ ㄘㄨㄣˊ
保	ㄅㄠˇ
保留	ㄅㄠˇ ㄌㄧㄡˊ
保險	ㄅㄠˇ ㄒㄧㄢˇ
保證	ㄅㄠˇ ㄓㄥˋ
保護	ㄅㄠˇ ㄏㄨˋ
報到	ㄅㄠˋ ㄉㄠˋ
背	ㄅㄟˋ
報道	ㄅㄠˋ ㄉㄠˋ
北部	ㄅㄟˇ ㄅㄨˋ
報	ㄅㄠˋ
報告	ㄅㄠˋ ㄍㄠˋ
背後	ㄅㄟˋ ㄏㄡˋ
本來	ㄅㄣˇ ㄌㄞˊ
本領	ㄅㄣˇ ㄌㄧㄥˇ
被	ㄅㄟˋ
比較	ㄅㄧˇ ㄐㄧㄠˋ
比例	ㄅㄧˇ ㄌㄧˋ
比賽	ㄅㄧˇ ㄙㄞˋ
必然	ㄅㄧˋ ㄖㄢˊ
被子	ㄅㄟˋ ㄗ˙
變化	ㄅㄧㄢˋ ㄏㄨㄚˋ
本事	ㄅㄣˇ ㄕ˙
變為	ㄅㄧㄢˋ ㄨㄟˊ
必要	ㄅㄧˋ ㄧㄠˋ
表達	ㄅㄧㄠˇ ㄉㄚˊ
標準	ㄅㄧㄠ ㄓㄨㄣˇ
標題	ㄅㄧㄠ ㄊㄧˊ
表格	ㄅㄧㄠˇ ㄍㄜˊ
表面	ㄅㄧㄠˇ ㄇㄧㄢˋ
表明	ㄅㄧㄠˇ ㄇㄧㄥˊ
表演	ㄅㄧㄠˇ ㄧㄢˇ
表現	ㄅㄧㄠˇ ㄒㄧㄢˋ
播出	ㄅㄛ ㄔㄨ
並且	ㄅㄧㄥˋ ㄑㄧㄝˇ
播放	ㄅㄛ ㄈㄤˋ
不必	ㄅㄨˋ ㄅㄧˋ
并	ㄅㄧㄥˋ
不論	ㄅㄨˋ ㄌㄨㄣˋ
補	ㄅㄨˇ
不斷	ㄅㄨˋ ㄉㄨㄢˋ
補充	ㄅㄨˇ ㄔㄨㄥ
不得不	ㄅㄨˋ ㄉㄜˊ ㄅㄨˋ
不安	ㄅㄨˋ ㄢ
不光	ㄅㄨˋ ㄍㄨㄤ
不僅	ㄅㄨˋ ㄐㄧㄣˇ
布	ㄅㄨˋ
步	ㄅㄨˋ
部門	ㄅㄨˋ ㄇㄣˊ
部	ㄅㄨˋ
部長	ㄅㄨˋ ㄓㄤˇ
才能	ㄘㄞˊ ㄋㄥˊ
採取	ㄘㄞˇ ㄑㄩˇ
彩色	ㄘㄞˇ ㄙㄜˋ
採用	ㄘㄞˇ ㄩㄥˋ
曾經	ㄘㄥˊ ㄐㄧㄥ
產生	ㄔㄢˇ ㄕㄥ
長處	ㄔㄤˊ ㄔㄨ˙
長城	ㄔㄤˊ ㄔㄥˊ
厰	ㄔㄤˇ
長期	ㄔㄤˊ ㄑㄧ
場合	ㄔㄤˇ ㄏㄜˊ
場所	ㄔㄤˇ ㄙㄨㄛˇ
朝	ㄔㄠˊ
吵	ㄔㄠˇ
襯衫	ㄔㄣˋ ㄕㄢ
超級	ㄔㄠ ㄐㄧˊ
吵架	ㄔㄠˇ ㄐㄧㄚˋ
襯衣	ㄔㄣˋ ㄧ
稱為	ㄔㄥ ㄨㄟˊ
成功	ㄔㄥˊ ㄍㄨㄥ
成果	ㄔㄥˊ ㄍㄨㄛˇ
成就	ㄔㄥˊ ㄐㄧㄡˋ
成熟	ㄔㄥˊ ㄕㄨˊ
成立	ㄔㄥˊ ㄌㄧˋ
成員	ㄔㄥˊ ㄩㄢˊ
成長	ㄔㄥˊ ㄓㄤˇ
城	ㄔㄥˊ
城市	ㄔㄥˊ ㄕˋ
持續	ㄔˊ ㄒㄩˋ
程度	ㄔㄥˊ ㄉㄨˋ
初	ㄔㄨ
充滿	ㄔㄨㄥ ㄇㄢˇ
初步	ㄔㄨ ㄅㄨˋ
初級	ㄔㄨ ㄐㄧˊ
重	ㄓㄨㄥˋ
初中	ㄔㄨ ㄓㄨㄥ
除了	ㄔㄨˊ ㄌㄜ˙
處理	ㄔㄨˇ ㄌㄧˇ
傳	ㄔㄨㄢˊ
傳播	ㄔㄨㄢˊ ㄅㄛ
傳說	ㄔㄨㄢˊ ㄕㄨㄛ
創新	ㄔㄨㄤˋ ㄒㄧㄣ
創造	ㄔㄨㄤˋ ㄗㄠˋ
傳來	ㄔㄨㄢˊ ㄌㄞˊ
創作	ㄔㄨㄤˋ ㄗㄨㄛˋ
創業	ㄔㄨㄤˋ ㄧㄝˋ
從前	ㄘㄨㄥˊ ㄑㄧㄢˊ
從來	ㄘㄨㄥˊ ㄌㄞˊ
從事	ㄘㄨㄥˊ ㄕˋ
存	ㄘㄨㄣˊ
村	ㄘㄨㄣ
存在	ㄘㄨㄣˊ ㄗㄞˋ
錯誤	ㄘㄨㄛˋ ㄨˋ
達到	ㄉㄚˊ ㄉㄠˋ
打破	ㄉㄚˇ ㄆㄛ˙
大概	ㄉㄚˋ ㄍㄞˋ
打聽	ㄉㄚˇ ㄊㄧㄥ˙
大使館	ㄉㄚˋ ㄕˇ ㄍㄨㄢˇ
大約	ㄉㄚˋ ㄩㄝ
代	ㄉㄞˋ
代表	ㄉㄞˋ ㄅㄧㄠˇ
大夫	ㄉㄚˋ ㄈㄨ
代表團	ㄉㄞˋ ㄅㄧㄠˇ ㄊㄨㄢˊ
帶動	ㄉㄞˋ ㄉㄨㄥˋ
單元	ㄉㄢ ㄩㄢˊ
當初	ㄉㄤ ㄔㄨ
帶領	ㄉㄞˋ ㄌㄧㄥˇ
當然	ㄉㄤ ㄖㄢˊ
當地	ㄉㄤ ㄉㄧˋ
當中	ㄉㄤ ㄓㄨㄥ
刀	ㄉㄠ
導演	ㄉㄠˇ ㄧㄢˇ
到達	ㄉㄠˋ ㄉㄚˊ
得分	ㄉㄜˊ ㄈㄣ
到底	ㄉㄠˋ ㄉㄧˇ
等待	ㄉㄥˇ ㄉㄞˋ
底下	ㄉㄧˇ ㄒㄧㄚ˙
地區	ㄉㄧˋ ㄑㄩ
電視臺	ㄉㄧㄢˋ ㄕˋ ㄊㄞˊ
電臺	ㄉㄧㄢˋ ㄊㄞˊ
電子郵件	ㄉㄧㄢˋ ㄗˇ ㄧㄡˊ ㄐㄧㄢˋ
調	ㄉㄧㄠˋ
電視劇	ㄉㄧㄢˋ ㄕˋ ㄐㄩˋ
調查	ㄉㄧㄠˋ ㄔㄚˊ
訂	ㄉㄧㄥˋ
定期	ㄉㄧㄥˋ ㄑㄧ
東部	ㄉㄨㄥ ㄅㄨˋ
動人	ㄉㄨㄥˋ ㄖㄣˊ
讀者	ㄉㄨˊ ㄓㄜˇ
動力	ㄉㄨㄥˋ ㄌㄧˋ
短褲	ㄉㄨㄢˇ ㄎㄨˋ
短處	ㄉㄨㄢˇ ㄔㄨ˙
斷	ㄉㄨㄢˋ
