阿姨	ㄚ ㄧˊ
啊	ㄚ˙
愛國	ㄞˋ ㄍㄨㄛˊ
矮	ㄞˇ
愛護	ㄞˋ ㄏㄨˋ
矮小	ㄞˇ ㄒㄧㄠˇ
按時	ㄢˋ ㄕˊ
安置	ㄢ ㄓˋ
暗示	ㄢˋ ㄕˋ
安	ㄢ
百貨	ㄅㄞˇ ㄏㄨㄛˋ
暗	ㄢˋ
擺	ㄅㄞˇ
擺動	ㄅㄞˇ ㄉㄨㄥˋ
巴士	ㄅㄚ ㄕˋ
擺脫	ㄅㄞˇ ㄊㄨㄛ
辦事	ㄅㄢˋ ㄕˋ
包裹	ㄅㄠ ㄍㄨㄛˇ
敗	ㄅㄞˋ
包括	ㄅㄠ ㄎㄨㄛˋ
寶	ㄅㄠˇ
包含	ㄅㄠ ㄏㄢˊ
寶寶	ㄅㄠˇ ㄅㄠ˙
寶貝	ㄅㄠˇ ㄅㄟˋ
寶貴	ㄅㄠˇ ㄍㄨㄟˋ
寶石	ㄅㄠˇ ㄕˊ
保守	ㄅㄠˇ ㄕㄡˇ
抱	ㄅㄠˋ
背景	ㄅㄟˋ ㄐㄧㄥˇ
倍	ㄅㄟˋ
保密	ㄅㄠˇ ㄇㄧˋ
本科	ㄅㄣˇ ㄎㄜ
薄	ㄅㄠˊ
比分	ㄅㄧˇ ㄈㄣ
畢業	ㄅㄧˋ ㄧㄝˋ
笨	ㄅㄣˋ
畢業生	ㄅㄧˋ ㄧㄝˋ ㄕㄥ
避	ㄅㄧˋ
避免	ㄅㄧˋ ㄇㄧㄢˇ
被迫	ㄅㄟˋ ㄆㄛˋ
辯論	ㄅㄧㄢˋ ㄌㄨㄣˋ
標志	ㄅㄧㄠ ㄓˋ
編	ㄅㄧㄢ
表情	ㄅㄧㄠˇ ㄑㄧㄥˊ
表揚	ㄅㄧㄠˇ ㄧㄤˊ
別	ㄅㄧㄝˊ
冰	ㄅㄧㄥ
冰箱	ㄅㄧㄥ ㄒㄧㄤ
冰雪	ㄅㄧㄥ ㄒㄩㄝˇ
兵	ㄅㄧㄥ
并	ㄅㄧㄥˋ
不要緊	ㄅㄨˋ ㄧㄠˋ ㄐㄧㄣˇ
不管	ㄅㄨˋ ㄍㄨㄢˇ
不在乎	ㄅㄨˋ ㄗㄞˋ ㄏㄨ˙
布置	ㄅㄨˋ ㄓˋ
不然	ㄅㄨˋ ㄖㄢˊ
步行	ㄅㄨˋ ㄒㄧㄥˊ
才	ㄘㄞˊ
擦	ㄘㄚ
材料	ㄘㄞˊ ㄌㄧㄠˋ
財富	ㄘㄞˊ ㄈㄨˋ
財產	ㄘㄞˊ ㄔㄢˇ
參考	ㄘㄢ ㄎㄠˇ
參與	ㄘㄢ ㄩˋ
採訪	ㄘㄞˇ ㄈㄤˇ
操場	ㄘㄠ ㄔㄤˇ
操作	ㄘㄠ ㄗㄨㄛˋ
測量	ㄘㄜˋ ㄌㄧㄤˊ
測	ㄘㄜˋ
測試	ㄘㄜˋ ㄕˋ
茶葉	ㄔㄚˊ ㄧㄝˋ
產品	ㄔㄢˇ ㄆㄧㄣˇ
曾	ㄘㄥˊ
長途	ㄔㄤˊ ㄊㄨˊ
唱片	ㄔㄤˋ ㄆㄧㄢˋ
常識	ㄔㄤˊ ㄕˊ
抄寫	ㄔㄠ ㄒㄧㄝˇ
潮流	ㄔㄠˊ ㄌㄧㄡˊ
抄	ㄔㄠ
潮	ㄔㄠˊ
徹底	ㄔㄜˋ ㄉㄧˇ
潮濕	ㄔㄠˊ ㄕ
沉	ㄔㄣˊ
沉默	ㄔㄣˊ ㄇㄛˋ
沉重	ㄔㄣˊ ㄓㄨㄥˋ
成人	ㄔㄥˊ ㄖㄣˊ
誠實	ㄔㄥˊ ㄕ˙
稱贊	ㄔㄥ ㄗㄢˋ
承擔	ㄔㄥˊ ㄉㄢ
承認	ㄔㄥˊ ㄖㄣˋ
誠信	ㄔㄥˊ ㄒㄧㄣˋ
程序	ㄔㄥˊ ㄒㄩˋ
吃驚	ㄔ ㄐㄧㄥ
承受	ㄔㄥˊ ㄕㄡˋ
尺	ㄔˇ
遲到	ㄔˊ ㄉㄠˋ
沖	ㄔㄨㄥ
尺子	ㄔˇ ㄗ˙
充電	ㄔㄨㄥ ㄉㄧㄢˋ
充電器	ㄔㄨㄥ ㄉㄧㄢˋ ㄑㄧˋ
尺寸	ㄔˇ ㄘㄨㄣ˙
蟲子	ㄔㄨㄥˊ ㄗ˙
充分	ㄔㄨㄥ ㄈㄣˋ
抽	ㄔㄡ
抽獎	ㄔㄡ ㄐㄧㄤˇ
出口	ㄔㄨ ㄎㄡˇ
抽煙	ㄔㄡ ㄧㄢ
出色	ㄔㄨ ㄙㄜˋ
出席	ㄔㄨ ㄒㄧˊ
處於	ㄔㄨˇ ㄩˊ
出售	ㄔㄨ ㄕㄡˋ
處	ㄔㄨˋ
穿上	ㄔㄨㄢ ㄕㄤ˙
窗戶	ㄔㄨㄤ ㄏㄨ˙
窗臺	ㄔㄨㄤ ㄊㄞˊ
