安慰	安慰	<span class="pinYinWrapper"><span class="t1">ān</span><span class="t4">wèi</span></span>	<span class="zhuyin">ㄢ ㄨㄟˋ</span>	[sound:cmn-安慰.mp3]	<div class="char"><span class="char-tone1">安</span><span class="char-tone4">慰</span></div><div class="pinyin"><span class="pinYinWrapper"><span class="t1">ān</span><span class="t4">wèi</span></span></div><div class='meaning'><ul><li>Comfort</li></ul></div>
岸	岸	<span class="pinYinWrapper"><span class="t4">àn</span></span>	<span class="zhuyin">ㄢˋ</span>	[sound:cmn-岸.mp3]	<div class="char"><span class="char-tone4">岸</span></div><div class="pinyin"><span class="pinYinWrapper"><span class="t4">àn</span></span></div><div class='meaning'><ul><li>variant of 岸[an4]</li><li> bank</li><li> shore</li><li> beach</li><li> coast</li><li> CL:個|个[ge4]</li></ul></div>
岸上	岸上	<span class="pinYinWrapper"><span class="t4">àn</span> <span class="t4">shàng</span></span>	<span class="zhuyin">ㄢˋ ㄕㄤˋ</span>	[sound:cmn-岸上.mp3]	<div class="char"><span class="char-tone4">岸</span><span class="char-tone4">上</span></div><div class="pinyin"><span class="pinYinWrapper"><span class="t4">àn</span> <span class="t4">shàng</span></span></div><div class='meaning'><ul><li>ashore</li><li> on the riverbank</li></ul></div>
按摩	按摩	<span class="pinYinWrapper"><span class="t4">àn</span> <span class="t2">mó</span></span>	<span class="zhuyin">ㄢˋ ㄇㄛˊ</span>	[sound:cmn-按摩.mp3]	<div class="char"><span class="char-tone4">按</span><span class="char-tone2">摩</span></div><div class="pinyin"><span class="pinYinWrapper"><span class="t4">àn</span> <span class="t2">mó</span></span></div><div class='meaning'><ul><li>massage</li><li> to massage</li></ul></div>
拔	拔	<span class="pinYinWrapper"><span class="t2">bá</span></span>	<span class="zhuyin">ㄅㄚˊ</span>	[sound:cmn-拔.mp3]	<div class="char"><span class="char-tone2">拔</span></div><div class="pinyin"><span class="pinYinWrapper"><span class="t2">bá</span></span></div><div class='meaning'><ul><li>to pull up</li><li> to pull out</li><li> to draw out by suction</li><li> to select</li><li> to pick</li><li> to stand out (above level)</li><li> to surpass</li><li> to seize</li></ul></div>
白酒	白酒	<span class="pinYinWrapper"><span class="t2">bái</span> <span class="t3">jiǔ</span></span>	<span class="zhuyin">ㄅㄞˊ ㄐㄧㄡˇ</span>	[sound:cmn-白酒.mp3]	<div class="char"><span class="char-tone2">白</span><span class="char-tone3">酒</span></div><div class="pinyin"><span class="pinYinWrapper"><span class="t2">bái</span> <span class="t3">jiǔ</span></span></div><div class='meaning'><ul><li>spirit usually distilled from sorghum or maize</li><li> white spirit</li></ul></div>
拜访	拜訪	<span class="pinYinWrapper"><span class="t4">bài</span> <span class="t3">fǎng</span></span>	<span class="zhuyin">ㄅㄞˋ ㄈㄤˇ</span>	[sound:cmn-拜访.mp3]	<div class="char"><span class="char-tone4">拜</span><span class="char-tone3">访</span></div><div class="pinyin"><span class="pinYinWrapper"><span class="t4">bài</span> <span class="t3">fǎng</span></span></div><div class='meaning'><ul><li>to pay a visit</li><li> to call on</li></ul></div>
版	版	<span class="pinYinWrapper"><span class="t3">bǎn</span></span>	<span class="zhuyin">ㄅㄢˇ</span>	[sound:cmn-版.mp3]	<div class="char"><span class="char-tone3">版</span></div><div class="pinyin"><span class="pinYinWrapper"><span class="t3">bǎn</span></span></div><div class='meaning'><ul><li>a register</li><li> block of printing</li><li> edition</li><li> version</li><li> page</li></ul></div>
扮演	扮演	<span class="pinYinWrapper"><span class="t4">bàn</span> <span class="t3">yǎn</span></span>	<span class="zhuyin">ㄅㄢˋ ㄧㄢˇ</span>	[sound:cmn-扮演.mp3]	<div class="char"><span class="char-tone4">扮</span><span class="char-tone3">演</span></div><div class="pinyin"><span class="pinYinWrapper"><span class="t4">bàn</span> <span class="t3">yǎn</span></span></div><div class='meaning'><ul><li>to play the role of</li><li> to act</li></ul></div>
棒	棒	<span class="pinYinWrapper"><span class="t4">bàng</span></span>	<span class="zhuyin">ㄅㄤˋ</span>	[sound:cmn-棒.mp3]	<div class="char"><span class="char-tone4">棒</span></div><div class="pinyin"><span class="pinYinWrapper"><span class="t4">bàng</span></span></div><div class='meaning'><ul><li>stick</li><li> club</li><li> cudgel</li><li> smart</li><li> capable</li><li> strong</li><li> wonderful</li><li> classifier for legs of a relay race</li></ul></div>
