挨着	挨著	"<span class=""pinYinWrapper""><span class=""t1"">āi</span><span class=""t0"">zhe</span></span>"	"<span class=""zhuyin"">ㄞ ㄓㄜ˙</span>"	[sound:cmn-挨着.mp3]	"<div class=""char""><span id=""char-sim-id""><span class=""char-tone1"">挨</span><span class=""char-tone0"">着</span></span><span class=""sep"">〔</span><span id=""char-trad-id""><span class=""char-tone1"">挨</span><span class=""char-tone0"">著</span></span><span class=""sep"">〕</span></div><div class=""pinyin""><span class=""pinYinWrapper""><span class=""t1"">āi</span><span class=""t0"">zhe</span></span></div><span class=""zhuyin"">ㄞ ㄓㄜ˙</span><div class=""meaning""><ul><li>Look at</li></ul></div>"
挨	挨	"<span class=""pinYinWrapper""><span class=""t1"">āi</span></span>, <span class=""pinYinWrapper""><span class=""t2"">ái</span></span>"	"<span class=""zhuyin"">ㄞ</span>, <span class=""zhuyin"">ㄞˊ</span>"	[sound:cmn-挨.mp3]	"<div class=""char""><span id=""char-sim-id""><span class=""char-tone1"">挨</span></span></div><div class=""pinyin""><span class=""pinYinWrapper""><span class=""t1"">āi</span></span></div><span class=""zhuyin"">ㄞ</span><div class=""meaning""><ul><li>in order</li><li> in sequence</li><li> close to</li><li> adjacent to</li></ul></div><div class=""char""><span id=""char-sim-id""><span class=""char-tone2"">挨</span></span></div><div class=""pinyin""><span class=""pinYinWrapper""><span class=""t2"">ái</span></span></div><span class=""zhuyin"">ㄞˊ</span><div class=""meaning""><ul><li>to suffer</li><li> to endure</li><li> to pull through (hard times)</li><li> to delay</li><li> to stall</li><li> to play for time</li><li> to dawdle</li></ul></div>"
挨打	挨打	"<span class=""pinYinWrapper""><span class=""t2"">ái</span> <span class=""t3"">dǎ</span></span>"	"<span class=""zhuyin"">ㄞˊ ㄉㄚˇ</span>"	[sound:cmn-挨打.mp3]	"<div class=""char""><span id=""char-sim-id""><span class=""char-tone2"">挨</span><span class=""char-tone3"">打</span></span></div><div class=""pinyin""><span class=""pinYinWrapper""><span class=""t2"">ái</span> <span class=""t3"">dǎ</span></span></div><span class=""zhuyin"">ㄞˊ ㄉㄚˇ</span><div class=""meaning""><ul><li>to take a beating</li><li> to get thrashed</li><li> to come under attack</li></ul></div>"
安检	安檢	"<span class=""pinYinWrapper""><span class=""t1"">ān</span> <span class=""t3"">jiǎn</span></span>"	"<span class=""zhuyin"">ㄢ ㄐㄧㄢˇ</span>"	[sound:cmn-安检.mp3]	"<div class=""char""><span id=""char-sim-id""><span class=""char-tone1"">安</span><span class=""char-tone3"">检</span></span><span class=""sep"">〔</span><span id=""char-trad-id""><span class=""char-tone1"">安</span><span class=""char-tone3"">檢</span></span><span class=""sep"">〕</span></div><div class=""pinyin""><span class=""pinYinWrapper""><span class=""t1"">ān</span> <span class=""t3"">jiǎn</span></span></div><span class=""zhuyin"">ㄢ ㄐㄧㄢˇ</span><div class=""meaning""><ul><li>safety check</li></ul></div>"
罢工	罷工	"<span class=""pinYinWrapper""><span class=""t4"">bà</span> <span class=""t1"">gōng</span></span>"	"<span class=""zhuyin"">ㄅㄚˋ ㄍㄨㄥ</span>"	[sound:cmn-罢工.mp3]	"<div class=""char""><span id=""char-sim-id""><span class=""char-tone4"">罢</span><span class=""char-tone1"">工</span></span><span class=""sep"">〔</span><span id=""char-trad-id""><span class=""char-tone4"">罷</span><span class=""char-tone1"">工</span></span><span class=""sep"">〕</span></div><div class=""pinyin""><span class=""pinYinWrapper""><span class=""t4"">bà</span> <span class=""t1"">gōng</span></span></div><span class=""zhuyin"">ㄅㄚˋ ㄍㄨㄥ</span><div class=""meaning""><ul><li>a strike</li><li> to go on strike</li></ul></div>"
罢了	罷了	"<span class=""pinYinWrapper""><span class=""t4"">bà</span> <span class=""t0"">le</span></span>, <span class=""pinYinWrapper""><span class=""t4"">bà</span> <span class=""t3"">liǎo</span></span>"	"<span class=""zhuyin"">ㄅㄚˋ ㄌㄜ˙</span>, <span class=""zhuyin"">ㄅㄚˋ ㄌㄧㄠˇ</span>"	[sound:cmn-罢了.mp3]	"<div class=""char""><span id=""char-sim-id""><span class=""char-tone4"">罢</span><span class=""char-tone0"">了</span></span><span class=""sep"">〔</span><span id=""char-trad-id""><span class=""char-tone4"">罷</span><span class=""char-tone0"">了</span></span><span class=""sep"">〕</span></div><div class=""pinyin""><span class=""pinYinWrapper""><span class=""t4"">bà</span> <span class=""t0"">le</span></span></div><span class=""zhuyin"">ㄅㄚˋ ㄌㄜ˙</span><div class=""meaning""><ul><li>a modal particle indicating (that's all, only, nothing much)</li></ul></div><div class=""char""><span id=""char-sim-id""><span class=""char-tone4"">罢</span><span class=""char-tone3"">了</span></span><span class=""sep"">〔</span><span id=""char-trad-id""><span class=""char-tone4"">罷</span><span class=""char-tone3"">了</span></span><span class=""sep"">〕</span></div><div class=""pinyin""><span class=""pinYinWrapper""><span class=""t4"">bà</span> <span class=""t3"">liǎo</span></span></div><span class=""zhuyin"">ㄅㄚˋ ㄌㄧㄠˇ</span><div class=""meaning""><ul><li>a modal particle indicating (don't mind it, ok)</li></ul></div>"
白领	白領	"<span class=""pinYinWrapper""><span class=""t2"">bái</span> <span class=""t3"">lǐng</span></span>"	"<span class=""zhuyin"">ㄅㄞˊ ㄌㄧㄥˇ</span>"	[sound:cmn-白领.mp3]	"<div class=""char""><span id=""char-sim-id""><span class=""char-tone2"">白</span><span class=""char-tone3"">领</span></span><span class=""sep"">〔</span><span id=""char-trad-id""><span class=""char-tone2"">白</span><span class=""char-tone3"">領</span></span><span class=""sep"">〕</span></div><div class=""pinyin""><span class=""pinYinWrapper""><span class=""t2"">bái</span> <span class=""t3"">lǐng</span></span></div><span class=""zhuyin"">ㄅㄞˊ ㄌㄧㄥˇ</span><div class=""meaning""><ul><li>white collar</li><li> business person</li></ul></div>"
百分点	百分點	"<span class=""pinYinWrapper""><span class=""t3"">bǎi</span> <span class=""t1"">fēn</span> <span class=""t3"">diǎn</span></span>"	"<span class=""zhuyin"">ㄅㄞˇ ㄈㄣ ㄉㄧㄢˇ</span>"	[sound:cmn-百分点.mp3]	"<div class=""char""><span id=""char-sim-id""><span class=""char-tone3"">百</span><span class=""char-tone1"">分</span><span class=""char-tone3"">点</span></span><span class=""sep"">〔</span><span id=""char-trad-id""><span class=""char-tone3"">百</span><span class=""char-tone1"">分</span><span class=""char-tone3"">點</span></span><span class=""sep"">〕</span></div><div class=""pinyin""><span class=""pinYinWrapper""><span class=""t3"">bǎi</span> <span class=""t1"">fēn</span> <span class=""t3"">diǎn</span></span></div><span class=""zhuyin"">ㄅㄞˇ ㄈㄣ ㄉㄧㄢˇ</span><div class=""meaning""><ul><li>percentage point</li></ul></div>"
办公	辦公	"<span class=""pinYinWrapper""><span class=""t4"">bàn</span> <span class=""t1"">gōng</span></span>"	"<span class=""zhuyin"">ㄅㄢˋ ㄍㄨㄥ</span>"	[sound:cmn-办公.mp3]	"<div class=""char""><span id=""char-sim-id""><span class=""char-tone4"">办</span><span class=""char-tone1"">公</span></span><span class=""sep"">〔</span><span id=""char-trad-id""><span class=""char-tone4"">辦</span><span class=""char-tone1"">公</span></span><span class=""sep"">〕</span></div><div class=""pinyin""><span class=""pinYinWrapper""><span class=""t4"">bàn</span> <span class=""t1"">gōng</span></span></div><span class=""zhuyin"">ㄅㄢˋ ㄍㄨㄥ</span><div class=""meaning""><ul><li>to handle official business</li><li> to work (esp. in an office)</li></ul></div>"
办事处	辦事處	"<span class=""pinYinWrapper""><span class=""t4"">bàn</span> <span class=""t4"">shì</span> <span class=""t4"">chù</span></span>"	"<span class=""zhuyin"">ㄅㄢˋ ㄕˋ ㄔㄨˋ</span>"	[sound:cmn-办事处.mp3]	"<div class=""char""><span id=""char-sim-id""><span class=""char-tone4"">办</span><span class=""char-tone4"">事</span><span class=""char-tone4"">处</span></span><span class=""sep"">〔</span><span id=""char-trad-id""><span class=""char-tone4"">辦</span><span class=""char-tone4"">事</span><span class=""char-tone4"">處</span></span><span class=""sep"">〕</span></div><div class=""pinyin""><span class=""pinYinWrapper""><span class=""t4"">bàn</span> <span class=""t4"">shì</span> <span class=""t4"">chù</span></span></div><span class=""zhuyin"">ㄅㄢˋ ㄕˋ ㄔㄨˋ</span><div class=""meaning""><ul><li>office</li><li> agency</li></ul></div>"
