1.	挨	43.	扯	85.	爹	127. 钩
2.	癌	44.	陈	86.	叠	128. 谷
3.	疤	45.	秤	87.	碟	129. 雇
4.	坝	46.	痴	88.	丁	130. 乖
5.	罢	47.	耻	89.	盯	131. 灌
6.	掰	48.	赤	90.	钉	132. 鬼
7.	扳	49.	仇	91.	董	133. 函
8.	颁	50.	绸	92.	兜	134. 撼
9.	拌	51.	畴	93.	抖	135. 呵
10.	绊	52.	酬	94.	陡	136. 禾
11.	绑	53.	稠	95.	赌	137. 哼
12.	磅	54.	瞅	96.	妒	138. 恒
13.	煲	55.	锄	97.	兑	139. 轰
14.	卑	56.	揣	98.	炖	140. 哄
15.	碑	57.	踹	99.	鹅	141. 烘
16.	绷	58.	喘	100.	遏	142. 弘
17.	蹦	59.	幢	101.	恩	143. 吼
18.	弊	60.	捶	102.	伐	144. 唤
19.	贬	61.	锤	103.	废	145. 焕
20.	扁	62.	蠢	104.	沸	146. 荒
21.	辨	63.	戳	105.	坟	147. 慌
22.	辩	64.	慈	106.	粪	148. 凰
23.	憋	65.	赐	107.	锋	149. 煌
24.	丙	66.	葱	108.	逢	150. 晃
25.	波	67.	丛	109.	凤	151. 谎
26.	剥	68.	凑	110.	缝	152. 辉
27.	伯	69.	窜	111.	敷	153. 毁
28.	勃	70.	粹	112.	伏	154. 昏
29.	搏	71.	搓	113.	辐	155. 荤
30.	卜	72.	逮	114.	抚	156. 魂
31.	怖	73.	党	115.	赴	157. 豁
32.	惨	74.	荡	116.	腹	158. 稽
33.	灿	75.	盗	117.	钙	159. 忌
34.	蹭	76.	蹬	118.	甘	160. 剂
35.	岔	77.	瞪	119.	杆	161. 祭
36.	掺	78.	堤	120.	纲	162. 暨
37.	搀	79.	颠	121.	缸	163. 煎
38.	馋	80.	垫	122.	搁	164. 拣
39.	缠	81.	淀	123.	耕	165. 俭
40.	铲	82.	奠	124.	弓	166. 贱
41.	阐	83.	叼	125.	拱	167. 溅
42.	昌	84.	雕	126.	勾	168. 姜
169.僵	213.勒	257. 莫	301. 翘
170.桨	214.愣	258. 墨	302. 撬
171.匠	215.廉	259. 谋	303. 侵
172.绞	216.咧	260. 亩	304. 擎
173.搅	217.猎	261. 牧	305. 驱
174.缴	218.裂	262. 募	306. 诠
175.皆	219.拎	263. 墓	307. 拳
176.揭	220.赁	264. 乃	308. 瘸
177.劫	221.聆	265. 挠	309. 嚷
178.竭	222.溜	266. 嫩	310. 饶
179.筋	223.瘤	267. 逆	311. 惹
180.茎	224.遛	268. 腻	312. 仁
181.晶	225.聋	269. 黏	313. 饪
182.鲸	226.隆	270. 撵	314. 揉
183.揪	227.搂	271. 尿	315. 若
184.倔	228.陋	272. 捏	316. 桑
185.掘	229.鹿	273. 宁	317. 骚
186.崛	230.卵	274. 凝	318. 纱
187.嚼	231.抡	275. 纽	319. 捎
188.俊	232.萝	276. 钮	320. 哨
189.峻	233.裸	277. 挪	321. 肾
190.慨	234.屡	278. 趴	322. 渗
191.堪	235.缕	279. 攀	323. 牲
192.侃	236.脉	280. 畔	324. 圣
193.槛	237.瞒	281. 刨	325. 屎
194.扛	238.蔓	282. 炮	326. 逝
195.磕	239.茫	283. 烹	327. 梳
196.壳	240.枚	284. 棚	328. 疏
197.恳	241.昧	285. 蓬	329. 赎
198.啃	242.闷	286. 劈	330. 署
199.坑	243.蒙	287. 辟	331. 墅
200.孔	244.盟	288. 偏	332. 耍
201.抠	245.猛	289. 泊	333. 甩
202.垮	246.眯	290. 颇	334. 拴
203.挎	247.谜	291. 魄	335. 涮
204.跨	248.泌	292. 谱	336. 霜
205.筐	249.苗	293. 曝	337. 爽
206.框	250.庙	294. 沏	338. 丝
207.愧	251.蔑	295. 漆	339. 撕
208.捆	252.鸣	296. 乞	340. 寺
209.蜡	253.膜	297. 契	341. 肆
210.揽	254.磨	298. 掐	342. 耸
211. 捞	255.魔	299. 迁	343. 讼
212.涝	256.抹	300. 呛	344. 苏
345.酥	389.狭	433. 溢	477. 振
346.蒜	390.辖	434. 翼	478. 蒸
347.塌	391.仙	435. 瘾	479. 旨
348.拓	392.纤	436. 鹰	480. 帜
349.胎	393.掀	437. 盈	481. 滞
350.贪	394.弦	438. 庸	482. 忠
351.摊	395.衔	439. 诱	483. 衷
352.滩	396.宪	440. 愚	484. 宙
353.瘫	397.镶	441. 舆	485. 皱
354.痰	398.巷	442. 屿	486. 烛
355.坦	399.邪	443. 宇	487. 拄
356.叹	400.泄	444. 郁	488. 嘱
357.炭	401.泻	445. 御	489. 驻
358.淌	402.卸	446. 愈	490. 拽
359.陶	403.懈	447. 冤	491. 撰
360.腾	404.馨	448. 缘	492. 桩
361.剃	405.腥	449. 曰	493. 坠
362.舔	406.刑	450. 悦	494. 卓
363.捅	407.凶	451. 蕴	495. 兹
364.凸	408.绣	452. 熨	496. 滋
365.秃	409.锈	453. 砸	497. 籽
366.涂	410.嗅	454. 栽	498. 宗
367.臀	411. 吁	455. 宰	499. 纵
368.驮	412.玄	456. 攒	500. 揍
369.妥	413.悬	457. 葬	
370.瓦	414.削	458. 凿	
371.丸	415.穴	459. 枣	
372.挽	416.熏	460. 灶	
373.旺	417.巡	461. 躁	
374.伪	418.驯	462. 贼	
375.畏	419.芽	463. 渣	
376.纹	420.涯	464. 闸	
377.吻	421.哑	465. 诈	
378.窝	422.雅	466. 榨	
379.捂	423.衍	467. 债	
380.勿	424.掩	468. 沾	
381.悟	425.咽	469. 斩	
382.牺	426.窑	470. 盏	
383.稀	427.耀	471. 绽	
384.溪	428.矣	472. 蘸	
385.袭	429.倚	473. 彰	
386.虾	430.亦	474. 胀	
387.瞎	431.役	475. 罩	
388.峡	432.绎	476. 遮	
