1.	按	43.	达	85.	膏	127. 即
2.	案	44.	待	86.	胳	128. 籍
3.	傲	45.	袋	87.	格	129. 计
4.	巴	46.	戴	88.	各	130. 纪
5.	败	47.	弹	89.	功	131. 技
6.	棒	48.	刀	90.	供	132. 际
7.	保	49.	导	91.	购	133. 济
8.	抱	50.	倒	92.	够	134. 既
9.	背	51.	登	93.	估	135. 继
10.	倍	52.	低	94.	姑	136. 寄
11.	笨	53.	底	95.	鼓	137. 价
12.	鼻	54.	递	96.	挂	138. 减
13.	毕	55.	掉	97.	观	139. 建
14.	标	56.	订	98.	管	140. 键
15.	饼	57.	堵	99.	光	141. 江
16.	并	58.	肚	100.	广	142. 将
17.	播	59.	度	101.	逛	143. 奖
18.	博	60.	断	102.	规	144. 降
19.	膊	61.	队	103.	咳	145. 郊
20.	部	62.	顿	104.	寒	146. 骄
21.	擦	63.	尔	105.	喊	147. 巾
22.	猜	64.	翻	106.	汗	148. 金
23.	材	65.	烦	107.	航	149. 仅
24.	彩	66.	反	108.	何	150. 尽
25.	餐	67.	费	109.	盒	151. 紧
26.	操	68.	份	110.	贺	152. 禁
27.	厕	69.	奋	111.	厚	153. 京
28.	察	70.	丰	112.	呼	154. 惊
29.	产	71.	否	113.	忽	155. 精
30.	厂	72.	肤	114.	虎	156. 景
31.	晨	73.	符	115.	互	157. 警
32.	诚	74.	幅	116.	户	158. 竞
33.	乘	75.	福	117.	划	159. 竟
34.	程	76.	父	118.	怀	160. 镜
35.	厨	77.	付	119.	悔	161. 究
36.	础	78.	负	120.	伙	162. 举
37.	窗	79.	傅	121.	货	163. 拒
38.	吹	80.	富	122.	获	164. 具
39.	此	81.	改	123.	圾	165. 剧
40.	粗	82.	赶	124.	积	166. 距
41.	村	83.	敢	125.	基	167. 聚
42.	存	84.	钢	126.	及	168. 绝
169.烤	213.秒	257. 琴	301. 死
170.科	214.民	258. 青	302. 松
171.棵	215.命	259. 庆	303. 嗽
172.克	216.默	260. 取	304. 速
173.肯	217.母	261. 缺	305. 塑
174.恐	218.慕	262. 却	306. 酸
175.苦	219.耐	263. 确	307. 随
176.况	220.恼	264. 染	308. 孙
177.困	221.闹	265. 扰	309. 台
178.垃	222.内	266. 任	310. 抬
179.拉	223.嗯	267. 扔	311. 态
180.辣	224.娘	268. 仍	312. 谈
181.懒	225.农	269. 入	313. 汤
182.浪	226.弄	270. 散	314. 躺
183.厉	227.暖	271. 森	315. 趟
184.丽	228.偶	272. 伤	316. 萄
185.励	229.排	273. 稍	317. 讨
186.利	230.牌	274. 社	318. 套
187.例	231.判	275. 摄	319. 堂
188.俩	232.乓	276. 申	320. 填
189.连	233.陪	277. 深	321. 厅
190.联	234.批	278. 甚	322. 庭
191.谅	235.皮	279. 省	323. 停
192.量	236.脾	280. 剩	324. 通
193.列	237.篇	281. 失	325. 童
194.林	238.频	282. 拾	326. 桶
195.龄	239.品	283. 食	327. 痛
196.另	240.聘	284. 使	328. 土
197.流	241.乒	285. 氏	329. 推
198.乱	242.评	286. 示	330. 脱
199.论	243.泼	287. 式	331. 袜
200.落	244.破	288. 柿	332. 危
201.律	245.葡	289. 释	333. 微
202.虑	246.普	290. 匙	334. 围
203.麻	247.戚	291. 首	335. 味
204.馒	248.弃	292. 授	336. 温
205.漫	249.签	293. 售	337. 污
206.帽	250.歉	294. 输	338. 无
207.貌	251.强	295. 熟	339. 误
208.美	252.敲	296. 暑	340. 吸
209.梦	253.桥	297. 术	341. 悉
210.迷	254.巧	298. 帅	342. 惜
211. 密	255.切	299. 顺	343. 细
212.免	256.亲	300. 硕	344. 咸
345.险	370.研	395. 愉	420. 值
346.线	371.盐	396. 与	421. 职
347.羡	372.厌	397. 预	422. 植
348.乡	373.验	398. 原	423. 止
349.详	374.扬	399. 约	424. 址
350.项	375.洋	400. 阅	425. 指
351.象	376.邀	401. 云	426. 至
352.消	377.钥	402. 允	427. 志
353.效	378.叶	403. 杂	428. 质
354.辛	379.夜	404. 仔	429. 众
355.醒	380.疑	405. 暂	430. 洲
356.幸	381.艺	406. 则	431. 祝
357.性	382.忆	407. 责	432. 著
358.兄	383.译	408. 增	433. 专
359.修	384.谊	409. 章	434. 转
360.羞	385.引	410. 账	435. 赚
361.秀	386.印	411. 招	436. 装
362.许	387.赢	412. 折	437. 资
363.序	388.永	413. 针	438. 族
364.续	389.勇	414. 争	439. 组
365.血	390.优	415. 整	440. 尊
366.压	391.幽	416. 证	441. 座
367.亚	392.尤	417. 之	
368.烟	393.由	418. 支	
369.严	394.油	419. 汁	
