1.	哎	43.	翅	85.	仿	127. 汇
2.	唉	44.	冲	86.	访	128. 惠
3.	暗	45.	充	87.	肥	129. 慧
4.	熬	46.	虫	88.	纷	130. 祸
5.	版	47.	宠	89.	疯	131. 肌
6.	扮	48.	抽	90.	扶	132. 疾
7.	伴	49.	丑	91.	佛	133. 集
8.	膀	50.	臭	92.	府	134. 辑
9.	傍	51.	触	93.	腐	135. 挤
10.	薄	52.	传	94.	妇	136. 迹
11.	宝	53.	创	95.	副	137. 佳
12.	暴	54.	辞	96.	盖	138. 嘉
13.	贝	55.	刺	97.	搞	139. 甲
14.	彼	56.	促	98.	革	140. 驾
15.	币	57.	催	99.	隔	141. 架
16.	闭	58.	措	100.	恭	142. 艰
17.	避	59.	代	101.	贡	143. 捡
18.	拨	60.	胆	102.	沟	144. 剪
19.	玻	61.	旦	103.	构	145. 荐
20.	补	62.	淡	104.	古	146. 渐
21.	布	63.	挡	105.	固	147. 践
22.	裁	64.	档	106.	冠	148. 浆
23.	采	65.	蹈	107.	瑰	149. 浇
24.	藏	66.	敌	108.	柜	150. 阶
25.	册	67.	蝶	109.	滚	151. 届
26.	测	68.	冻	110.	锅	152. 谨
27.	曾	69.	洞	111.	裹	153. 敬
28.	叉	70.	斗	112.	哈	154. 救
29.	插	71.	豆	113.	含	155. 局
30.	拆	72.	独	114.	憾	156. 橘
31.	倡	73.	堆	115.	衡	157. 巨
32.	朝	74.	吨	116.	猴	158. 捐
33.	吵	75.	盾	117.	胡	159. 卷
34.	炒	76.	躲	118.	湖	160. 军
35.	彻	77.	乏	119.	蝴	161. 均
36.	沉	78.	罚	120.	糊	162. 靠
37.	称	79.	番	121.	华	163. 颗
38.	承	80.	繁	122.	滑	164. 控
39.	橙	81.	返	123.	缓	165. 扣
40.	池	82.	泛	124.	灰	166. 库
41.	尺	83.	范	125.	挥	167. 宽
42.	齿	84.	防	126.	恢	168. 款
169.狂	213.模	257. 润	301. 索
170.亏	214.陌	258. 弱	302. 锁
171.昆	215.漠	259. 洒	303. 桃
172.扩	216.某	260. 傻	304. 替
173.括	217.木	261. 厦	305. 挑
174.览	218.幕	262. 晒	306. 贴
175.郎	219.奈	263. 删	307. 统
176.劳	220.念	264. 扇	308. 投
177.姥	221.浓	265. 善	309. 途
178.泪	222.哦	266. 擅	310. 兔
179.类	223.欧	267. 赏	311. 团
180.厘	224.派	268. 蛇	312. 退
181.梨	225.培	269. 舍	313. 拖
182.璃	226.赔	270. 设	314. 弯
183.立	227.配	271. 伸	315. 威
184.恋	228.盆	272. 神	316. 违
185.良	229.碰	273. 慎	317. 唯
186.粮	230.匹	274. 升	318. 维
187.疗	231.骗	275. 胜	319. 伟
188.烈	232.拼	276. 诗	320. 尾
189.临	233.凭	277. 施	321. 未
190.灵	234.屏	278. 湿	322. 胃
191.铃	235.婆	279. 石	323. 慰
192.领	236.齐	280. 驶	324. 稳
193.令	237.企	281. 似	325. 卧
194.浏	238.器	282. 势	326. 握
195.龙	239.浅	283. 饰	327. 伍
196.漏	240.欠	284. 守	328. 武
197.陆	241.墙	285. 殊	329. 雾
198.录	242.抢	286. 蔬	330. 夕
199.碌	243.悄	287. 属	331. 析
200.逻	244.茄	288. 鼠	332. 席
201.络	245.勤	289. 述	333. 闲
202.率	246.穷	290. 摔	334. 显
203.骂	247.曲	291. 税	335. 县
204.矛	248.趋	292. 私	336. 限
205.玫	249.权	293. 搜	337. 献
206.媒	250.劝	294. 俗	338. 厢
207.魅	251.群	295. 肃	339. 享
208.秘	252.燃	296. 素	340. 橡
209.眠	253.绕	297. 宿	341. 销
210.描	254.忍	298. 碎	342. 肖
211. 敏	255.荣	299. 损	343. 协
212.摸	256.软	300. 缩	344. 胁
345.斜	367.乙	389. 赞	411. 制
346.欣	368.亿	390. 糟	412. 治
347.形	369.义	391. 造	413. 致
348.型	370.益	392. 赠	414. 智
349.虚	371.营	393. 炸	415. 置
350.绪	372.映	394. 摘	416. 猪
351.宣	373.硬	395. 窄	417. 竹
352.寻	374.拥	396. 占	418. 逐
353.询	375.悠	397. 战	419. 煮
354.训	376.犹	398. 涨	420. 筑
355.迅	377.幼	399. 掌	421. 抓
356.押	378.余	400. 召	422. 状
357.鸭	379.娱	401. 哲	423. 撞
358.呀	380.玉	402. 珍	424. 追
359.延	381.域	403. 诊	425. 咨
360.沿	382.喻	404. 阵	426. 姿
361.腰	383.寓	405. 震	427. 紫
362.摇	384.豫	406. 征	428. 综
363.咬	385.圆	407. 挣	429. 阻
364.依	386.源	408. 政	430. 醉
365.移	387.怨	409. 织	431. 遵
366.遗	388.载	410. 执	
