1.	碍	43.	储	85.	氛	127. 恨
2.	岸	44.	串	86.	粉	128. 横
3.	昂	45.	闯	87.	愤	129. 宏
4.	拔	46.	垂	88.	峰	130. 虹
5.	摆	47.	纯	89.	蜂	131. 洪
6.	拜	48.	瓷	90.	奉	132. 壶
7.	榜	49.	匆	91.	浮	133. 幻
8.	胞	50.	醋	92.	辅	134. 患
9.	爆	51.	脆	93.	赋	135. 皇
10.	悲	52.	寸	94.	覆	136. 绘
11.	辈	53.	挫	95.	尬	137. 混
12.	奔	54.	搭	96.	肝	138. 惑
13.	逼	55.	呆	97.	尴	139. 击
14.	壁	56.	贷	98.	岗	140. 饥
15.	臂	57.	耽	99.	港	141. 吉
16.	编	58.	诞	100.	稿	142. 寂
17.	兵	59.	岛	101.	割	143. 夹
18.	脖	60.	稻	102.	攻	144. 嫁
19.	捕	61.	德	103.	宫	145. 稼
20.	财	62.	滴	104.	巩	146. 尖
21.	踩	63.	抵	105.	孤	147. 肩
22.	残	64.	帝	106.	股	148. 监
23.	仓	65.	吊	107.	骨	149. 兼
24.	侧	66.	钓	108.	拐	150. 剑
25.	策	67.	跌	109.	官	151. 鉴
26.	柴	68.	顶	110.	贯	152. 箭
27.	肠	69.	栋	111.	罐	153. 酱
28.	偿	70.	逗	112.	归	154. 胶
29.	畅	71.	督	113.	龟	155. 椒
30.	抄	72.	毒	114.	轨	156. 焦
31.	嘲	73.	渡	115.	跪	157. 杰
32.	潮	74.	端	116.	棍	158. 洁
33.	撤	75.	蹲	117.	涵	159. 捷
34.	臣	76.	夺	118.	罕	160. 截
35.	尘	77.	额	119.	旱	161. 戒
36.	趁	78.	恶	120.	毫	162. 劲
37.	撑	79.	帆	121.	豪	163. 井
38.	呈	80.	凡	122.	耗	164. 颈
39.	惩	81.	犯	123.	核	165. 径
40.	崇	82.	妨	124.	嘿	166. 纠
41.	愁	83.	肪	125.	痕	167. 舅
42.	筹	84.	肺	126.	狠	168. 菊
169.矩	213.煤	257. 渠	301. 铜
170.俱	214.弥	258. 娶	302. 筒
171.惧	215.蜜	259. 圈	303. 偷
172.菌	216.棉	260. 券	304. 透
173.刊	217.勉	261. 壤	305. 徒
174.砍	218.妙	262. 绒	306. 吐
175.抗	219.灭	263. 融	307. 吞
176.枯	220.摩	264. 柔	308. 托
177.酷	221.寞	265. 撒	309. 挖
178.夸	222.纳	266. 塞	310. 娃
179.馈	223.泥	267. 嗓	311. 哇
180.阔	224.拟	268. 丧	312. 歪
181.啦	225.扭	269. 杀	313. 顽
182.赖	226.怒	270. 刹	314. 亡
183.兰	227.诺	271. 鲨	315. 王
184.拦	228.盼	272. 筛	316. 委
185.栏	229.庞	273. 闪	317. 谓
186.烂	230.抛	274. 尚	318. 沃
187.狼	231.泡	275. 舌	319. 乌
188.廊	232.佩	276. 射	320. 晰
189.朗	233.喷	277. 涉	321. 媳
190.牢	234.捧	278. 审	322. 吓
191.雷	235.披	279. 甥	323. 嫌
192.粒	236.疲	280. 盛	324. 陷
193.怜	237.飘	281. 狮	325. 祥
194.链	238.贫	282. 寿	326. 宵
195.梁	239.坡	283. 薯	327. 歇
196.晾	240.迫	284. 竖	328. 谐
197.劣	241.扑	285. 漱	329. 携
198.淋	242.朴	286. 衰	330. 械
199.笼	243.铺	287. 瞬	331. 薪
200.露	244.欺	288. 艘	332. 胸
201.轮	245.棋	289. 塔	333. 雄
202.履	246.旗	290. 踏	334. 袖
203.略	247.启	291. 汰	335. 叙
204.蚂	248.恰	292. 坛	336. 蓄
205.嘛	249.牵	293. 探	337. 旋
206.埋	250.谦	294. 碳	338. 旬
207.迈	251.潜	295. 烫	339. 循
208.麦	252.枪	296. 掏	340. 讯
209.盲	253.腔	297. 逃	341. 讶
210.贸	254.瞧	298. 淘	342. 淹
211. 眉	255.倾	299. 添	343. 炎
212.梅	256.屈	300. 田	344. 艳
345.宴	363.涌	381. 粘	399. 株
346.央	364.忧	382. 崭	400. 诸
347.仰	365.予	383. 仗	401. 砖
348.氧	366.浴	384. 障	402. 妆
349.痒	367.欲	385. 枕	403. 庄
350.遥	368.裕	386. 镇	404. 壮
351.野	369.誉	387. 睁	405. 椎
352.液	370.援	388. 症	406. 捉
353.仪	371.跃	389. 枝	407. 棕
354.蚁	372.晕	390. 脂	408. 踪
355.异	373.匀	391. 侄	409. 粽
356.抑	374.孕	392. 殖	410. 奏
357.疫	375.灾	393. 秩	411. 祖
358.姻	376.遭	394. 肿	412. 钻
359.隐	377.噪	395. 州	413. 罪
360.英	378.燥	396. 粥	
361.婴	379.扎	397. 骤	
362.颖	380.宅	398. 珠	
