1.	哀	43.	鄙	85.	嘈	127. 矗
2.	挨	44.	庇	86.	槽	128. 揣
3.	癌	45.	毙	87.	蹭	129. 踹
4.	蔼	46.	痹	88.	岔	130. 川
5.	艾	47.	碧	89.	诧	131. 喘
6.	隘	48.	蔽	90.	掺	132. 幢
7.	暧	49.	弊	91.	搀	133. 炊
8.	凹	50.	鞭	92.	馋	134. 捶
9.	奥	51.	贬	93.	禅	135. 锤
10.	扒	52.	扁	94.	缠	136. 唇
11.	叭	53.	辨	95.	铲	137. 淳
12.	芭	54.	辩	96.	阐	138. 醇
13.	疤	55.	辫	97.	颤	139. 蠢
14.	靶	56.	飙	98.	昌	140. 戳
15.	坝	57.	憋	99.	猖	141. 绰
16.	罢	58.	彬	100.	敞	142. 疵
17.	霸	59.	滨	101.	钞	143. 慈
18.	掰	60.	缤	102.	巢	144. 磁
19.	柏	61.	濒	103.	扯	145. 雌
20.	扳	62.	丙	104.	澈	146. 伺
21.	颁	63.	秉	105.	辰	147. 赐
22.	斑	64.	柄	106.	陈	148. 囱
23.	拌	65.	波	107.	澄	149. 葱
24.	绊	66.	剥	108.	逞	150. 丛
25.	瓣	67.	伯	109.	秤	151. 凑
26.	绑	68.	驳	110.	痴	152. 簇
27.	谤	69.	勃	111.	弛	153. 窜
28.	磅	70.	舶	112.	驰	154. 摧
29.	煲	71.	搏	113.	侈	155. 璀
30.	褒	72.	簸	114.	耻	156. 悴
31.	雹	73.	卜	115.	斥	157. 粹
32.	堡	74.	哺	116.	赤	158. 翠
33.	豹	75.	怖	117.	憧	159. 搓
34.	卑	76.	睬	118.	仇	160. 磋
35.	碑	77.	惭	119.	绸	161. 瘩
36.	狈	78.	惨	120.	畴	162. 歹
37.	惫	79.	灿	121.	酬	163. 逮
38.	焙	80.	璨	122.	稠	164. 怠
39.	崩	81.	苍	123.	瞅	165. 丹
40.	绷	82.	沧	124.	锄	166. 惮
41.	迸	83.	舱	125.	橱	167. 党
42.	蹦	84.	糙	126.	畜	168. 荡
169.叨	213.妒	257. 辐	301. 鬼
170.捣	214.兑	258. 抚	302. 桂
171.祷	215.敦	259. 斧	303. 骇
172.盗	216.盹	260. 俯	304. 酣
173.悼	217.炖	261. 咐	305. 憨
174.蹬	218.钝	262. 赴	306. 函
175.凳	219.哆	263. 腹	307. 捍
176.瞪	220.舵	264. 缚	308. 撼
177.堤	221.堕	265. 丐	309. 瀚
178.迪	222.惰	266. 钙	310. 夯
179.涤	223.讹	267. 溉	311. 浩
180.笛	224.鹅	268. 甘	312. 呵
181.嘀	225.厄	269. 杆	313. 禾
182.蒂	226.遏	270. 竿	314. 阂
183.缔	227.噩	271. 纲	315. 荷
184.颠	228.鳄	272. 缸	316. 赫
185.巅	229.恩	273. 杠	317. 鹤
186.甸	230.饵	274. 戈	318. 哼
187.垫	231.伐	275. 疙	319. 恒
188.淀	232.阀	276. 鸽	320. 轰
189.惦	233.贩	277. 搁	321. 哄
190.奠	234.坊	278. 阁	322. 烘
191.殿	235.芳	279. 骼	323. 弘
192.刁	236.纺	280. 耕	324. 喉
193.叼	237.绯	281. 耿	325. 吼
194.凋	238.匪	282. 哽	326. 狐
195.雕	239.诽	283. 弓	327. 唬
196.爹	240.废	284. 躬	328. 哗
197.迭	241.沸	285. 拱	329. 猾
198.谍	242.芬	286. 勾	330. 徊
199.叠	243.吩	287. 钩	331. 槐
200.碟	244.坟	288. 苟	332. 唤
201.丁	245.焚	289. 咕	333. 焕
202.叮	246.粪	290. 菇	334. 痪
203.盯	247.锋	291. 辜	335. 荒
204.钉	248.逢	292. 谷	336. 慌
205.鼎	249.讽	293. 雇	337. 凰
206.董	250.凤	294. 寡	338. 煌
207.兜	251.缝	295. 卦	339. 恍
208.抖	252.孵	296. 乖	340. 晃
209.陡	253.敷	297. 棺	341. 谎
210.赌	254.伏	298. 灌	342. 辉
211. 睹	255.俘	299. 闺	343. 徽
212.杜	256.袱	300. 诡	344. 毁
345.卉	389.矫	433. 慨	477. 唠
346.讳	390.搅	434. 楷	478. 涝
347.贿	391.缴	435. 勘	479. 酪
