爱	愛	ai4
爱好	愛好	ai4hao4
八	八	ba1
爸爸	爸爸	ba4ba5
吧	吧	ba5
白	白	bai2
白天	白天	bai2tian5
百	百	bai3
班	班	ban1
半	半	ban4
半年	半年	ban4nian2
半天	半天	ban4tian1
帮	幫	bang1
帮忙	幫忙	bang1 mang2
包	包	bao1
包子	包子	bao1zi5
杯	杯	bei1
杯子	杯子	bei1zi5
北	北	bei3
北边	北邊	bei3bian5
北京	北京	Bei3jing1
本	本	ben3
本子	本子	ben3zi5
比	比	bi3
别	別	bie2
别的	別的	bie2de5
别人	別人	bie2ren5
病	病	bing4
病人	病人	bing4ren2
不大	不大	bu4da4
不对	不對	bu4 dui4
不客气	不客氣	bu4 ke4qi4
不用	不用	bu4yong4
不	不	bu4
菜	菜	cai4
茶	茶	cha2
差	差	cha4
常	常	chang2
常常	常常	chang2chang2
唱	唱	chang4
唱歌	唱歌	chang4 ge1
车	車	che1
车票	車票	che1piao4
车上	車上	che1 shang4	in the car
车站	車站	che1zhan4
吃	吃	chi1
吃饭	吃飯	chi1 fan4
出	齣	chu1
出来	出來	chu1 lai5
出去	出去	chu1 qu5
穿	穿	chuan1
床	床	chuang2
次	次	ci4
从	從	cong2
错	錯	cuo4
打	打	da3
打车	打車	da3che1
打电话	打電話	da3 dian4hua4
打开	打開	da3 kai1
打球	打球	da3qiu2
大	大	da4
大学	大學	da4xue2
大学生	大學生	da4xue2sheng1
到	到	dao4
得到	得到	de2 dao4
地	地	de5
的	的	de5
等	等	deng3
地点	地點	di4dian3
地方	地方	di4fang5
地上	地上	di4shang5
地图	地圖	di4tu2
弟弟	弟弟	di4di5
第	第	di4
点	點	dian3
电	電	dian4
电话	電話	dian4hua4
电脑	電腦	dian4nao3
电视	電視	dian4shi4
电视机	電視機	dian4shi4ji1
电影	電影	dian4ying3
电影院	電影院	dian4ying3 yuan4
东	東	dong1
东边	東邊	dong1bian1
东西	東西	dong1xi5
动	動	dong4
动作	動作	dong4zuo4
都	都	dou1
读	讀	du2
读书	讀書	du2 shu1
对	對	dui4
对不起	對不起	dui4bu5qi3
多	多	duo1
多少	多少	duo1shao5
饿	餓	e4
儿子	兒子	er2zi5
二	二	er4
饭	飯	fan4
饭店	飯店	fan4dian4
房间	房間	fang2jian1
房子	房子	fang2zi5
放	放	fang4
放假	放假	fang4 jia4
放学	放學	fang4 xue2
飞	飛	fei1
飞机	飛機	fei1ji1
非常	非常	fei1chang2
分	分	fen1
风	風	feng1
干	幹	gan4
干净	乾淨	gan1jing4
干什么	幹什麼	gan4shen2me5
高	高	gao1
高兴	高興	gao1xing4
告诉	告訴	gao4su5
哥哥	哥哥	ge1ge5
歌	歌	ge1
个	個	ge4
给	給	gei3
跟	跟	gen1
工人	工人	gong1ren5
工作	工作	gong1zuo4
关	關	guan1
关上	關上	guan1shang4
贵	貴	gui4
国	國	guo2
国家	國家	guo2jia1
国外	國外	guo2wai4
过	過	guo4
还	還	hai2
还是	還是	hai2shi5
还有	還有	hai2you3
孩子	孩子	hai2zi5
汉语	漢語	Han4yu3
汉字	漢字	Han4zi4
好	好	hao3
好吃	好吃	hao3chi1
好看	好看	hao3kan4
好听	好聽	hao3ting1
好玩儿	好玩兒	hao3wan2r
号	號	hao4
喝	喝	he1
和	和	he2
很	很	hen3
后	後	hou4
后边	後邊	hou4bian5
后天	後天	hou4tian1
花	花	hua1
话	話	hua4
坏	壞	huai4
回	回	hui2
回答	回答	hui2da2
回到	回到	hui2dao4
回家	回家	hui2 jia1
回来	回來	hui2 lai5
回去	回去	hui2  qu5
会	會	hui4
火车	火車	huo3che1
机场	機場	ji1chang3
机票	機票	ji1piao4
鸡蛋	雞蛋	ji1dan4
几	幾	ji3
记	記	ji4
记得	記得	ji4 de5
记住	記住	ji4 zhu5
家	家	jia1
家里	家裡	jia1li3
家人	家人	jia1ren2
间	間	jian1
见	見	jian4
见面	見面	jian4 mian4
教	教	jiao4
叫	叫	jiao4
教学楼	教學樓	jiao4xue2lou2
姐姐	姐姐	jie3jie5
介绍	介紹	jie4shao4
今年	今年	jin1nian2
今天	今天	jin1tian1
进	進	jin4
进来	進來	jin4 lai5
进去	進去	jin4 qu5
九	九	jiu3
就	就	jiu4
觉得	覺得	jue2de5
开	開	kai1
开车	開車	kai1 che1
开会	開會	kai1 hui4
开玩笑	開玩笑	kai1 wan2xiao4
看	看	kan4
看病	看病	kan4 bing4
看到	看到	kan4 dao4
看见	看見	kan4 jian5
考	考	kao3
考试	考試	kao3shi4
渴	渴	ke3
课	課	ke4
课本	課本	ke4ben3
课文	課文	ke4wen2
口	口	kou3
块	塊	kuai4
快	快	kuai4
来	來	lai2
来到	來到	lai2dao4
老	老	lao3
老人	老人	lao3ren5
老师	老師	lao3shi1
了	了	le5
累	累	lei4
冷	冷	leng3
里	裏	li3
里边	裡邊	li3bian5
两	兩	liang3
零	零	ling2
六	六	liu4
楼	樓	lou2
楼上	樓上	lou2shang4
楼下	樓下	lou2xia4
路	路	lu4
路口	路口	lu4kou3
路上	路上	lu4shang5
妈妈	媽媽	ma1ma5
马路	馬路	ma3lu4
马上	馬上	ma3shang4
吗	嗎	ma5
买	買	mai3
慢	慢	man4
忙	忙	mang2
毛	毛	mao2
没	沒	mei2
没关系	沒關係	mei2guan1xi5
没什么	沒什麼	mei2shen2me5
没事儿	沒事兒	mei2shi4r
没有	沒有	mei2you5
妹妹	妹妹	mei4mei5
门	門	men2
门口	門口	men2kou3
门票	門票	men2piao4
们	們	men5
米饭	米飯	mi3fan4
面包	麵包	mian4bao1
面条儿	麵條兒	mian4tiao2r
名字	名字	ming2zi5
明白	明白	ming2bai5
明年	明年	ming2nian2
明天	明天	ming2tian1
拿	拿	na2
哪	哪	na3
哪里	哪裡	na3li5
哪儿	哪兒	na3r
哪些	哪些	na3xie1
那	那	na4
那边	那邊	na4bian5
那里	那裡	na4li3
那儿	那兒	na4r
那些	那些	na4xie1
奶	奶	nai3
奶奶	奶奶	nai3nai5
男	男	nan2
男孩儿	男孩兒	nan2hai2r
男朋友	男朋友	nan2peng2you5
男人	男人	nan2ren5
男生	男生	nan2sheng1
南	南	nan2
南边	南邊	nan2bian5
难	難	nan2
呢	呢	ne5
能	能	neng2
你	你	ni3
你们	你們	ni3men5
年	年	nian2
您	您	nin2
牛奶	牛奶	niu2nai3
女	女	nü3
女儿	女兒	nü3er2
女孩儿	女孩兒	nü3hai2r
女朋友	女朋友	nü3peng2you5
女人	女人	nü3ren5
女生	女生	nü3sheng1
旁边	旁邊	pang2bian1
跑	跑	pao3
朋友	朋友	peng2you5
票	票	piao4
七	七	qi1
起	起	qi3
起床	起床	qi3 chuang2
起来	起來	qi3  lai5
汽车	汽車	qi4che1
前	前	qian2
前边	前邊	qian2bian5
前天	前天	qian2tian1
钱	錢	qian2
钱包	錢包	qian2bao1
请	請	qing3
请假	請假	qing3 jia4
请进	請進	qing3jin4
请问	請問	qing3wen4
请坐	請坐	qing3 zuo4	please sit down
球	球	qiu2
去	去	qu4
去年	去年	qu4nian2
热	熱	re4
人	人	ren2
认识	認識	ren4shi5
认真	認真	ren4zhen1
日	日	ri4
日期	日期	ri4qi1
肉	肉	rou4
三	三	san1
山	山	shan1
商场	商場	shang1chang3
商店	商店	shang1dian4
上	上	shang4
上班	上班	shang4 ban1
上边	上邊	shang4bian5
上车	上車	shang4che1
上次	上次	shang4ci4
上课	上課	shang4 ke4
上网	上網	shang4 wang3
上午	上午	shang4wu3
上学	上學	shang4 xue2
少	少	shao3
谁	誰	shei2
身上	身上	shen1shang5
身体	身體	shen1ti3
什么	什麼	shen2me5
生病	生病	sheng1 bing4
生气	生氣	sheng1 qi4
生日	生日	sheng1ri5
十	十	shi2
时候	時候	shi2hou5
时间	時間	shi2jian1
事	事	shi4
试	試	shi4
是	是	shi4
是不是	是不是	shi4bu4shi4
手	手	shou3
手机	手機	shou3ji1
书	書	shu1
书包	書包	shu1bao1
书店	書店	shu1dian4
树	樹	shu4
水	水	shui3
水果	水果	shui3guo3
睡	睡	shui4
睡觉	睡覺	shui4 jiao4
说	說	shuo1
说话	說話	shuo1 hua4
四	四	si4
送	送	song4
岁	嵗	sui4
他	他	ta1
他们	他們	ta1men5
她	她	ta1
她们	她們	ta1men5
太	太	tai4
天	天	tian1
天气	天氣	tian1qi4
听	聽	ting1
听到	聽到	ting1dao4
听见	聽見	ting1 jian5
听写	聽寫	ting1xie3
同学	同學	tong2xue2
