爱心	愛心	ai4xin1
安排	安排	an1pai2
安装	安裝	an1zhuang1
按	按	an4
按照	按照	an4zhao4
把	把	ba3
把握	把握	ba3wo4
白	白	bai2
白菜	白菜	bai2cai4
班级	班級	ban1ji2
搬	搬	ban1
搬家	搬家	ban1 jia1
板	板	ban3
办理	辦理	ban4li3
保	保	bao3
保安	保安	bao3an1
保持	保持	bao3chi2
保存	保存	bao3cun2
保护	保護	bao3hu4
保留	保留	bao3liu2
保险	保險	bao3xian3
保证	保證	bao3zheng4
报	報	bao4
报到	報到	bao4 dao4
报道	報道	bao4dao4
报告	報告	bao4gao4
背	背	bei4
北部	北部	bei3bu4
背后	背後	bei4hou4
被	被	bei4
被子	被子	bei4zi5
本来	本來	ben3lai2
本领	本領	ben3ling3
本事	本事	ben3shi5
比较	比較	bi3jiao4
比例	比例	bi3li4
比赛	比賽	bi3sai4
必然	必然	bi4ran2
必要	必要	bi4yao4
变化	變化	bian4hua4
变为	變為	bian4wei2
标题	標題	biao1ti2
标准	標準	biao1zhun3
表达	表達	biao3da2
表格	表格	biao3ge2
表面	表面	biao3mian4
表明	表明	biao3ming2
表现	表現	biao3xian4
表演	表演	biao3yan3
并	并	bing4
并且	並且	bing4qie3
播出	播出	bo1 chu1
播放	播放	bo1fang4
不必	不必	bu4bi4
不断	不斷	bu4duan4
不论	不論	bu4lun4
补	補	bu3
补充	補充	bu3chong1
不安	不安	bu4an1
不得不	不得不	bu4de2bu4
不光	不光	bu4guang1
不仅	不僅	bu4jin3
布	布	bu4
步	步	bu4
部	部	bu4
部门	部門	bu4men2
部长	部長	bu4zhang3
才能	才能	cai2neng2
采取	採取	cai3qu3
采用	採用	cai3yong4
彩色	彩色	cai3se4
曾经	曾經	ceng2jing1
产生	產生	chan3sheng1
长城	長城	Chang2cheng2
长处	長處	chang2chu5
长期	長期	chang2qi1
厂	厰	chang3
场合	場合	chang3he2
场所	場所	chang3suo3
超级	超級	chao1ji2
朝	朝	chao2
吵	吵	chao3
吵架	吵架	chao3 jia4
衬衫	襯衫	chen4shan1
衬衣	襯衣	chen4yi1
称为	稱為	cheng1wei2
成功	成功	cheng2gong1
成果	成果	cheng2guo3
成就	成就	cheng2jiu4
成立	成立	cheng2li4
成熟	成熟	cheng2shu2
成员	成員	cheng2yuan2
成长	成長	cheng2zhang3
城	城	cheng2
城市	城市	cheng2shi4
程度	程度	cheng2du4
持续	持續	chi2xu4
充满	充滿	chong1man3
重	重	zhong4
初	初	chu1
初步	初步	chu1bu4
初级	初級	chu1ji2
初中	初中	chu1zhong1
除了	除了	chu2le5
处理	處理	chu3li3
传	傳	chuan2
传播	傳播	chuan2bo1
传来	傳來	chuan2lai2
传说	傳說	chuan2shuo1
创新	創新	chuang4xin1
创业	創業	chuang4ye4
创造	創造	chuang4zao4
创作	創作	chuang4zuo4
从来	從來	cong2lai2
从前	從前	cong2qian2
从事	從事	cong2shi4
村	村	cun1
存	存	cun2
存在	存在	cun2zai4
错误	錯誤	cuo4wu4
达到	達到	da2 dao4
打破	打破	da3po5
打听	打聽	da3ting5
大概	大概	da4gai4
大使馆	大使館	da4shi3guan3
大约	大約	da4yue1
大夫	大夫	da4fu1
代	代	dai4
代表	代表	dai4biao3
代表团	代表團	dai4biao3tuan2
带动	帶動	dai4 dong4
带领	帶領	dai4ling3
单元	單元	dan1yuan2
当初	當初	dang1chu1
当地	當地	dang1di4
当然	當然	dang1ran2
当中	當中	dang1zhong1
刀	刀	dao1
导演	導演	dao3yan3
到达	到達	dao4da2
到底	到底	dao4di3
得分	得分	de2 fen1
等待	等待	deng3dai4
底下	底下	di3xia5
地区	地區	di4qu1
电视剧	電視劇	dian4shi4ju4
电视台	電視臺	dian4shi4tai2
电台	電臺	dian4tai2
电子邮件	電子郵件	dian4zi3you2jian4
调	調	diao4
调查	調查	diao4cha2
订	訂	ding4
定期	定期	ding4qi1
东部	東部	dong1bu4
动力	動力	dong4li4
动人	動人	dong4ren2
读者	讀者	du2zhe3
短处	短處	duan3chu5
短裤	短褲	duan3ku4
短期	短期	duan3qi1
断	斷	duan4
队员	隊員	dui4yuan2
对待	對待	dui4dai4
对方	對方	dui4fang1
对手	對手	dui4shou3
对象	對象	dui4xiang4
顿	頓	dun4
发表	發表	fa1biao3
发出	發出	fa1 chu1
发达	發達	fa1da2
发动	發動	fa1dong4
发明	發明	fa1ming2
发生	發生	fa1sheng1
发送	發送	fa1song5
发言	發言	fa1yan2
发展	發展	fa1zhan3
反对	反對	fan3dui4
反复	反復	fan3fu4
反应	反應	fan3ying4
反正	反正	fan3zheng5
范围	範圍	fan4wei2
方式	方式	fang1shi4
防	防	fang2
防止	防止	fang2zhi3
房东	房東	fang2dong1
房屋	房屋	fang2wu1
房租	房租	fang2zu1
访问	訪問	fang3wen4
放到	放到	fang4 dao4	put to
飞行	飛行	fei1xing2
费	費	fei4
费用	費用	fei4yong5
分别	分別	fen1bie2
分配	分配	fen1pei4
分组	分組	fen1 zu3
丰富	豐富	feng1fu4
风险	風險	feng1xian3
否定	否定	fou3ding4
否认	否認	fou3ren4
服装	服裝	fu2zhuang1
福	福	fu2
父母	父母	fu4mu3
父亲	父親	fu4qin5
付	付	fu4
负责	負責	fu4ze2
复印	複印	fu4yin4
复杂	複雜	fu4za2
富	富	fu4
改进	改進	gai3jin4
改造	改造	gai3zao4
概念	概念	gai4nian4
赶	趕	gan3
赶到	趕到	gan3dao4
赶紧	趕緊	gan3jin3
赶快	趕快	gan3kuai4
敢	敢	gan3
感冒	感冒	gan3mao4
感情	感情	gan3qing2
感受	感受	gan3shou4
干吗	幹嗎	gan4ma2
高速	高速	gao1su4
高速公路	高速公路	gao1su4gong1lu4
告别	告別	gao4bie2
歌迷	歌迷	ge1mi2
歌声	歌聲	ge1sheng1
歌手	歌手	ge1shou3
个人	個人	ge4ren2
个性	個性	ge4xing4
各	各	ge4
各地	各地	ge4di4
各位	各位	ge4wei4
各种	各種	ge4zhong3
各自	各自	ge4zi4
根本	根本	gen1ben3
更加	更加	geng4jia1
工厂	工廠	gong1chang3
工程师	工程師	gong1cheng2shi1
工夫	工夫	gong1fu5
工具	工具	gong1ju4
工业	工業	gong1ye4
工资	工資	gong1zi1
公布	公布	gong1bu4
公共	公共	gong1gong4
公开	公開	gong1kai1
公民	公民	gong1min2
公务员	公務員	gong1wu4yuan2
功夫	功夫	gong1fu5
功课	功課	gong1ke4
功能	功能	gong1neng2
共同	共同	gong4tong2
共有	共有	gong4you3
姑娘	姑娘	gu1niang5
古	古	gu3
古代	古代	gu3dai4
故乡	故鄉	gu4xiang1
挂	掛	gua4
关系	關係	guan1xi5
关注	關注	guan1zhu4
观察	觀察	guan1cha2
观看	觀看	guan1kan4
观念	觀念	guan1nian4
观众	觀眾	guan1zhong4
管	管	guan3
管理	管理	guan3li3
光	光	guang1
光明	光明	guang1ming2
广播	廣播	guang3bo1
广大	廣大	guang3da4
规定	規定	gui1ding4
规范	規範	gui1fan4
国内	國內	guo2nei4
国庆	國慶	Guo2qing4
果然	果然	guo3ran2
果汁	果汁	guo3zhi1
过程	過程	guo4cheng2
过去	過去	guo4 qu5
哈哈	哈哈	ha1ha5
海关	海關	hai3guan1
害怕	害怕	hai4pa4
行	行	xing2
好好	好好	hao3hao3
好奇	好奇	hao4qi2
合	合	he2
合法	合法	he2fa3
合格	合格	he2ge2
合理	合理	he2li3
合作	合作	he2zuo4
和平	和平	he2ping2
红茶	紅茶	hong2cha2
红酒	紅酒	hong2jiu3
后果	後果	hou4guo3
后面	後面	hou4mian5
后年	後年	hou4nian2
互联网	互聯網	hu4lian2wang3
互相	互相	hu4xiang1
划船	划船	hua2 chuan2
华人	華人	hua2ren2
化	化	hua4
话剧	話劇	hua4ju4
话题	話題	hua4ti2
欢乐	歡樂	huan1le4
环	環	huan2
环保	環保	huan2bao3
环境	環境	huan2jing4
会议	會議	hui4yi4
会员	會員	hui4yuan2
活	活	huo2
火	火	huo3
机器	機器	ji1qi4
积极	積極	ji1ji2
基本	基本	ji1ben3
基本上	基本上	ji1ben3shang5
基础	基礎	ji1chu3
及时	及時	ji2shi2
…极了	…極了	…ji2le5	extremely
集体	集體	ji2ti3
集中	集中	ji2zhong1
计算	計算	ji4suan4
记录	記錄	ji4lu4
记者	記者	ji4zhe3
纪录	紀錄	ji4lu4
纪念	紀念	ji4nian4
技术	技術	ji4shu4
继续	繼續	ji4xu4
加工	加工	jia1 gong1
加快	加快	jia1kuai4
加强	加強	jia1qiang2
家具	家具	jia1ju5
家属	家屬	jia1shu3
家乡	家鄉	jia1xiang1
价格	價格	jia4ge2
价钱	價錢	jia4qian5
价值	價值	jia4zhi2
架	架	jia4
坚持	堅持	jian1chi2
坚决	堅決	jian1jue2
坚强	堅強	jian1qiang2
简单	簡單	jian3dan1
简直	簡直	jian3zhi2
建	建	jian4
建成	建成	jian4cheng2
建立	建立	jian4li4
建设	建設	jian4she4
建议	建議	jian4yi4
将近	將近	jiang1jin4
将来	將來	jiang1lai2
交费	交費	jiao1fei4
交警	交警	jiao1jing3
交流	交流	jiao1liu2
交往	交往	jiao1wang3
交易	交易	jiao1yi4
叫	叫	jiao4
较	較	jiao4
教材	教材	jiao4cai2
教练	教練	jiao4lian4
结实	結實	jie1shi5
接待	接待	jie1dai4
接近	接近	jie1jin4
节约	節約	jie2yue1
结合	結合	jie2he2
结婚	結婚	jie2 hun1
结束	結束	jie2shu4
解决	解決	jie3jue2
解开	解開	jie3 kai1
金	金	jin1
金牌	金牌	jin1pai2
仅	僅	jin3
仅仅	僅僅	jin3jin3
尽量	盡量	jin3liang4
紧	緊	jin3
紧急	緊急	jin3ji2
紧张	緊張	jin3zhang1
进步	進步	jin4bu4
进一步	進一步	jin4yi1bu4
进展	進展	jin4zhan3
近期	近期	jin4qi1
京剧	京劇	jing1ju4
经济	經濟	jing1ji4
经历	經歷	jing1li4
经验	經驗	jing1yan4
经营	經營	jing1ying2
精彩	精彩	jing1cai3
精神	精神	jing1shen5
景色	景色	jing3se4
警察	警察	jing3cha2
静	靜	jing4
久	久	jiu3
旧	舊	jiu4
救	救	jiu4
就是	就是	jiu4shi4
就业	就業	jiu4 ye4
举办	舉辦	ju3ban4
具体	具體	ju4ti3
具有	具有	ju4you3
剧场	劇場	ju4chang3
据说	據說	ju4shuo1
决定	決定	jue2ding4
决赛	決賽	jue2sai4
决心	決心	jue2xin1
绝对	絕對	jue2dui4
咖啡	咖啡	ka1fei1
开发	開發	kai1fa5
开放	開放	kai1fang4
开始	開始	kai1shi3
开业	開業	kai1 ye4
开展	開展	kai1zhan3
看起来	看起來	kan4qi5lai5
看上去	看上去	kan4shang5qu5
考验	考驗	kao3yan4
科技	科技	ke1ji4
可靠	可靠	ke3kao4
可乐	可樂	ke3le4
克服	克服	ke4fu2
客观	客觀	ke4guan1
课程	課程	ke4cheng2
空	空	kong1
空调	空調	kong1tiao2
恐怕	恐怕	kong3pa4
空儿	空兒	kong4r5
裤子	褲子	ku4zi5
快速	快速	kuai4su4
困	困	kun4
困难	困難	kun4nan5
浪费	浪費	lang4fei4
老百姓	老百姓	lao3bai3xing4
老板	老闆	lao3ban3
老太太	老太太	lao3tai4tai5
老头儿	老頭兒	lao3tou2r5
乐	樂	le4
乐观	樂觀	le4guan1
类	類	lei4
类似	類似	lei4si4
离婚	離婚	li2 hun1
里面	裡面	li3mian5
理发	理髮	li3 fa4
理解	理解	li3jie3
理论	理論	li3lun4
理由	理由	li3you2
力	力	li4
力量	力量	li4liang5
立刻	立刻	li4ke4
利用	利用	li4yong4
连	連	lian2
连忙	連忙	lian2mang2
连续	連續	lian2xu4
连续剧	連續劇	lian2xu4ju4
联合	聯合	lian2he2
联合国	聯合國	Lian2he2guo2
联系	聯繫	lian2xi4
凉水	涼水	liang2shui3
了	了	le5
领	領	ling3
领导	領導	ling3dao3
领先	領先	ling3 xian1
另外	另外	ling4wai4
另一方面	另一方面	ling4yi1fang1mian4
留学	留學	liu2 xue2
龙	龍	long2
录	錄	lu4
录音	錄音	lu4yin1
路线	路線	lu4xian4
旅馆	旅館	lü3guan3
旅行社	旅行社	lü3xing2she4
绿茶	綠茶	lü4cha2
乱	亂	luan4
落后	落後	luo4 hou4
麻烦	麻煩	ma2fan5
马	馬	ma3
满足	滿足	man3zu2
慢慢	慢慢	man4man4
毛	毛	mao2
毛病	毛病	mao2bing5
没用	沒用	mei2yong4
媒体	媒體	mei2ti3
每	每	mei3
美	美	mei3
美好	美好	mei3hao3
美丽	美麗	mei3li4
美食	美食	mei3shi2
美术	美術	mei3shu4
美元	美元	mei3yuan2
迷	迷	mi2
米	米	mi3
面对	面對	mian4dui4
面积	面積	mian4ji1
民间	民間	min2jian1
民族	民族	min2zu2
明确	明確	ming2que4
明显	明顯	ming2xian3
命运	命運	ming4yun4
某	某	mou3
母亲	母親	mu3qin5
木头	木頭	mu4tou5
目标	目標	mu4biao1
目前	目前	mu4qian2
奶茶	奶茶	nai3cha2
男子	男子	nan2zi3
南部	南部	nan2bu4
