挨着	挨著	ai1zhe5
挨	挨	ai1
挨打	挨打	ai2 da3
安检	安檢	an1jian3
罢工	罷工	ba4gong1
罢了	罷了	ba4le5
白领	白領	bai2ling3
百分点	百分點	bai3fen1dian3
办公	辦公	ban4 gong1
办事处	辦事處	ban4shi4chu4
办学	辦學	ban4 xue2
半决赛	半決賽	ban4jue2sai4
傍晚	傍晚	bang4wan3
保健	保健	bao3jian4
报刊	報刊	bao4kan1
报考	報考	bao4kao3
抱歉	抱歉	bao4qian4
暴风雨	暴風雨	bao4feng1yu3
暴力	暴力	bao4li4
暴露	暴露	bao4lu4
暴雨	暴雨	bao4yu3
爆	爆	bao4
爆发	爆發	bao4fa1
爆炸	爆炸	bao4zha4
悲惨	悲慘	bei1can3
背心	背心	bei4xin1
背着	背著	bei1zhe5
被告	被告	bei4gao4
奔跑	奔跑	ben1pao3
本	本	ben3
本地	本地	ben3di4
本期	本期	ben3qi1
本身	本身	ben3shen1
本土	本土	ben3tu3
本质	本質	ben3zhi4
逼	逼	bi1
笔试	筆試	bi3shi4
必将	必將	bi4jiang1
必修	必修	bi4xiu1
闭	閉	bi4
边缘	邊緣	bian1yuan2
编制	編制	bian1zhi4
扁	扁	bian3
变更	變更	bian4geng1
变换	變換	bian4huan4
变形	變形	bian4 xing2
便	便	bian4
便是	便是	bian4shi4
遍地	遍地	bian4di4
表面上	表面上	biao3mian4shang5
病房	病房	bing4fang2
病情	病情	bing4qing2
拨打	撥打	bo1da3
波动	波動	bo1dong4
波浪	波浪	bo1lang4
播	播	bo1
不便	不便	bu4bian4
不见	不見	bu4jian4
不料	不料	bu4liao4
不再	不再	bu4zai4
不至于	不至於	bu4zhi4yu2
补考	補考	bu3kao3
补课	補課	bu3 ke4
补习	補習	bu3xi2
补助	補助	bu3zhu4
捕	捕	bu3
不成	不成	bu4cheng2
不禁	不禁	bu4jin1
不仅仅	不僅僅	bu4jin3jin3
不通	不通	bu4tong1
不怎么	不怎麼	bu4zen3me5
不怎么样	不怎麼樣	bu4 zen3me5yang4
不值	不值	bu4zhi2
布满	布滿	bu4man3
部队	部隊	bu4dui4
采纳	採納	cai3na4
踩	踩	cai3
参赛	參賽	can1 sai4
参展	參展	can1 zhan3
餐	餐	can1
残疾	殘疾	can2ji5
残疾人	殘疾人	can2ji2ren2
残酷	殘酷	can2ku4
惨	慘	can3
仓库	倉庫	cang1ku4
藏	藏	cang2
操纵	操縱	cao1zong4
厕所	廁所	ce4suo3
侧	側	ce4
测定	測定	ce4ding4
策划	策劃	ce4hua4
策略	策略	ce4lüe4
层面	層面	ceng2mian4
差异	差異	cha1yi4
查出	查出	cha2chu1
查看	查看	cha2kan4
拆迁	拆遷	chai1qian1
产量	產量	chan3liang4
昌盛	昌盛	chang1sheng4
长短	長短	chang2duan3
长假	長假	chang2jia4
长久	長久	chang2jiu3
长跑	長跑	chang2pao3
长远	長遠	chang2yuan3
常规	常規	chang2gui1
常年	常年	chang2nian2
厂商	廠商	chang3shang1
场地	場地	chang3di4
场馆	場館	chang3guan3
场景	場景	chang3jing3
畅通	暢通	chang4tong1
超	超	chao1
超出	超出	chao1 chu1
炒	炒	chao3
炒股	炒股	chao3 gu3
炒作	炒作	chao3zuo4
车号	車號	che1hao4
车牌	車牌	che1pai2
车展	車展	che1zhan3
撤离	撤離	che4li2
撤销	撤銷	che4xiao1
撑	撐	cheng1
成	成	cheng2
成分	成分	cheng2fen5
成品	成品	cheng2pin3
承诺	承諾	cheng2nuo4
城区	城區	cheng2qu1
城乡	城鄉	cheng2xiang1
城镇	城鎮	cheng2zhen4
持有	持有	chi2you3
冲击	衝擊	chong1ji1
重建	重建	chong2jian4
重组	重組	chong2zu3
崇拜	崇拜	chong2bai4
宠物	寵物	chong3wu4
冲	沖	chong1
出场	出場	chu1 chang3
出动	出動	chu1dong4
出访	出訪	chu1fang3
出路	出路	chu1lu4
出面	出面	chu1 mian4
出名	出名	chu1 ming2
出入	出入	chu1ru4
出事	出事	chu1 shi4
出台	出臺	chu1 tai2
出行	出行	chu1xing2
初等	初等	chu1deng3
除	除	chu2
厨师	廚師	chu2shi1
储存	儲存	chu3cun2
处处	處處	chu4chu4
处长	處長	chu4zhang3
传出	傳出	chuan2chu1
传媒	傳媒	chuan2mei2
传输	傳輸	chuan2shu1
传言	傳言	chuan2yan2
船员	船員	chuan2yuan2
船长	船長	chuan2zhang3
船只	船隻	chuan2zhi1
串	串	chuan4
窗口	窗口	chuang1kou3
创办	創辦	chuang4ban4
创建	創建	chuang4jian4
创意	創意	chuang4yi4
此处	此處	ci3chu4
此次	此次	ci3ci4
此前	此前	ci3qian2
此事	此事	ci3shi4
此致	此致	ci3zhi4
次数	次數	ci4shu4
从不	從不	cong2bu4
从没	從沒	cong2mei2
醋	醋	cu4
村庄	村莊	cun1zhuang1
错过	錯過	cuo4guo4
搭	搭	da1
搭档	搭檔	da1dang4
搭配	搭配	da1pei4
打动	打動	da3dong4
打断	打斷	da3 duan4
打发	打發	da3fa5
打官司	打官司	da3 guan1si5
打牌	打牌	da3 pai2
打印机	打印機	da3yin4ji1
打造	打造	da3zao4
大道	大道	da4dao4
大街	大街	da4jie1
大力	大力	da4li4
大米	大米	da4mi3
大批	大批	da4pi1
大赛	大賽	da4sai4
大师	大師	da4shi1
大使	大使	da4shi3
待会儿	待會兒	dai1hui5r5
担忧	擔憂	dan1you1
单打	單打	dan1da3
诞生	誕生	dan4sheng1
党	黨	dang3
当	當	dang1
当成	當成	dang4cheng2
当天	當天	dang1tian1
当作	當作	dang4zuo4
档	檔	dang4
档案	檔案	dang4an4
岛	島	dao3
到期	到期	dao4 qi1
盗版	盜版	dao4 ban3
道教	道教	Dao4jiao4
道歉	道歉	dao4 qian4
低头	低頭	di1 tou2
低温	低溫	di1wen1
滴	滴	di1
抵达	抵達	di3da2
抵抗	抵抗	di3kang4
地板	地板	di4ban3
地名	地名	di4ming2
地下室	地下室	di4xia4shi4
电车	電車	dian4che1
电动	電動	dian4dong4
电力	電力	dian4li4
电器	電器	dian4qi4
吊	吊	diao4
调研	調研	diao4yan2
跌	跌	die1
定价	定價	ding4jia4
定时	定時	ding4shi2
定位	定位	ding4wei4
动画	動畫	dong4hua4
斗争	鬥爭	dou4zheng1
都市	都市	du1shi4
毒品	毒品	du2pin3
赌	賭	du3
赌博	賭博	du3bo2
渡	渡	du4
端	端	duan1
端午节	端午節	Duan1wu3jie2
短片	短片	duan3pian4
队伍	隊伍	dui4wu5
对抗	對抗	dui4kang4
对外	對外	dui4wai4
蹲	蹲	dun1
多半	多半	duo1ban4
多方面	多方面	duo1fang1mian4
多媒体	多媒體	duo1mei2ti3
夺	奪	duo2
夺取	奪取	duo2qu3
恩人	恩人	en1ren2
儿科	兒科	er2ke1
发病	發病	fa1 bing4
发电	發電	fa1 dian4
发放	發放	fa1fang4
发怒	發怒	fa1 nu4
发起	發起	fa1qi3
发言人	發言人	fa1yan2ren2
发炎	發炎	fa1 yan2
法庭	法庭	fa3ting2
法语	法語	Fa3yu3
番	番	fan1
番茄	番茄	fan1qie2
凡是	凡是	fan2shi4
繁殖	繁殖	fan2zhi2
反抗	反抗	fan3kang4
反问	反問	fan3wen4
反响	反響	fan3xiang3
犯	犯	fan4
犯规	犯規	fan4 gui1
犯罪	犯罪	fan4 zui4
防范	防範	fang2fan4
防守	防守	fang2shou3
房价	房價	fang2jia4
仿佛	仿佛	fang3fu2
飞船	飛船	fei1chuan2
飞行员	飛行員	fei1xing2yuan2
肺	肺	fei4
分工	分工	fen1 gong1
分裂	分裂	fen1lie4
愤怒	憤怒	fen4nu4
风暴	風暴	feng1bao4
峰会	峰會	feng1hui4
奉献	奉獻	feng4xian4
佛	佛	fu2
佛教	佛教	Fo2jiao4
服	服	fu2
浮	浮	fu2
父女	父女	fu4nü3
父子	父子	fu4zi3
负	負	fu4
妇女	婦女	fu4nü3
复苏	復蘇	fu4su1
副	副	fu4
富人	富人	fu4ren2
富有	富有	fu4you3
改装	改裝	gai3zhuang1
干涉	干涉	gan1she4
肝	肝	gan1
杆	杆	gan1
赶不上	趕不上	gan3bu5shang4
赶忙	趕忙	gan3mang2
赶上	趕上	gan3 shang4
敢于	敢於	gan3yu2
感人	感人	gan3ren2
刚好	剛好	gang1hao3
岗位	崗位	gang3wei4
港口	港口	gang3kou3
高层	高層	gao1ceng2
高档	高檔	gao1dang4
高等	高等	gao1deng3
高峰	高峰	gao1feng1
高考	高考	gao1kao3
高科技	高科技	gao1ke1ji4
高手	高手	gao1shou3
稿子	稿子	gao3zi5
歌唱	歌唱	ge1chang4
歌词	歌詞	ge1ci2
歌星	歌星	ge1xing1
革新	革新	ge2xin1
更是	更是	geng4shi4
工商	工商	gong1shang1
公	公	gong1
公安	公安	gong1an1
公鸡	公雞	gong1ji1
公众	公眾	gong1zhong4
公主	公主	gong1zhu3
攻击	攻擊	gong1ji1
供给	供給	gong1ji3
宫	宮	gong1
巩固	鞏固	gong3gu4
贡献	貢獻	gong4xian4
构建	構建	gou4jian4
孤独	孤獨	gu1du2
孤儿	孤兒	gu1er2
姑姑	姑姑	gu1gu5
古典	古典	gu3dian3
股	股	gu3
股东	股東	gu3dong1
股票	股票	gu3piao4
故障	故障	gu4zhang4
顾	顧	gu4
刮	刮	gua1
拐	拐	guai3
关爱	關愛	guan1ai4
关联	關聯	guan1lian2
观光	觀光	guan1guang1
官司	官司	guan1si5
管道	管道	guan3dao4
光辉	光輝	guang1hui1
广阔	廣闊	guang3kuo4
轨道	軌道	gui3dao4
跪	跪	gui4
国产	國產	guo2chan3
国歌	國歌	guo2ge1
国会	國會	guo2hui4
国旗	國旗	guo2qi2
国王	國王	guo2wang2
果酱	果醬	guo3jiang4
果树	果樹	guo3shu4
过渡	過渡	guo4du4
过后	過後	guo4hou4
过时	過時	guo4 shi2
海报	海報	hai3bao4
海底	海底	hai3di3
海军	海軍	hai3jun1
海浪	海浪	hai3lang4
海外	海外	hai3wai4
海湾	海灣	hai3wan1
海洋	海洋	hai3yang2
好容易	好容易	hao3rong2yi5
好似	好似	hao3si4
好转	好轉	hao3zhuan3
好学	好學	hao4xue2
合约	合約	he2yue1
和谐	和諧	he2xie2
核心	核心	he2xin1
黑夜	黑夜	hei1ye4
很难说	很難說	hen3 nan2shuo1	hard to say
狠	狠	hen3
横	橫	heng2
衡量	衡量	heng2liang5
宏大	宏大	hong2da4
洪水	洪水	hong2shui3
忽略	忽略	hu1lüe4
壶	壺	hu2
互动	互動	hu4dong4
户外	戶外	hu4wai4
护	護	hu4
花费	花費	hua1fei5
花瓶	花瓶	hua1ping2
花生	花生	hua1sheng1
化解	化解	hua4jie3
幻想	幻想	huan4xiang3
患者	患者	huan4zhe3
皇帝	皇帝	huang2di4
回应	回應	hui2ying4
毁	毀	hui3
会见	會見	hui4jian4
会长	會長	hui4zhang3
绘画	繪畫	hui4hua4
昏	昏	hun1
混	混	hun4
混合	混合	hun4he2
混乱	混亂	hun4luan4
活跃	活躍	huo2yue4
火箭	火箭	huo3jian4
机动车	機動車	ji1dong4che1
机关	機關	ji1guan1
机械	機械	ji1xie4
基督教	基督教	Ji1du1jiao4
激情	激情	ji1qing2
吉利	吉利	ji2li4
吉祥	吉祥	ji2xiang2
极端	極端	ji2duan1
急救	急救	ji2jiu4
疾病	疾病	ji2bing4
集	集	ji2
给予	給予	ji3yu3
加盟	加盟	jia1meng2
家电	家電	jia1dian4
家园	家園	jia1yuan2
嘉宾	嘉賓	jia1bin1
假日	假日	jia4ri4
尖	尖	jian1
监测	監測	jian1ce4
监督	監督	jian1du1
捡	撿	jian3
简介	簡介	jian3jie4
剑	劍	jian4
鉴定	鑒定	jian4ding4
箭	箭	jian4
将军	將軍	jiang1jun1
讲课	講課	jiang3 ke4
酱	醬	jiang4
酱油	醬油	jiang4you2
骄傲	驕傲	jiao1ao4
焦点	焦點	jiao1dian3
脚印	腳印	jiao3yin4
觉	覺	jue2
教堂	教堂	jiao4tang2
教育部	教育部	Jiao4yu4bu4
接收	接收	jie1shou1
揭	揭	jie1
街头	街頭	jie1tou2
节	節	jie2
节假日	節假日	jie2jia4ri4
节能	節能	jie2 neng2
节奏	節奏	jie2zou4
杰出	傑出	jie2chu1
截止	截止	jie2zhi3
截至	截至	jie2zhi4
解	解	jie3
解说	解說	jie3shuo1
界	界	jie4
借鉴	借鑒	jie4jian4
金额	金額	jin1e2
金钱	金錢	jin1qian2
金融	金融	jin1rong2
尽	儘	jin3
进攻	進攻	jin4gong1
近日	近日	jin4ri4
近视	近視	jin4shi4
惊人	驚人	jing1ren2
惊喜	驚喜	jing1xi3
精	精	jing1
精美	精美	jing1mei3
精品	精品	jing1pin3
井	井	jing3
景	景	jing3
景点	景點	jing3dian3
净	淨	jing4
纠纷	糾紛	jiu1fen1
纠正	糾正	jiu1zheng4
酒水	酒水	jiu3shui3
救命	救命	jiu4 ming4
救援	救援	jiu4yuan2
救助	救助	jiu4zhu4
就是说	就是說	jiu4shi4shuo1
就算	就算	jiu4suan4
局	局	ju2
剧	劇	ju4
据	據	ju4
捐	捐	juan1
捐款	捐款	juan1kuan3
捐赠	捐贈	juan1zeng4
捐助	捐助	juan1zhu4
决策	決策	jue2ce4
觉悟	覺悟	jue2wu4
绝	絕	jue2
绝大多数	絕大多數	jue2da4duo1shu4
军队	軍隊	jun1dui4
军舰	軍艦	jun1jian4
军事	軍事	jun1shi4
开创	開創	kai1chuang4
开关	開關	kai1guan1
开设	開設	kai1she4
开通	開通	kai1tong5
开头	開頭	kai1tou2
开夜车	開夜車	kai1 ye4che1
看	看	kan4
看管	看管	kan1guan3
看得见	看得見	kan4de2jian4
看得起	看得起	kan4de5qi3
看好	看好	kan4hao3
看作	看作	kan4zuo4
康复	康復	kang1fu4
抗议	抗議	kang4yi4
考场	考場	kao3chang3
考题	考題	kao3ti2
科研	科研	ke1yan2
客车	客車	ke4che1
肯	肯	ken3
空军	空軍	kong1jun1
口试	口試	kou3shi4
扣	扣	kou4
酷	酷	ku4
跨	跨	kua4
快车	快車	kuai4che1
宽阔	寬闊	kuan1kuo4
矿	礦	kuang4
阔	闊	kuo4
啦	啦	la5
来往	來往	lai2wang5
赖	賴	lai4
栏目	欄目	lan2mu4
蓝领	藍領	lan2ling3
蓝天	藍天	lan2tian1
懒	懶	lan3
牢	牢	lao2
老乡	老鄉	lao3xiang1
冷气	冷氣	leng3qi4
冷水	冷水	leng3shui3
礼堂	禮堂	li3tang2
理	理	li3
理财	理財	li3 cai2
理智	理智	li3zhi4
力	力	li4
利	利	li4
联盟	聯盟	lian2meng2
联赛	聯賽	lian2sai4
联手	聯手	lian2shou3
凉鞋	涼鞋	liang2xie2
两侧	兩側	liang3ce4
两手	兩手	liang3shou3
聊	聊	liao2
聊天儿	聊天兒	liao2 tian1r5
料	料	liao4
裂	裂	lie4
灵活	靈活	ling2huo2
领取	領取	ling3qu3
领袖	領袖	ling3xiu4
另	另	ling4
留言	留言	liu2yan2
流感	流感	liu2gan3
楼道	樓道	lou2dao4
楼房	樓房	lou2fang2
露	露	lu4
陆军	陸軍	lu4jun1
录像	錄像	lu4xiang4
录音机	錄音機	lu4yin1ji1
路过	路過	lu4guo4
旅店	旅店	lü3dian4
绿化	綠化	lü4hua4
马车	馬車	ma3che1
嘛	嘛	ma5
埋	埋	mai2
馒头	饅頭	man2tou5
慢车	慢車	man4che1
盲人	盲人	mang2ren2
梅花	梅花	mei2hua1
美容	美容	mei3rong2
蒙	蒙	meng2
猛	猛	meng3
棉	棉	mian2
免得	免得	mian3de5
面对面	面對面	mian4dui4mian4
面向	面嚮	mian4xiang4
妙	妙	miao4
灭	滅	mie4
民歌	民歌	min2ge1
民工	民工	min2gong1
民警	民警	min2jing3
民意	民意	min2yi4
民主	民主	min2zhu3
名额	名額	ming2e2
名胜	名勝	ming2sheng4
名义	名義	ming2yi4
名誉	名譽	ming2yu4
明日	明日	ming2ri4
命	命	ming4
膜	膜	mo2
磨	磨	mo2
没收	沒收	mo4shou1
