阿拉伯語	阿拉伯语	Ālābóyǔ	Arabic (language)
哎	哎	āi	dissatisfaction, of surprise, swounds, warning
哀求	哀求	āiqiú	to entreat, to implore, to plead
哎呀	哎呀	āiyā	jeez, of wonder, alas, wirra, swounds, lummy, shock, admiration
挨家挨戶	挨家挨户	āijiā-āihù	to go from house to house, house-to-house (search)
艾滋病	艾滋病	àizībìng	AIDS (loanword)
癌	癌	ái	tumor, sarcoma, leukemia, cancerous, melanoma, malignant tumor, cancer, malignancy, neoplasm, carcinoma
癌癥	癌症	áizhèng	carcinomatosis, cancer
愛不釋手	爱不释手	àibùshìshǒu	to love sth too much to part with it (idiom), to fondle admiringly
唉	唉	āi	mild exclamation/sigh, Gosh!, My!
愛理不理	爱理不理	àilǐbùlǐ	to look cold and indifferent, standoffish
愛面子	爱面子	ài miànzi	to save face, to worry about losing face, proud of one's reputation, sensitive about losing prestige, sense of propriety
愛惜	爱惜	àixī	cherish, treasure
礙事	碍事	ài shì	(usu used in the negative) to be of importance or to matter, to be in the way, to be a hindrance
安定	安定	āndìng	stabilize
安眠藥	安眠药	ānmiányào	sleeping pill, CL:粒[li4]
安撫	安抚	ānfǔ	to placate, to pacify, to appease
安穩	安稳	ānwěn	smooth and steady
安寧	安宁	ānníng	peaceful, tranquil, calm, composed, free from worry
按鍵	按键	ànjiàn	button or key (on a device), keystroke, CL:個|个[ge4], to press a button
按理說	按理说	ànlǐshuō	it is reasonable to say that...
安逸	安逸	ānyì	easy and comfortable, easy
安心	安心	ānxīn	reassured, disburden, set one's mind at rest, feel at ease, reassuring, keep one's mind on sth., be relieved
案件	案件	ànjiàn	a police case, law case, case (of law/etc.), a legal case, case
暗地裡	暗地里	àndìli	secretly, inwardly, on the sly
暗中	暗中	ànzhōng	in the dark, in secret, on the sly, surreptitiously
按說	按说	ànshuō	in the ordinary course of events, ordinarily, normally
凹	凹	āo	depressed, sunken, indented, concave, female (connector etc), variant of 窪|洼[wa1], (used in names)
昂貴	昂贵	ángguì	cost, costly, expensive
熬	熬	áo	to boil, to simmer, to cook on a slow fire, to extract by heating, to decoct, to endure
傲	傲	ào	proud, arrogant, to despise, unyielding, to defy
暗殺	暗杀	ànshā	to assassinate
熬夜	熬夜	áo yè	to stay up late or all night
奧祕	奥秘	àomì	secret, mystery
傲慢	傲慢	àomàn	arrogant, haughty
八卦	八卦	bāguà	the eight divinatory trigrams of the Book of Changes 易經|易经[Yi4 jing1], gossip, gossipy
巴不得	巴不得	bābude	(coll.) to be eager for, to long for, to look forward to
奧運會	奥运会	Àoyùnhuì	abbr. for 奧林匹克運動會|奥林匹克运动会, Olympic Games, the Olympics
扒	扒	bā	to peel, to skin, to tear, to pull down, to cling to (sth on which one is climbing), to dig, to rake up, to steal, to braise, to crawl
芭蕾	芭蕾	bālěi	ballet (loanword)
把柄	把柄	bǎbǐng	handle, (fig.) information that can be used against sb
把關	把关	bǎ guān	to guard a pass, to check on sth
把手	把手	bǎshou	handle, grip, knob
罷免	罢免	bàmiǎn	to remove sb from their post, to dismiss
靶子	靶子	bǎzi	target
壩	坝	bà	dam, dike, embankment, CL:條|条[tiao2]
罷休	罢休	bàxiū	to give up, to abandon (a goal etc), to let sth go, forget it, let the matter drop
掰	掰	bāi	to break off or break open sth with one's hands, (fig.) to break off (a relationship)
白白	白白	báibái	in vain, to no purpose, for nothing, white
霸占	霸占	bàzhàn	to occupy by force, to seize, to dominate
百分比	百分比	bǎifēnbǐ	percent, per centum, pct, percentage, percent(age)
百科全書	百科全书	bǎikēquánshū	encyclopedia, CL:本[ben3],集[ji2]
柏樹	柏树	bǎishù	cypress tree, Taiwan pr. [bo2 shu4]
百合	百合	bǎihé	lily
擺放	摆放	bǎifàng	to set up, to arrange, to lay out
擺設	摆设	bǎishe	furnish and decorate (room)
擺平	摆平	bǎi píng	to be fair, to be impartial, to settle (a matter etc)
拜會	拜会	bàihuì	pay sb. a visit
拜年	拜年	bài nián	to pay a New Year call, to wish sb a Happy New Year
拜託	拜托	bàituō	to request sb to do sth, please!
扳	扳	bān	to pull, to turn (sth) around, to turn around (a situation), to recoup, variant of 攀[pan1]
拜見	拜见	bàijiàn	to pay a formal visit, to call to pay respects, to meet one's senior or superior
頒發	颁发	bānfā	issue, promulgate, award
頒獎	颁奖	bān jiǎng	present reward/honor
頒布	颁布	bānbù	to issue, to proclaim, to enact (laws, decrees etc)
斑點	斑点	bāndiǎn	spot, stain, speckle
搬遷	搬迁	bānqiān	to move, to relocate, removal
辦不到	办不到	bànbudào	impossible, can't be done, no can do, unable to accomplish
半邊天	半边天	bànbiāntiān	half the sky, women of the new society, womenfolk
板塊	板块	bǎnkuài	block, slab, tectonic plate, continental plate
半場	半场	bànchǎng	half of a game or contest, half-court
半島	半岛	bàndǎo	peninsula
半路	半路	bànlù	halfway, midway, on the way
半數	半数	bànshù	half, half (the number), det.: half
半途而廢	半途而废	bàntúérfèi	to give up halfway (idiom), leave sth unfinished
半信半疑	半信半疑	bànxìn-bànyí	half doubting, dubious, skeptical
半真半假	半真半假	bànzhēn-bànjiǎ	(idiom) half true and half false
伴	伴	bàn	accompany
扮	扮	bàn	to disguise oneself as, to dress up, to play (a role), to put on (an expression)
伴侶	伴侣	bànlǚ	companion, mate, helpmate, coachfellow, familiar, partner, fere, company
伴隨	伴随	bànsuí	accompany, follow
伴奏	伴奏	bànzòu	accompany (with musical instruments)
幫手	帮手	bāngshou	helper, assistant
綁	绑	bǎng	bind, tie, bind sb.'s hands behind him, truss up
拌	拌	bàn	to mix, to mix in, to toss (a salad)
綁架	绑架	bǎngjià	to kidnap, to abduct, to hijack, a kidnapping, abduction, staking
榜樣	榜样	bǎngyàng	example, model, CL:個|个[ge4]
包袱	包袱	bāofu	cloth wrapper, bundle wrapped in cloth, burden, millstone round one's neck, punch line (in cross-talk)
棒球	棒球	bàngqiú	no-hitter, apple, grounder, baseball game, homer, change-up, baseball, extra innings, curve, ball game, horsehide, infielder
磅	磅	bàng	see 磅秤 scale, platform balance, (loanword) pound (unit of weight, about 454 grams)
包容	包容	bāoróng	forgive, pardon, contain
包扎	包扎	bāozā	to wrap up, to pack, to bind up (a wound)
剝	剥	bō	to peel, to skin, to shell, to shuck, to peel, to skin, to flay, to shuck
煲	煲	bāo	to cook slowly over a low flame, pot, saucepan
飽和	饱和	bǎohé	saturation
飽滿	饱满	bǎomǎn	full, plump
寶藏	宝藏	bǎozàng	precious (mineral) deposits, (budd.) the treasure of Buddha's law
保管	保管	bǎoguǎn	to hold in safekeeping, to have in one's care, to guarantee, certainly, surely, custodian, curator
保姆	保姆	bǎomǔ	nanny, housekeeper
寶庫	宝库	bǎokù	treasure-house, treasury, treasure-trove (often fig., book of treasured wisdom)
保暖	保暖	bǎo nuǎn	to stay warm, to protect against the cold
保鮮	保鲜	bǎo xiān	Preservation
保修	保修	bǎoxiū	to promise to keep sth in good repair, guarantee, warranty
保佑	保佑	bǎoyòu	to bless and protect, blessing
保障	保障	bǎozhàng	ensure, guarantee, safeguard
保質期	保质期	bǎozhìqī	date of use (on foodstuffs), best before date
保重	保重	bǎozhòng	to take care of oneself
報	报	bào	newspaper, periodical, bulletin, telegram
堡壘	堡垒	bǎolěi	fort
報仇	报仇	bào chóu	to take revenge, to avenge
報酬	报酬	bàochou	emolument, reward, fee, recompense, earnings, gratuity, requital, retribution, price, harvest, remuneration, quittance, pay, consideration, salary, compensation, honorarium, payment, meed, gratification, wage, guerdon
報廢	报废	bào fèi	to scrap, to be written off
報社	报社	bàoshè	newspaper (i.e. a company), CL:家[jia1]
報亭	报亭	bàotíng	kiosk, newsstand
報復	报复	bàofu	to make reprisals, to retaliate, revenge, retaliation
報銷	报销	bào xiāo	to submit an expense account, to apply for reimbursement, to write off, to wipe out
抱負	抱负	bàofù	aspiration, ambition
豹	豹	bào	leopard, panther
暴風驟雨	暴风骤雨	bàofēng-zhòuyǔ	violent wind and rainstorm, hurricane, tempest
暴利	暴利	bàolì	sudden huge profits
暴躁	暴躁	bàozào	irascible, irritable, violent
曝光	曝光	bào guāng	expose
爆冷門	爆冷门	bàolěngmén	an upset (esp. in sports), unexpected turn of events, to pull off a coup, a breakthrough
爆竹	爆竹	bàozhú	firecracker
悲哀	悲哀	bēiāi	grieved, sorrowful
爆滿	爆满	bàomǎn	filled to capacity (of theater, stadium, gymnasium etc)
悲觀	悲观	bēiguān	pessimistic
悲歡離合	悲欢离合	bēihuān-líhé	joys and sorrows, partings and reunions, the vicissitudes of life
卑鄙	卑鄙	bēibǐ	base, mean, contemptible, despicable
悲痛	悲痛	bēitòng	grieved, sorrowful
碑	碑	bēi	a monument, an upright stone tablet, stele, CL:塊|块[kuai4],面[mian4]
貝殼	贝壳	bèiké	cowrie, shell, cameo, conch, seashell, valve, clamshell
備課	备课	bèi kè	(of a teacher) to prepare lessons
備受	备受	bèishòu	fully experience (good or bad)
背面	背面	bèimiàn	the back, the reverse side, the wrong side
備用	备用	bèiyòng	reserve, spare, alternate, backup
背誦	背诵	bèisòng	to recite, to repeat from memory
背叛	背叛	bèipàn	to betray
被捕	被捕	bèibǔ	to be arrested, under arrest
奔赴	奔赴	bēnfù	to rush to, to hurry to
奔波	奔波	bēnbō	rush about, be busy running about
本分	本分	běnfèn	(to play) one's part, one's role, one's duty, (to stay within) one's bounds, dutiful, keeping to one's role
本能	本能	běnnéng	whim, appetence, vagary, instinct, instinctive, native ability, inherent aptitude, impulse, caprice, faculty
本錢	本钱	běnqián	principal, capital
本性	本性	běnxìng	natural instincts, nature, inherent quality
本著	本着	běnzhe	based on..., in conformance with.., taking as one's main principle
本意	本意	běnyì	original idea, real intention, etymon
奔	奔	bēn	hurry, rush, be getting on for, head for, flee, run, run quickly, approach, hasten, be getting close to, go straight towards
笨蛋	笨蛋	bèndàn	fool, idiot
笨重	笨重	bènzhòng	heavy, cumbersome, unwieldy
崩潰	崩溃	bēngkuì	collapse, fall apart
繃帶	绷带	bēngdài	bandage (loanword)
繃	绷	běng	to stretch, taut, to tie, to bind, to have a taut face
本色	本色	běnsè	inherent qualities, natural qualities, distinctive character, true qualities, natural color
逼近	逼近	bījìn	press on towards, approach
蹦	蹦	bèng	to jump, to bounce, to hop
逼迫	逼迫	bīpò	to force, to compel, to coerce
比比皆是	比比皆是	bǐbǐ-jiēshì	can be found everywhere
逼真	逼真	bīzhēn	lifelike, true to life, distinctly, clearly
鼻涕	鼻涕	bítì	nasal mucus, snivel
比不上	比不上	bǐbùshàng	not compare with
比起	比起	bǐqǐ	compared with
