愛	爱	ài
愛好	爱好	àihào
爸爸	爸爸	bàba
白	白	bái
八	八	bā
白天	白天	báitian
班	班	bān
百	百	bǎi
吧	吧	ba
半	半	bàn
半年	半年	bànnián
半天	半天	bàntiān
幫	帮	bāng
幫忙	帮忙	bāng máng
包	包	bāo
包子	包子	bāozi
杯	杯	bēi
杯子	杯子	bēizi
北邊	北边	běibian
本	本	běn
北京	北京	Běijīng
北	北	běi
本子	本子	běnzi
別	别	bié
別的	别的	biéde
別人	别人	biéren
病	病	bìng
病人	病人	bìngrén
比	比	bǐ
不大	不大	bùdà
不客氣	不客气	bù kèqì
不用	不用	bùyòng
菜	菜	cài
不對	不对	bù duì
差	差	chà
不	不	bù
茶	茶	chá
常常	常常	chángcháng
常	常	cháng
車	车	chē
唱歌	唱歌	chàng gē
車上	车上	chē shàng
車票	车票	chēpiào
唱	唱	chàng
吃	吃	chī
車站	车站	chēzhàn
吃飯	吃饭	chī fàn
出來	出来	chū lai
齣	出	chū
出去	出去	chū qu
床	床	chuáng
次	次	cì
穿	穿	chuān
錯	错	cuò
從	从	cóng
打	打	dǎ
打車	打车	dǎchē
打電話	打电话	dǎ diànhuà
打開	打开	dǎ kāi
打球	打球	dǎqiú
大學	大学	dàxué
大	大	dà
大學生	大学生	dàxuéshēng
得到	得到	dé dào
到	到	dào
等	等	děng
地點	地点	dìdiǎn
地	地	de
地方	地方	dìfang
地上	地上	dìshang
的	的	de
地圖	地图	dìtú
弟弟	弟弟	dìdi
第	第	dì
點	点	diǎn
電話	电话	diànhuà
電	电	diàn
電腦	电脑	diànnǎo
電視機	电视机	diànshìjī
電影	电影	diànyǐng
電視	电视	diànshì
電影院	电影院	diànyǐng yuàn
東邊	东边	dōngbiān
東	东	dōng
東西	东西	dōngxi
動	动	dòng
動作	动作	dòngzuò
讀	读	dú
都	都	dōu
讀書	读书	dú shū
對不起	对不起	duìbuqǐ
多	多	duō
多少	多少	duōshao
兒子	儿子	érzi
餓	饿	è
對	对	duì
二	二	èr
飯	饭	fàn
飯店	饭店	fàndiàn
房間	房间	fángjiān
房子	房子	fángzi
放	放	fàng
放假	放假	fàng jià
飛	飞	fēi
放學	放学	fàng xué
飛機	飞机	fēijī
非常	非常	fēicháng
分	分	fēn
風	风	fēng
幹	干	gàn
乾淨	干净	gānjìng
高興	高兴	gāoxìng
高	高	gāo
告訴	告诉	gàosu
哥哥	哥哥	gēge
歌	歌	gē
幹什麼	干什么	gànshénme
個	个	gè
給	给	gěi
跟	跟	gēn
工人	工人	gōngren
工作	工作	gōngzuò
關	关	guān
關上	关上	guānshàng
國	国	guó
國家	国家	guójiā
貴	贵	guì
國外	国外	guówài
還是	还是	háishi
孩子	孩子	háizi
還有	还有	háiyǒu
過	过	guò
漢語	汉语	Hànyǔ
還	还	hái
漢字	汉字	Hànzì
好	好	hǎo
好吃	好吃	hǎochī
好看	好看	hǎokàn
好聽	好听	hǎotīng
好玩兒	好玩儿	hǎowánr
號	号	hào
喝	喝	hē
和	和	hé
很	很	hěn
後	后	hòu
後邊	后边	hòubian
話	话	huà
後天	后天	hòutiān
壞	坏	huài
回答	回答	huídá
回	回	huí
花	花	huā
回到	回到	huídào
回家	回家	huí jiā
回去	回去	huí  qu
回來	回来	huí lai
會	会	huì
火車	火车	huǒchē
機場	机场	jīchǎng
雞蛋	鸡蛋	jīdàn
機票	机票	jīpiào
幾	几	jǐ
記得	记得	jì de
記住	记住	jì zhu
家	家	jiā
記	记	jì
家裡	家里	jiālǐ
見面	见面	jiàn miàn
教	教	jiào
家人	家人	jiārén
間	间	jiān
見	见	jiàn
叫	叫	jiào
教學樓	教学楼	jiàoxuélóu
介紹	介绍	jièshào
今年	今年	jīnnián
姐姐	姐姐	jiějie
今天	今天	jīntiān
進	进	jìn
進來	进来	jìn lai
進去	进去	jìn qu
就	就	jiù
覺得	觉得	juéde
九	九	jiǔ
開	开	kāi
開車	开车	kāi chē
開會	开会	kāi huì
開玩笑	开玩笑	kāi wánxiào
看	看	kàn
看病	看病	kàn bìng
看到	看到	kàn dào
考	考	kǎo
看見	看见	kàn jian
考試	考试	kǎoshì
渴	渴	kě
課	课	kè
課本	课本	kèběn
課文	课文	kèwén
口	口	kǒu
塊	块	kuài
快	快	kuài
來	来	lái
來到	来到	láidào
老	老	lǎo
老人	老人	lǎoren
老師	老师	lǎoshī
了	了	le
累	累	lèi
冷	冷	lěng
裏	里	lǐ
裡邊	里边	lǐbian
兩	两	liǎng
零	零	líng
六	六	liù
樓	楼	lóu
樓上	楼上	lóushàng
樓下	楼下	lóuxià
路口	路口	lùkǒu
路上	路上	lùshang
媽媽	妈妈	māma
馬路	马路	mǎlù
路	路	lù
馬上	马上	mǎshàng
買	买	mǎi
嗎	吗	ma
慢	慢	màn
忙	忙	máng
毛	毛	máo
沒	没	méi
沒關係	没关系	méiguānxi
