愛心	爱心	àixīn
安排	安排	ānpái
安裝	安装	ānzhuāng
按照	按照	ànzhào
按	按	àn
把握	把握	bǎwò
把	把	bǎ
白菜	白菜	báicài
搬	搬	bān
白	白	bái
班級	班级	bānjí
搬家	搬家	bān jiā
辦理	办理	bànlǐ
板	板	bǎn
保安	保安	bǎoān
保持	保持	bǎochí
保存	保存	bǎocún
保	保	bǎo
保留	保留	bǎoliú
保險	保险	bǎoxiǎn
保證	保证	bǎozhèng
保護	保护	bǎohù
報到	报到	bào dào
背	背	bèi
報道	报道	bàodào
北部	北部	běibù
報	报	bào
報告	报告	bàogào
背後	背后	bèihòu
本來	本来	běnlái
本領	本领	běnlǐng
被	被	bèi
比較	比较	bǐjiào
比例	比例	bǐlì
比賽	比赛	bǐsài
必然	必然	bìrán
被子	被子	bèizi
變化	变化	biànhuà
本事	本事	běnshi
變為	变为	biànwéi
必要	必要	bìyào
表達	表达	biǎodá
標準	标准	biāozhǔn
標題	标题	biāotí
表格	表格	biǎogé
表面	表面	biǎomiàn
表明	表明	biǎomíng
表演	表演	biǎoyǎn
表現	表现	biǎoxiàn
播出	播出	bō chū
並且	并且	bìngqiě
播放	播放	bōfàng
不必	不必	bùbì
并	并	bìng
不論	不论	bùlùn
補	补	bǔ
不斷	不断	bùduàn
補充	补充	bǔchōng
不得不	不得不	bùdébù
不安	不安	bùān
不光	不光	bùguāng
不僅	不仅	bùjǐn
布	布	bù
步	步	bù
部門	部门	bùmén
部	部	bù
部長	部长	bùzhǎng
才能	才能	cáinéng
採取	采取	cǎiqǔ
彩色	彩色	cǎisè
採用	采用	cǎiyòng
曾經	曾经	céngjīng
產生	产生	chǎnshēng
長處	长处	chángchu
長城	长城	Chángchéng
厰	厂	chǎng
長期	长期	chángqī
場合	场合	chǎnghé
場所	场所	chǎngsuǒ
朝	朝	cháo
吵	吵	chǎo
襯衫	衬衫	chènshān
超級	超级	chāojí
吵架	吵架	chǎo jià
襯衣	衬衣	chènyī
稱為	称为	chēngwéi
成功	成功	chénggōng
成果	成果	chéngguǒ
成就	成就	chéngjiù
成熟	成熟	chéngshú
成立	成立	chénglì
成員	成员	chéngyuán
成長	成长	chéngzhǎng
城	城	chéng
城市	城市	chéngshì
持續	持续	chíxù
程度	程度	chéngdù
初	初	chū
充滿	充满	chōngmǎn
初步	初步	chūbù
初級	初级	chūjí
重	重	zhòng
初中	初中	chūzhōng
除了	除了	chúle
處理	处理	chǔlǐ
傳	传	chuán
傳播	传播	chuánbō
傳說	传说	chuánshuō
創新	创新	chuàngxīn
創造	创造	chuàngzào
傳來	传来	chuánlái
創作	创作	chuàngzuò
創業	创业	chuàngyè
從前	从前	cóngqián
從來	从来	cónglái
從事	从事	cóngshì
存	存	cún
村	村	cūn
存在	存在	cúnzài
錯誤	错误	cuòwù
達到	达到	dá dào
打破	打破	dǎpo
大概	大概	dàgài
打聽	打听	dǎting
大使館	大使馆	dàshǐguǎn
大約	大约	dàyuē
代	代	dài
代表	代表	dàibiǎo
大夫	大夫	dàfū
代表團	代表团	dàibiǎotuán
帶動	带动	dài dòng
單元	单元	dānyuán
當初	当初	dāngchū
帶領	带领	dàilǐng
當然	当然	dāngrán
當地	当地	dāngdì
當中	当中	dāngzhōng
刀	刀	dāo
導演	导演	dǎoyǎn
到達	到达	dàodá
得分	得分	dé fēn
到底	到底	dàodǐ
等待	等待	děngdài
底下	底下	dǐxia
地區	地区	dìqū
電視臺	电视台	diànshìtái
電臺	电台	diàntái
電子郵件	电子邮件	diànzǐyóujiàn
調	调	diào
電視劇	电视剧	diànshìjù
調查	调查	diàochá
訂	订	dìng
定期	定期	dìngqī
東部	东部	dōngbù
動人	动人	dòngrén
讀者	读者	dúzhě
動力	动力	dònglì
短褲	短裤	duǎnkù
短處	短处	duǎnchu
斷	断	duàn
短期	短期	duǎnqī
隊員	队员	duìyuán
對待	对待	duìdài
對方	对方	duìfāng
對象	对象	duìxiàng
對手	对手	duìshǒu
發表	发表	fābiǎo
頓	顿	dùn
發出	发出	fā chū
發達	发达	fādá
發動	发动	fādòng
發明	发明	fāmíng
發生	发生	fāshēng
發送	发送	fāsong
發言	发言	fāyán
發展	发展	fāzhǎn
反復	反复	fǎnfù
反應	反应	fǎnyìng
反正	反正	fǎnzheng
範圍	范围	fànwéi
反對	反对	fǎnduì
防	防	fáng
防止	防止	fángzhǐ
方式	方式	fāngshì
房東	房东	fángdōng
訪問	访问	fǎngwèn
放到	放到	fàng dào
房屋	房屋	fángwū
費	费	fèi
飛行	飞行	fēixíng
房租	房租	fángzū
費用	费用	fèiyong
分別	分别	fēnbié
分組	分组	fēn zǔ
分配	分配	fēnpèi
豐富	丰富	fēngfù
風險	风险	fēngxiǎn
否定	否定	fǒudìng
服裝	服装	fúzhuāng
父母	父母	fùmǔ
否認	否认	fǒurèn
福	福	fú
父親	父亲	fùqin
負責	负责	fùzé
複印	复印	fùyìn
付	付	fù
複雜	复杂	fùzá
改造	改造	gǎizào
富	富	fù
改進	改进	gǎijìn
概念	概念	gàiniàn
