挨著	挨着	āizhe
挨	挨	āi
安檢	安检	ānjiǎn
罷工	罢工	bàgōng
挨打	挨打	ái dǎ
白領	白领	báilǐng
辦公	办公	bàn gōng
百分點	百分点	bǎifēndiǎn
辦學	办学	bàn xué
辦事處	办事处	bànshìchù
半決賽	半决赛	bànjuésài
罷了	罢了	bàle
保健	保健	bǎojiàn
報刊	报刊	bàokān
傍晚	傍晚	bàngwǎn
暴風雨	暴风雨	bàofēngyǔ
抱歉	抱歉	bàoqiàn
暴露	暴露	bàolù
報考	报考	bàokǎo
爆	爆	bào
暴雨	暴雨	bàoyǔ
爆炸	爆炸	bàozhà
暴力	暴力	bàolì
悲慘	悲惨	bēicǎn
爆發	爆发	bàofā
背著	背着	bēizhe
背心	背心	bèixīn
本	本	běn
奔跑	奔跑	bēnpǎo
被告	被告	bèigào
本期	本期	běnqī
本身	本身	běnshēn
本質	本质	běnzhì
本土	本土	běntǔ
逼	逼	bī
本地	本地	běndì
必將	必将	bìjiāng
筆試	笔试	bǐshì
邊緣	边缘	biānyuán
必修	必修	bìxiū
閉	闭	bì
扁	扁	biǎn
編制	编制	biānzhì
變更	变更	biàngēng
變形	变形	biàn xíng
變換	变换	biànhuàn
便是	便是	biànshì
便	便	biàn
遍地	遍地	biàndì
表面上	表面上	biǎomiànshang
病情	病情	bìngqíng
撥打	拨打	bōdǎ
病房	病房	bìngfáng
波浪	波浪	bōlàng
播	播	bō
波動	波动	bōdòng
不見	不见	bùjiàn
不便	不便	bùbiàn
不再	不再	bùzài
不料	不料	bùliào
不至於	不至于	bùzhìyú
補考	补考	bǔkǎo
補習	补习	bǔxí
補課	补课	bǔ kè
補助	补助	bǔzhù
不成	不成	bùchéng
捕	捕	bǔ
不禁	不禁	bùjīn
不僅僅	不仅仅	bùjǐnjǐn
不通	不通	bùtōng
不怎麼樣	不怎么样	bù zěnmeyàng
不值	不值	bùzhí
不怎麼	不怎么	bùzěnme
布滿	布满	bùmǎn
部隊	部队	bùduì
採納	采纳	cǎinà
