阿拉伯語	阿拉伯语	Ālābóyǔ
哎	哎	āi
哀求	哀求	āiqiú
哎呀	哎呀	āiyā
挨家挨戶	挨家挨户	āijiā-āihù
艾滋病	艾滋病	àizībìng
癌	癌	ái
癌癥	癌症	áizhèng
愛不釋手	爱不释手	àibùshìshǒu
唉	唉	āi
愛理不理	爱理不理	àilǐbùlǐ
愛面子	爱面子	ài miànzi
愛惜	爱惜	àixī
礙事	碍事	ài shì
安定	安定	āndìng
安眠藥	安眠药	ānmiányào
安撫	安抚	ānfǔ
安穩	安稳	ānwěn
安寧	安宁	ānníng
按鍵	按键	ànjiàn
按理說	按理说	ànlǐshuō
安逸	安逸	ānyì
安心	安心	ānxīn
案件	案件	ànjiàn
暗地裡	暗地里	àndìli
暗中	暗中	ànzhōng
按說	按说	ànshuō
凹	凹	āo
昂貴	昂贵	ángguì
熬	熬	áo
傲	傲	ào
暗殺	暗杀	ànshā
熬夜	熬夜	áo yè
奧祕	奥秘	àomì
傲慢	傲慢	àomàn
八卦	八卦	bāguà
巴不得	巴不得	bābude
奧運會	奥运会	Àoyùnhuì
扒	扒	bā
芭蕾	芭蕾	bālěi
把柄	把柄	bǎbǐng
把關	把关	bǎ guān
把手	把手	bǎshou
罷免	罢免	bàmiǎn
靶子	靶子	bǎzi
壩	坝	bà
罷休	罢休	bàxiū
掰	掰	bāi
白白	白白	báibái
霸占	霸占	bàzhàn
百分比	百分比	bǎifēnbǐ
百科全書	百科全书	bǎikēquánshū
柏樹	柏树	bǎishù
百合	百合	bǎihé
擺放	摆放	bǎifàng
擺設	摆设	bǎishe
擺平	摆平	bǎi píng
拜會	拜会	bàihuì
拜年	拜年	bài nián
拜託	拜托	bàituō
扳	扳	bān
拜見	拜见	bàijiàn
頒發	颁发	bānfā
頒獎	颁奖	bān jiǎng
頒布	颁布	bānbù
斑點	斑点	bāndiǎn
搬遷	搬迁	bānqiān
辦不到	办不到	bànbudào
半邊天	半边天	bànbiāntiān
板塊	板块	bǎnkuài
半場	半场	bànchǎng
半島	半岛	bàndǎo
半路	半路	bànlù
半數	半数	bànshù
半途而廢	半途而废	bàntúérfèi
半信半疑	半信半疑	bànxìn-bànyí
半真半假	半真半假	bànzhēn-bànjiǎ
伴	伴	bàn
扮	扮	bàn
伴侶	伴侣	bànlǚ
伴隨	伴随	bànsuí
伴奏	伴奏	bànzòu
幫手	帮手	bāngshou
綁	绑	bǎng
拌	拌	bàn
綁架	绑架	bǎngjià
榜樣	榜样	bǎngyàng
包袱	包袱	bāofu
棒球	棒球	bàngqiú
磅	磅	bàng
包容	包容	bāoróng
包扎	包扎	bāozā
剝	剥	bō
煲	煲	bāo
飽和	饱和	bǎohé
飽滿	饱满	bǎomǎn
寶藏	宝藏	bǎozàng
保管	保管	bǎoguǎn
保姆	保姆	bǎomǔ
寶庫	宝库	bǎokù
保暖	保暖	bǎo nuǎn
保鮮	保鲜	bǎo xiān
保修	保修	bǎoxiū
保佑	保佑	bǎoyòu
保障	保障	bǎozhàng
保質期	保质期	bǎozhìqī
保重	保重	bǎozhòng
報	报	bào
堡壘	堡垒	bǎolěi
報仇	报仇	bào chóu
報酬	报酬	bàochou
報廢	报废	bào fèi
報社	报社	bàoshè
報亭	报亭	bàotíng
報復	报复	bàofu
報銷	报销	bào xiāo
抱負	抱负	bàofù
豹	豹	bào
暴風驟雨	暴风骤雨	bàofēng-zhòuyǔ
暴利	暴利	bàolì
暴躁	暴躁	bàozào
曝光	曝光	bào guāng
爆冷門	爆冷门	bàolěngmén
爆竹	爆竹	bàozhú
悲哀	悲哀	bēiāi
爆滿	爆满	bàomǎn
悲觀	悲观	bēiguān
悲歡離合	悲欢离合	bēihuān-líhé
卑鄙	卑鄙	bēibǐ
悲痛	悲痛	bēitòng
碑	碑	bēi
貝殼	贝壳	bèiké
備課	备课	bèi kè
備受	备受	bèishòu
背面	背面	bèimiàn
備用	备用	bèiyòng
背誦	背诵	bèisòng
背叛	背叛	bèipàn
被捕	被捕	bèibǔ
奔赴	奔赴	bēnfù
奔波	奔波	bēnbō
本分	本分	běnfèn
本能	本能	běnnéng
本錢	本钱	běnqián
本性	本性	běnxìng
本著	本着	běnzhe
本意	本意	běnyì
奔	奔	bēn
笨蛋	笨蛋	bèndàn
笨重	笨重	bènzhòng
崩潰	崩溃	bēngkuì
繃帶	绷带	bēngdài
繃	绷	běng
本色	本色	běnsè
逼近	逼近	bījìn
蹦	蹦	bèng
逼迫	逼迫	bīpò
比比皆是	比比皆是	bǐbǐ-jiēshì
逼真	逼真	bīzhēn
鼻涕	鼻涕	bítì
比不上	比不上	bǐbùshàng
比起	比起	bǐqǐ
比試	比试	bǐshi
比喻	比喻	bǐyù
鄙視	鄙视	bǐshì
必不可少	必不可少	bìbùkěshǎo
必定	必定	bìdìng
碧綠	碧绿	bìlǜ
弊病	弊病	bìbìng
弊端	弊端	bìduān
避難	避难	bì nàn
壁畫	壁画	bìhuà
避暑	避暑	bì shǔ
邊界	边界	biānjiè
邊疆	边疆	biānjiāng
邊遠	边远	biānyuǎn
編劇	编剧	biānjù
編號	编号	biānhào
編寫	编写	biānxiě
編造	编造	biānzào
編排	编排	biānpái
鞭策	鞭策	biāncè
鞭炮	鞭炮	biānpào
變革	变革	biàngé
貶值	贬值	biǎn zhí
變遷	变迁	biànqiān
變異	变异	biànyì
變幻莫測	变幻莫测	biànhuànmòcè
便道	便道	biàndào
變質	变质	biànzhì
便飯	便饭	biànfàn
便利店	便利店	biànlìdiàn
便捷	便捷	biànjié
辨別	辨别	biànbié
遍布	遍布	biànbù
辨認	辨认	biànrèn
辯	辩	biàn
辯護	辩护	biànhù
辮子	辫子	biànzi
辯解	辩解	biànjiě
標榜	标榜	biāobǎng
標	标	biāo
標本	标本	biāoběn
標簽	标签	biāoqiān
標示	标示	biāoshì
標語	标语	biāoyǔ
飆升	飙升	biāoshēng
標致	标致	biāozhi
表白	表白	biǎobái
表決	表决	biǎojué
表述	表述	biǎoshù
表率	表率	biǎoshuài
表彰	表彰	biǎozhāng
憋	憋	biē
別具匠心	别具匠心	biéjù-jiàngxīn
別看	别看	biékàn
表態	表态	biǎo tài
別墅	别墅	biéshù
別說	别说	biéshuō
別提了	别提了	biétíle
別扭	别扭	bièniu
別致	别致	biézhì
彬彬有禮	彬彬有礼	bīnbīn-yǒulǐ
繽紛	缤纷	bīnfēn
冰棍兒	冰棍儿	bīnggùnr5
濱海	滨海	bīnhǎi
丙	丙	bǐng
秉承	秉承	bǐngchéng
冰山	冰山	bīngshān
併購	并购	bìnggòu
並列	并列	bìngliè
並非	并非	bìngfēi
病床	病床	bìngchuáng
並行	并行	bìngxíng
撥	拨	bō
病癥	病症	bìngzhèng
撥款	拨款	bōkuǎn
波及	波及	bōjí
撥通	拨通	bōtōng
波瀾	波澜	bōlán
波折	波折	bōzhé
剝奪	剥夺	bōduó
波濤	波涛	bōtāo
伯伯	伯伯	bóbo
剝削	剥削	bōxuē
伯母	伯母	bómǔ
駁回	驳回	bóhuí
脖子	脖子	bózi
伯父	伯父	bófù
搏鬥	搏斗	bódòu
不見得	不见得	bùjiànde
不定	不定	bùdìng
不慎	不慎	bùshèn
不利於	不利于	bù lìyú
不算	不算	bùsuàn
不像話	不像话	bù xiànghuà
不屑	不屑	bùxiè
不適	不适	bùshì
不亞於	不亚于	bùyàyú
不亦樂乎	不亦乐乎	bùyìlèhū
不懈	不懈	bùxiè
不翼而飛	不翼而飞	bùyìérfēi
不正之風	不正之风	bùzhèngzhīfēng
補給	补给	bǔjǐ
不用說	不用说	bùyòngshuō
捕捉	捕捉	bǔzhuō
哺育	哺育	bǔyù
不恥下問	不耻下问	bùchǐ-xiàwèn
不辭而別	不辞而别	bùcíérbié
補救	补救	bǔjiù
不得而知	不得而知	bùdéérzhī
不妨	不妨	bùfáng
不得已	不得已	bùdéyǐ
不服氣	不服气	bùfúqì
不假思索	不假思索	bùjiǎ-sīsuǒ
不解	不解	bùjiě
不經意	不经意	bùjīngyì
不景氣	不景气	bù jǐngqì
不堪	不堪	bùkān
不服	不服	bùfú
不可思議	不可思议	bùkě-sīyì
不可避免	不可避免	bùkěbìmiǎn
不肯	不肯	bù kěn
不理	不理	bùlǐ
不了了之	不了了之	bùliǎo-liǎozhī
不難	不难	bù nán
不平	不平	bùpíng
不起眼	不起眼	bùqǐyǎn
不如說	不如说	bùrú shuō
不同尋常	不同寻常	bùtóngxúncháng
不為人知	不为人知	bùwéirénzhī
不惜	不惜	bùxī
不容	不容	bùróng
不相上下	不相上下	bùxiāngshàngxià
不已	不已	bùyǐ
不宜	不宜	bùyí
不以為然	不以为然	bùyǐwéirán
不由自主	不由自主	bùyóu-zìzhǔ
不予	不予	bùyǔ
不由得	不由得	bùyóude
不約而同	不约而同	bùyuēértóng
不知	不知	bùzhī
不知不覺	不知不觉	bùzhī-bùjué
不准	不准	bùzhǔn
布局	布局	bùjú
步入	步入	bùrù
步驟	步骤	bùzhòu
部件	部件	bùjiàn
步伐	步伐	bùfá
部署	部署	bùshǔ
猜謎	猜谜	cāi mí
猜想	猜想	cāixiǎng
財經	财经	cáijīng
財力	财力	cáilì
財務	财务	cáiwù
才華	才华	cáihuá
財政	财政	cáizhèng
裁	裁	cái
財物	财物	cáiwù
裁定	裁定	cáidìng
採	采	cǎi
裁決	裁决	cáijué
採礦	采矿	cǎi kuàng
彩虹	彩虹	cǎihóng
彩電	彩电	cǎidiàn
彩霞	彩霞	cǎixiá
菜市場	菜市场	càishìchǎng
採集	采集	cǎijí
參見	参见	cānjiàn
參謀	参谋	cānmóu
參軍	参军	cān jūn
餐桌	餐桌	cānzhuō
參照	参照	cānzhào
殘留	残留	cánliú
殘缺	残缺	cánquē
殘	残	cán
殘忍	残忍	cánrěn
慚愧	惭愧	cánkuì
慘痛	惨痛	cǎntòng
慘重	惨重	cǎnzhòng
慘白	惨白	cǎnbái
蒼蠅	苍蝇	cāngying
滄桑	沧桑	cāngsāng
艙	舱	cāng
燦爛	灿烂	cànlàn
藏品	藏品	cángpǐn
藏匿	藏匿	cángnì
藏身	藏身	cángshēn
操心	操心	cāo xīn
操勞	操劳	cāoláo
操控	操控	cāokòng
槽	槽	cáo
草案	草案	cǎoàn
草坪	草坪	cǎopíng
側面	侧面	cèmiàn
側重	侧重	cèzhòng
測算	测算	cèsuàn
測驗	测验	cèyàn
層出不窮	层出不穷	céngchū-bùqióng
蹭	蹭	cèng
差錯	差错	chācuò
差額	差额	chāé
插手	插手	chā shǒu
插圖	插图	chātú
插嘴	插嘴	chā zuǐ
茶道	茶道	chádào
茶館兒	茶馆儿	cháguǎnr5
查處	查处	cháchǔ
查明	查明	chámíng
查找	查找	cházhǎo
察覺	察觉	chájué
察看	察看	chákàn
詫異	诧异	chàyì
摻	掺	càn
攙	搀	chān
饞	馋	chán
禪杖	禅杖	chánzhàng
纏	缠	chán
產	产	chǎn
產地	产地	chǎndì
產物	产物	chǎnwù
產值	产值	chǎnzhí
铲	铲	chǎn
鏟子	铲子	chǎnzi
闡述	阐述	chǎnshù
顫抖	颤抖	chàndǒu
猖狂	猖狂	chāngkuáng
長達	长达	chángdá
長期以來	长期以来	chángqīyǐlái
長效	长效	chángxiào
長征	长征	chángzhēng
長足	长足	chángzú
常理	常理	chánglǐ
常人	常人	chángrén
常態	常态	chángtài
常溫	常温	chángwēn
償還	偿还	chánghuán
嫦娥	嫦娥	Chángé
廠家	厂家	chǎngjiā
敞開	敞开	chǎng kāi
暢談	畅谈	chàngtán
暢銷	畅销	chàngxiāo
倡議	倡议	chàngyì
抄襲	抄袭	chāoxí
鈔票	钞票	chāopiào
超標	超标	chāo biāo
超車	超车	chāo chē
超前	超前	chāoqián
超速	超速	chāosù
朝代	朝代	cháodài
朝著	朝着	cháozhe
嘲弄	嘲弄	cháonòng
嘲笑	嘲笑	cháoxiào
吵嘴	吵嘴	chǎo zuǐ
車道	车道	chēdào
車禍	车祸	chēhuò
車間	车间	chējiān
車速	车速	chēsù
車輪	车轮	chēlún
車位	车位	chēwèi
車廂	车厢	chēxiāng
車型	车型	chēxíng
車軸	车轴	chēzhóu
扯	扯	chě
徹夜	彻夜	chèyè
撤	撤	chè
撤換	撤换	chèhuàn
沉甸甸	沉甸甸	chéndiàndiàn
沉澱	沉淀	chéndiàn
沉浸	沉浸	chénjìn
沉悶	沉闷	chénmèn
沉迷	沉迷	chénmí
沉思	沉思	chénsī
沉穩	沉稳	chénwěn
沉著	沉着	chénzhuó
陳舊	陈旧	chénjiù
陳列	陈列	chénliè
陳述	陈述	chénshù
襯托	衬托	chèntuō
趁	趁	chèn
趁機	趁机	chènjī
趁早	趁早	chènzǎo
趁著	趁着	chènzhe
稱呼	称呼	chēnghu
稱作	称作	chēngzuò
成才	成才	chéng cái
成家	成家	chéng jiā
成年	成年	chéng nián
成千上萬	成千上万	chéngqiān-shàngwàn
成群結隊	成群结队	chéngqún-jiéduì
成天	成天	chéngtiān
成問題	成问题	chéng wèntí
成型	成型	chéngxíng
呈現	呈现	chéngxiàn
誠懇	诚恳	chéngkěn
誠心誠意	诚心诚意	chéngxīn-chéngyì
誠意	诚意	chéngyì
誠摯	诚挚	chéngzhì
承包	承包	chéngbāo
承載	承载	chéngzài
城牆	城墙	chéngqiáng
乘人之危	乘人之危	chéngrénzhīwēi
盛	盛	shèng
懲處	惩处	chéngchǔ
懲罰	惩罚	chéngfá
澄清	澄清	chéngqīng
橙汁	橙汁	chéngzhī
逞能	逞能	chěng néng
逞強	逞强	chěng qiáng
秤	秤	chèng
吃不上	吃不上	chībushàng
吃喝玩樂	吃喝玩乐	chīhē-wánlè
吃苦	吃苦	chī kǔ
吃虧	吃亏	chī kuī
痴呆	痴呆	chīdāi
痴迷	痴迷	chīmí
痴心	痴心	chīxīn
池塘	池塘	chítáng
馳名	驰名	chímíng
遲遲	迟迟	chíchí
遲疑	迟疑	chíyí
遲早	迟早	chízǎo
持	持	chí
持久	持久	chíjiǔ
持之以恆	持之以恒	chízhīyǐhéng
尺度	尺度	chǐdù
恥辱	耻辱	chǐrǔ
恥笑	耻笑	chǐxiào
赤字	赤字	chìzì
翅膀	翅膀	chìbǎng
衝刺	冲刺	chōngcì
衝浪	冲浪	chōnglàng
沖洗	冲洗	chōngxǐ
衝撞	冲撞	chōngzhuàng
充	充	chōng
充當	充当	chōngdāng
充沛	充沛	chōngpèi
充實	充实	chōngshí
重播	重播	chóngbō
重疊	重叠	chóngdié
重返	重返	chóngfǎn
重申	重申	chóngshēn
重現	重现	chóngxiàn
重合	重合	chónghé
崇高	崇高	chónggāo
崇尚	崇尚	chóngshàng
寵	宠	chǒng
寵愛	宠爱	chǒngài
抽簽	抽签	chōu qiān
抽屜	抽屉	chōuti
抽象	抽象	chōuxiàng
仇	仇	chóu
仇恨	仇恨	chóuhèn
仇人	仇人	chóurén
稠	稠	chóu
稠密	稠密	chóumì
愁眉苦臉	愁眉苦脸	chóuméi-kǔliǎn
籌	筹	chóu
籌辦	筹办	chóubàn
籌措	筹措	chóucuò
籌劃	筹划	chóuhuà
籌碼	筹码	chóumǎ
籌備	筹备	chóubèi
籌集	筹集	chóují
醜惡	丑恶	chǒuè
醜陋	丑陋	chǒulòu
醜聞	丑闻	chǒuwén
瞅	瞅	chǒu
出版社	出版社	chūbǎnshè
出廠	出厂	chū chǎng
出醜	出丑	chū chǒu
出道	出道	chū dào
出發點	出发点	chūfādiǎn
出風頭	出风头	chū fēngtou
出境	出境	chū jìng
出局	出局	chū jú
出具	出具	chūjù
出口成章	出口成章	chūkǒu-chéngzhāng
出賣	出卖	chūmài
出毛病	出毛病	chū máobing
出難題	出难题	chū nántí
出人意料	出人意料	chūrényìliào
出任	出任	chūrèn
出山	出山	chū shān
出身	出身	chūshēn
出示	出示	chūshì
出手	出手	chū shǒu
出頭	出头	chū tóu
出土	出土	chū tǔ
出息	出息	chūxi
出血	出血	chūxiě
出演	出演	chūyǎn
出洋相	出洋相	chū yángxiàng
出遊	出游	chūyóu
出眾	出众	chūzhòng
出主意	出主意	chū zhǔyì
出資	出资	chū zī
出自	出自	chūzì
初次	初次	chūcì
出走	出走	chūzǒu
初衷	初衷	chūzhōng
除此之外	除此之外	chúcǐzhīwài
除去	除去	chúqù
除外	除外	chúwài
處方	处方	chǔfāng
處境	处境	chǔjìng
處置	处置	chǔzhì
儲備	储备	chǔbèi
儲蓄	储蓄	chǔxù
觸動	触动	chùdòng
觸犯	触犯	chùfàn
觸覺	触觉	chùjué
觸摸	触摸	chùmō
觸目驚心	触目惊心	chùmù-jīngxīn
揣	揣	chuāi
揣測	揣测	chuǎicè
揣摩	揣摩	chuǎimó
踹	踹	chuài
川流不息	川流不息	chuānliú-bùxī
穿過	穿过	chuān guò
穿小鞋	穿小鞋	chuān xiǎoxié
穿越	穿越	chuānyuè
穿著	穿着	chuānzhuó
傳承	传承	chuánchéng
傳奇	传奇	chuánqí
傳染	传染	chuánrǎn
傳染病	传染病	chuánrǎnbìng
傳人	传人	chuánrén
傳授	传授	chuánshòu
傳聞	传闻	chuánwén
船舶	船舶	chuánbó
船槳	船桨	chuánjiǎng
喘	喘	chuǎn
喘息	喘息	chuǎnxī
串門	串门	chuàn mén
創傷	创伤	chuāngshāng
床位	床位	chuángwèi
創	创	chuàng
創始人	创始人	chuàngshǐrén
吹了	吹了	chuīle
吹牛	吹牛	chuī niú
吹捧	吹捧	chuīpěng
垂	垂	chuí
垂頭喪氣	垂头丧气	chuítóu-sàngqì
捶	捶	chuí
