叫 [HSK 1, HSK 3]
着 [HSK 1, HSK 4]
正 [HSK 1, HSK 3]
重 [HSK 1, HSK 3]
别 [HSK 1, HSK 4]
老 [HSK 1, HSK 2]
好 [HSK 1, HSK 2, HSK 4]
回 [HSK 1, HSK 2]
哪 [HSK 1, HSK 4]
会 [HSK 1, HSK 2]
看 [HSK 1, HSK 6]
小 [HSK 1, HSK 2]
打 [HSK 1, HSK 4, HSK 5]
分 [HSK 1, HSK 2]
次 [HSK 1, HSK 4]
毛 [HSK 1, HSK 3]
本 [HSK 1, HSK 6]
关 [HSK 1, HSK 4]
花 [HSK 1, HSK 2, HSK 4]
等 [HSK 1, HSK 2]
一会儿 [HSK 1, HSK 2]
对 [HSK 1, HSK 2]
白 [HSK 1, HSK 3]
行 [HSK 1, HSK 3]
过 [HSK 1, HSK 2]
那 [HSK 1, HSK 2]
地方 [HSK 1, HSK 4]
了 [HSK 1, HSK 3]
两 [HSK 1, HSK 2]
多 [HSK 1, HSK 2]
家 [HSK 1, HSK 2]
下 [HSK 1, HSK 2]
要 [HSK 1, HSK 4]
站 [HSK 1, HSK 2]
一下儿 [HSK 1, HSK 5]
才 [HSK 2, HSK 4]
成 [HSK 2, HSK 6]
度 [HSK 2, HSK 7-9]
称 [HSK 2, HSK 5]
背 [HSK 2, HSK 3]
啊 [HSK 2, HSK 4]
长 [HSK 2, HSK 6]
封 [HSK 2, HSK 5]
挺 [HSK 2, HSK 4]
过去 [HSK 2, HSK 3]
喂 [HSK 2, HSK 4]
当 [HSK 2, HSK 6]
该 [HSK 2, HSK 7-9]
结果 [HSK 2, HSK 7-9]
只 [HSK 2, HSK 3]
刻 [HSK 2, HSK 5]
排 [HSK 2, HSK 3]
信 [HSK 2, HSK 3]
节 [HSK 2, HSK 6]
头 [HSK 2, HSK 3]
出口 [HSK 2, HSK 4]
为 [HSK 2, HSK 3]
得 [HSK 2, HSK 4]
卡 [HSK 2, HSK 7-9]
像 [HSK 2, HSK 7-9]
怕 [HSK 2, HSK 3]
生 [HSK 2, HSK 3]
米 [HSK 2, HSK 3]
痛 [HSK 3, HSK 7-9]
系 [HSK 3, HSK 4]
报 [HSK 3, HSK 7-9]
土 [HSK 3, HSK 6]
种 [HSK 3, HSK 4]
力 [HSK 3, HSK 6]
并 [HSK 3, HSK 4]
牛 [HSK 3, HSK 5]
所 [HSK 3, HSK 6]
传 [HSK 3, HSK 7-9]
空 [HSK 3, HSK 4]
火 [HSK 3, HSK 4]
支 [HSK 3, HSK 4]
转 [HSK 3, HSK 6]
应 [HSK 4, HSK 5]
冲 [HSK 4, HSK 6]
怪 [HSK 4, HSK 5]
圈 [HSK 4, HSK 7-9]
结 [HSK 4, HSK 7-9]
首 [HSK 4, HSK 6]
转动 [HSK 4, HSK 6]
非 [HSK 4, HSK 7-9]
落 [HSK 4, HSK 5]
盘 [HSK 4, HSK 7-9]
散 [HSK 4, HSK 5]
局 [HSK 4, HSK 6]
待 [HSK 5, HSK 7-9]
签 [HSK 5, HSK 7-9]
涨 [HSK 5, HSK 6]
命 [HSK 6, HSK 7-9]
炸 [HSK 6, HSK 7-9]
横 [HSK 6, HSK 7-9]
尽 [HSK 6, HSK 7-9]
