阿拉伯語,阿拉伯语,Ā lā bó yǔ,"Arabic (language)"
哎,哎,āi,"dissatisfaction, of surprise, swounds, warning"
哎呀,哎呀,āiyā,"jeez, of wonder, alas, wirra, swounds, lummy, shock, admiration"
哀求,哀求,āi qiú,"to entreat, to implore, to plead"
挨家挨戶,挨家挨户,āi jiā āi hù,"to go from house to house, house-to-house (search)"
癌,癌,yán,"tumor, sarcoma, leukemia, cancerous, melanoma, malignant tumor, cancer, malignancy, neoplasm, carcinoma"
癌症,癌症,yánzhèng,"carcinomatosis, cancer"
艾滋病,艾滋病,ài zī bìng,"AIDS (loanword)"
唉,唉,āi,"mild exclamation/sigh, Gosh!, My!"
愛不釋手,爱不释手,ài bù shì shoǔ,"to love sth too much to part with it (idiom), to fondle admiringly"
愛理不理,爱理不理,ài lǐ bù lǐ,"to look cold and indifferent, standoffish"
愛面子,爱面子,ài miàn zi,"to save face, to worry about losing face, proud of one's reputation, sensitive about losing prestige, sense of propriety"
愛惜,爱惜,àixí,"cherish, treasure"
礙事,碍事,ài shì,"(usu used in the negative) to be of importance or to matter, to be in the way, to be a hindrance"
安定,安定,āndìng,stabilize
安撫,安抚,ān fǔ,"to placate, to pacify, to appease"
安眠藥,安眠药,ān mián yào,"sleeping pill, CL:粒[li4]"
安寧,安宁,ānníng,"peaceful, tranquil, calm, composed, free from worry"
安穩,安稳,ān wěn,"smooth and steady"
安心,安心,ānxīn,"reassured, disburden, set one's mind at rest, feel at ease, reassuring, keep one's mind on sth., be relieved"
安逸,安逸,ān yì,"easy and comfortable, easy"
按鍵,按键,àn jiàn,"button or key (on a device), keystroke, CL:個|个[ge4], to press a button"
按理說,按理说,àn lǐ shuō,"it is reasonable to say that..."
按說,按说,àn shuō,"in the ordinary course of events, ordinarily, normally"
案件,案件,ànjiàn,"a police case, law case, case (of law/etc.), a legal case, case"
暗地裡,暗地里,àn dì li,"secretly, inwardly, on the sly"
暗殺,暗杀,àn shā,"to assassinate"
暗中,暗中,àn zhōng,"in the dark, in secret, on the sly, surreptitiously"
昂貴,昂贵,ángguì,"cost, costly, expensive"
凹,凹,āo, wā,"depressed, sunken, indented, concave, female (connector etc), variant of 窪|洼[wa1], (used in names)"
熬,熬,āo, áo,"to boil, to simmer, to cook on a slow fire, to extract by heating, to decoct, to endure"
熬夜,熬夜,áo yè,"to stay up late or all night"
傲,傲,ào,"proud, arrogant, to despise, unyielding, to defy"
傲慢,傲慢,ào màn,"arrogant, haughty"
奧祕,奥秘,ào mì,"secret, mystery"
奧運會,奥运会,Ào yùn huì,"abbr. for 奧林匹克運動會|奥林匹克运动会, Olympic Games, the Olympics"
八卦,八卦,bā guà,"the eight divinatory trigrams of the Book of Changes 易經|易经[Yi4 jing1], gossip, gossipy"
巴不得,巴不得,bā bu de,"(coll.) to be eager for, to long for, to look forward to"
扒,扒,bā, pá,"to peel, to skin, to tear, to pull down, to cling to (sth on which one is climbing), to dig, to rake up, to steal, to braise, to crawl"
芭蕾,芭蕾,bā lěi,"ballet (loanword)"
把柄,把柄,bǎ bǐng,"handle, (fig.) information that can be used against sb"
把關,把关,bǎ guān,"to guard a pass, to check on sth"
把手,把手,bǎ shoǔ,"handle, grip, knob"
靶子,靶子,bǎ zi,"target"
壩,坝,bà,"dam, dike, embankment, CL:條|条[tiao2]"
罷免,罢免,bà miǎn,"to remove sb from their post, to dismiss"
罷休,罢休,bà xiū,"to give up, to abandon (a goal etc), to let sth go, forget it, let the matter drop"
霸佔,霸占,bà zhàn,"to occupy by force, to seize, to dominate"
掰,掰,bāi,"to break off or break open sth with one's hands, (fig.) to break off (a relationship)"
白白,白白,bái bái,"in vain, to no purpose, for nothing, white"
百分比,百分比,bǎifēnbǐ,"percent, per centum, pct, percentage, percent(age)"
百合,百合,bǎi hé,"lily"
百科全書,百科全书,bǎi kē quán shū,"encyclopedia, CL:本[ben3],集[ji2]"
柏樹,柏树,bǎi shù,"cypress tree, Taiwan pr. [bo2 shu4]"
擺放,摆放,bǎi fàng,"to set up, to arrange, to lay out"
擺平,摆平,bǎi píng,"to be fair, to be impartial, to settle (a matter etc)"
擺設,摆设,bǎishè,furnish and decorate (room)
拜會,拜会,bàihuì,pay sb. a visit
拜見,拜见,bài jiàn,"to pay a formal visit, to call to pay respects, to meet one's senior or superior"
拜年,拜年,bài nián,"to pay a New Year call, to wish sb a Happy New Year"
拜託,拜托,bài tuō,"to request sb to do sth, please!"
扳,扳,bān, pān,"to pull, to turn (sth) around, to turn around (a situation), to recoup, variant of 攀[pan1]"
