愛	爱	ài	love, like, be fond of, be keen on, cherish, be apt to
愛好	爱好	àihào	love, like, be fond of, be keen on
八	八	bā	det.: eight
爸爸	爸爸	bàbà	old man, father, papa, pappa, daddy, pa, begetter, pop, dada, dad, male parent, pater, pappy, pops, poppa
吧	吧	ba	particle: used to show mild imperative or uncertainty
白	白	bái	white, clear, pure, plain, wrongly written/mispronounced,
白天	白天	bái tiān	daytime, during the day, day, CL:個|个[ge4]
百	百	bǎi	cent, centum, century, hundred, det.: hundred
班	班	bān	m.[event]
半	半	bàn	det.: half
半年	半年	bàn nián	half a year
半天	半天	bàn tiān	half of the day, a long time, quite a while, midair, CL:個|个[ge4]
幫	帮	bāng	help
幫忙	帮忙	bāngmáng	assist, aid, smile, lend a hand, do a favour, help, oblige, give a hand, do favor, do a good turn
包	包	bāo	wrap, surround, encircle, envelop, include, contain, undertake the whole thing, assure, guarantee
包子	包子	bāo zi	steamed stuffed bun, CL:個|个[ge4]
杯	杯	bēi	m.[container]
杯子	杯子	bēizi5	tumbler, drinking glass, cup, glass
北	北	běi	atomic number 97, northward, north, berkelium, Bk, northern
北邊	北边	běi biān	north, north side, northern part, to the north of
北京	北京	běijīng	capital of Red China, Beijing, Peking, Beijing (Peking), Peiping
本	本	běn	det.: this
本子	本子	běn zi	book, notebook, edition, CL:本[ben3]
比	比	bǐ	compared with
別	别	bié	don't
別的	别的	bié de	else, other
別人	别人	biérén	others, other people, another person
病	病	bìng	disease
病人	病人	bìngrén	shut-in, patient, subject, sufferer, case, valetudinarian, invalid
不大	不大	bùdà	not very/too, not often
不對	不对	bù duì	incorrect, wrong, amiss, abnormal, queer
不客氣	不客气	bù kè qi	you're welcome, don't mention it, impolite, rude, blunt
不用	不用	búyòng	need not
不	不	bù	non, do not, no, nowise, not, nope, nae, no more, nix
菜	菜	cài	vegetable, greens, dish, course, food
茶	茶	chá	tea
差	差	chā	be short, lack
常	常	cháng	often, usually, frequently
常常	常常	chángcháng	oftentimes, ofttimes, commonly, ordinarily, oft, often, a great deal, normally, frequently, unremarkably, much, usually
唱	唱	chàng	cry, chant, chirm, tune, vocalize, call, sing
唱歌	唱歌	chànggē	sing
車	车	chē	vehicle
車票	车票	chēpiào	ticket (for train/bus)
車上	车上	chēshàng	Car
車站	车站	chēzhàn	station
吃	吃	chī	feed, have, be subject to, absorb, chow, live on, eat, have one's meals, be a strain, exhaust, fare, take in, live off, annihilate, wipe out, partake, suffer, ingest, consume, graze, lunch, manducate, incur, take, get, use up, make, taste, soak up
吃飯	吃饭	chīfàn	feed, dine, make a living, keep alive, have a meal, eat
出	出	chū	produce, turn out, arise, happen
出來	出来	chūlái	come forward, issue, come up, step up, step to the fore, out (toward one), come_out, pop out, come out, rise, come to the fore, step forward, emergence, come forth, emerge
出去	出去	chūqù	go_out, go/get out, get_out, go out, get out, go, exit
