半场	845003
改革开放	620677
多年来	354704
首批	329509
公积金	313547
主演	293624
致力于	274034
别说	259945
民办	239805
帖子	200697
可不是	194512
压制	188724
引领	182913
做生意	160899
倒计时	153471
颈部	150112
回馈	143221
儒家	133692
捍卫	133439
赢家	129756
申领	127948
得益于	123600
师范	122868
一回事	114593
别看	113268
申办	105559
茅台	105466
顺其自然	99835
年夜饭	96627
玩意儿	92328
公益性	92248
胡思乱想	86169
外企	77763
不正之风	74430
名著	72248
真是的	62738
专著	59572
工商界	56235
莲子	53259
儒学	53177
老实说	45930
说白了	43798
意料之外	42769
国画	42030
元宵节	40485
叫板	32067
古今中外	29516
出主意	28551
喜糖	27743
年画	27489
中国画	27023
死心塌地	26142
商贾	25584
治学	25573
秧歌	21306
愁眉苦脸	21247
垂头丧气	21076
一个劲儿	20113
喜洋洋	19030
繁体字	16829
国徽	16490
捉迷藏	14265
禾苗	14198
横七竖八	13417
眉开眼笑	12950
岂有此理	12492
彩霞	12399
瑞雪	11715
乔装	11345
冷酷无情	10687
绘声绘色	9514
卤味	9128
没准儿	8570
心眼儿	8517
简体字	7899
芦花	7603
连滚带爬	7424
禅杖	7255
前仰后合	6855
别具匠心	5531
见钱眼开	5248
奇花异草	4988
有口无心	4974
半真半假	4910
有两下子	4883
如醉如痴	4510
万古长青	4382
一毛不拔	4204
发愤图强	4066
纳闷儿	3909
忍饥挨饿	3888
侃大山	3406
不耻下问	3249
出口成章	3177
个头儿	2957
括弧	2588
造纸术	2509
兜儿	2323
刻舟求剑	1745
一长一短	1658
鹏程万里	1522
闹着玩儿	1438
得意扬扬	669
随大溜	538
廉正	129
