爱	ài	to love
八	bā	eight
爸爸	bà ba	father
鼻子	bí zi	nose
不	bù	not; no
长	cháng	long
吃	chī	to eat
大	dà	big
的	de	of
点	diǎn	o’clock; spot; dot
多	duō	much/many; how [+adjective]
耳朵	ěr duo	ears
二	èr	two
高	gāo	high; tall
高兴	gāo xìng	pleased; happy
哥哥	gē ge	elder brother
个	gè	individual; [general measure word]
个子	gè zi	height; stature
狗	gǒu	dog
好	hǎo	good
号	hào	date
喝	hē	to drink
和	hé	and 
很	hěn	very
几	jǐ	how much/many? [expecting a small number]
家	jiā	family; home
叫	jiào	to call; to be named
姐姐	jiě jie	elder sister
今天	jīn tiān	today
九	jiǔ	nine
看	kàn	to see; to read; to watch; to look at
口	kǒu	mouth; [measure word for family members]
老师	lǎo shī	teacher
六	liù	six
妈妈	mā ma	mother
吗	ma	[makes a yes/no question]
猫	māo	cat
米饭	mǐ fàn	rice [cooked; boiled]
面条	miàn tiáo	noodles
明天	míng tiān	tomorrow
哪	nǎ	which?
哪儿	nǎ er	where?
那	nà	that
那儿	nà er	there
你	nǐ	you
鸟	niǎo	bird
牛奶	niú nǎi	milk
苹果	píng guǒ	apple
七	qī	seven
去	qù	to go
认识	rèn shi	to know [be familiar with]
三	sān	three
商店	shāng diàn	shop
谁	shéi	who?
什么	shén me	what?
十	shí	ten
是	shì	to be
手	shǒu	hand
水	shuǐ	water
四	sì	four
岁	suì	year (of crop harvests)
他	tā	he; him
她	tā	she; her
头发	tóu fa	hair
我	wǒ	I; me
我们	wǒ men	we; us
五	wǔ	five
喜欢	xǐ huan	to like
现在	xiàn zài	now
小	xiǎo	small
谢谢	xiè xie	thank you
星期	xīng qī	week
学校	xué xiào	school
眼睛	yǎn jing	eye
一	yī	one; once; first; structural word between two of the same verb; as soon as; throughout
有	yǒu	to have
鱼	yú	fish
月	yuè	month; moon
在	zài	in; at; on
再见	zài jiàn	goodbye
这	zhè	this
这儿	zhè er	here
中国人	zhōng guó rén	Chinese [person]
