包子	bāo zi	bao zi [steamed stuffed bun]
北京	běi jīng	Beijing
比	bǐ	to compare
不客气	bú kè qi	you're welcome
茶	chá	tea
打电话	dǎ diàn huà	to make a telephone call
弟弟	dì di	younger brother
电视	diàn shì	TV
对不起	duì bu qǐ	sorry
多少	duō shao	how much/many?
房间	fáng jiān	room
分钟	fēn zhōng	minute [time]
汉语	hàn yǔ	Standard Chinese language
好吃	hǎo chī	delicious
红	hóng	red
画	huà	to draw/paint (pictures)
黄	huáng	yellow
会	huì	to know how to; can; meeting
脚	jiǎo	foot
觉得	jué de	to think; feel
可以	kě yǐ	can; may
块	kuài	yuan
来	lái	to come
了	le	[makes an exclamation]
冷	lěng	cold
里面	lǐ miàn	inside
两	liǎng	two (of something)
零	líng	zero
绿	lǜ	green
买	mǎi	buy
没关系	méi guān xi	no problem
没有	méi yǒu	not have; there is/are not
妹妹	mèi mei	younger sister
名字	míng zi	given name
呢	ne	[returns/forwards a question]
年	nián	year
朋友	péng you	friend
漂亮	piào liang	beautiful
起床	qǐ chuáng	get up (out of bed)
铅笔	qiān bǐ	pencil
钱	qián	money
请	qǐng	to invite; please
热	rè	hot
上边	shàng bian	top side
书包	shū bāo	school bag
睡觉	shuì jiào	to go to bed; to sleep
说话	shuō huà	speak
天气	tiān qì	weather
同学	tóng xué	schoolmate; classmate
玩	wán	to play
晚上	wǎn shang	evening
香蕉	xiāng jiāo	banana
熊猫	xióng māo	panda
学生	xué sheng	student
学习	xué xí	to learn; to study
颜色	yán sè	colour
要	yào	want; be going to; ask for; demand
也	yě	too; also
医生	yī shēng	doctor
医院	yī yuàn	hospital
椅子	yǐ zi	chair
早上	zǎo shang	early morning
怎么	zěn me	how?
怎么样	zěn me yàng	how about it?
真	zhēn	real; so (+adjective)
只	zhī	[measure word for animals]
桌子	zhuō zi	table
昨天	zuó tiān	yesterday
坐	zuò	to sit
做	zuò	to do; to be; become (an occupation) 
