八	bā 	eight
把	bǎ 	grasp; [measure word for knives]
吧	ba 	[makes a suggestion, eg. "Let's …")]
白	bái	white
百	bǎi 	hundred
半	bàn	half
帮助	bāng zhù	to help
饱	bǎo	full up; eaten to one’s satisfaction
杯子	bēi zi	cup; glass; mug
本	běn	root; [measure word for books]
别	bié	separate
不客气	bú kè qi 	you're welcome; impolite
菜	cài	vegetable
唱歌	chàng gē	to sing; singing
车站	chē zhàn	station; stop [public transport]
迟到	chí dào	arrive late
出	chū	to go out
穿	chuān	to wear; to put on
次	cì	time
打篮球	dǎ lán qiú	play basketball
蛋糕	dàn gāo	cake
但是	dàn shì	but
当然	dāng rán	of course
得	dé	gain; obtain
第一	dì yī	firstly
电脑	diàn nǎo	computer
电影	diàn yǐng	film; movie
丢	diū	lose
东西	dōng xi	thing
懂	dǒng	to understand
动物园	dòng wù yuán	zoo
都	dōu	both; all
读	dú	read aloud
对	duì	correct; right
饿	è	hungry
飞机	fēi jī	plane
感冒	gǎn mào	to catch a cold
给	gěi	to give
公共汽车	gōng gòng qì chē	bus
刮风	guā fēng	windy
关	guān	to close
果汁	guǒ zhī	fruit juice
过	guò	to cross (road; bridge; river etc.)
还	hái	still
黑	hēi	black
猴子	hóu zi	monkey
后	hòu	behind
坏	huài	bad
欢迎	huān yíng	to welcome
回	huí	to return
鸡蛋	jī dàn	(chicken) egg
件	jiàn	item; [measure word for items of clothing]
饺子	jiǎo zi	dumpling
教室	jiào shì	classroom
进	jìn	to enter
近	jìn	near; close by
就	jiù	simply
开	kāi	to switch on; open
可爱	kě ài	lovely; loveable
课	kè	lesson
哭	kū	cry
裤子	kù zi	trousers
快	kuài	fast; quick
快乐	kuài lè	happy
蓝	lán	blue
老虎	lǎo hǔ	tiger
累	lèi	tired
礼物	lǐ wù	gift; present
卖	mài	to sell
慢	màn	slow
忙	máng	busy
玫瑰花	méi gui huā	rose
每	měi	every; each
面包	miàn bāo	bread
拿	ná	to take
奶奶	nǎi nai	grandmother [father's mother]     
男	nán	male
难	nán	hard; difficult
能	néng	to be able to; can
年级	nián jí	(school) year/grade
您	nín	you (polite form)
女	nǚ	female
旁边	páng biān	next to
胖	pàng	fat
跑步	pǎo bù	running; jogging
千	qiān	thousand
前	qián	in front of
去年	qù nián	last year
裙子	qún zi	skirt
让	ràng	to let; allow
上网	shàng wǎng	get on the internet
少	shǎo	few
身体	shēn tǐ	body; health
生病	shēng bìng	ill; sick; unwell
生日	shēng rì	birthday
时候	shí hou	[duration of] time
时间	shí jiān	time
事情	shì qing	matter; affair; thing
瘦	shòu	thin
舒服	shū fu	comfortable
水果	shuǐ guǒ	fruit
送	sòng	to give (present); deliver; see someone off
岁	suì 	year (of crop harvests)
所以	suǒ yǐ	therefore
它	tā	it
太	tài	too (+adjective)
太阳	tài yáng	sun
疼	téng	pain
踢足球	tī zú qiú	play football
跳舞	tiào wǔ	to dance
听	tīng	to listen/hear
外面	wài miàn	outside
完	wán	to finish; [+ verb indicates completion]
喂	wèi	hello
为什么	wèi shén me 	why?
问	wèn	to ask
问题	wèn tí	problem
西瓜	xī guā	watermelon
洗澡	xǐ zǎo	have a shower; bath
下	xià	down; below
下雪	xià xuě 	snow
先生	xiān sheng	Mr; Sir
想	xiǎng	to want; to think
小姐	xiǎo jiě	Miss
小时	xiǎo shí	hour
笑	xiào	to laugh; smile
些	xiē	some
鞋	xié	shoe
写	xiě	to write
新	xīn	new
休息	xiū xi	to rest
药	yào	medicine
爷爷	yé ye	grandfather [father's father]    
衣服	yī fu	clothes
一起	yī qǐ	together
意思	yì si	meaning
因为	yīn wèi	because
游泳	yóu yǒng	swimming
右	yòu	right
雨伞	yǔ sǎn	umbrella
远	yuǎn	far
月亮	yuè liang 	moon
运动	yùn dòng	sport
再	zài	again
着急	zháo jí	anxious
找	zhǎo	to find; to look for
知道	zhī dào	to know
中午	zhōng wǔ	midday
自己	zì jǐ	self; oneself
自行车	zì xíng chē	bicycle
走	zǒu	go; walk
最	zuì	most
左	zuǒ	left
