阿姨	ā yí	auntie [mother's younger sister]    
啊	a	ah
矮	ǎi	short (height)
安静	ān jìng	to be quiet
安全	ān quán	safe; security
爸爸	bà ba 	father
白	bái 	white
搬	bān 	to move
半	bàn 	half
办法	bàn fǎ 	way; method; solution
帮助	bāng zhù 	to help
饱	bǎo 	full up; eaten to one’s satisfaction
报纸	bào zhǐ 	newspaper
北方	běi fāng 	the north
北京	běi jīng 	Beijing
被	bèi 	quilt; by (somebody/something)
本	běn 	root; [measure word for books]
鼻子	bí zi 	nose
比	bǐ 	to compare
比赛	bǐ sài 	competition; match
必须	bì xū 	must
毕业	bì yè 	graduate
变化	biàn huà 	change
表演	biǎo yǎn 	performance
别	bié 	separate
别人	bié rén 	other people
冰激凌	bīng jī líng 	ice-cream
冰箱	bīng xiāng 	fridge
饼干	bǐng gān 	cookie; biscuit
不但……而且……	bú dàn … ér qiě …	not only... but also
猜	cāi	guess
参观	cān guān	to visit (a place, a museum, etc.)
参加	cān jiā	to take part
草地	cǎo dì	lawn
层	céng	storey
尝	cháng	taste
长城	cháng chéng	The Great Wall
超市	chāo shì	supermarket
成绩	chéng jì	results; marks; achievement
虫子	chóng zi	insect
出发	chū fā	set off; depart
初中	chū zhōng	lower middle-school
除了	chú le	apart from ("chule...yiwai" construction)
窗户	chuāng hu	window
床	chuáng	bed
春季	chūn jì	spring time
词典	cí diǎn	dictionary
聪明	cōng ming	clever; intelligent 
从	cóng	from
错	cuò	wrong
打扰	dǎ rǎo	disturb
打扫	dǎ sǎo	to clean
打算	dǎ suàn	plan; intention
打针	dǎ zhēn	give/have an injection
大概	dà gài	probably; maybe
大海	dà hǎi	ocean
大家	dà jiā	everybody
大象	dà xiàng	elephant
带	dài	carry
戴	dài	to wear (accessories)
担心	dān xīn	worry
到处	dào chù	everywhere
地	de	ground
等	děng	to wait for
地铁	dì tiě	underground train; tube; metro
地图	dì tú	map
地址	dì zhǐ	address
电灯	diàn dēng	electric light
电梯	diàn tī	lift; elevator
电子邮件	diàn zǐ yóu jiàn	email 
东	dōng	east
冬	dōng	winter
